INEGI. IX Censo Ejidal 2007,,,,,,,
"Total de ejidatarios, comuneros y posesionarios",,,,,,,cuadro 13
por entidad federativa y municipio,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
entidad_federativa_y_municipio,total,ejidatarios_y_comuneros_total,ejidatarios_y_comuneros_hombres,ejidatarios_y_comuneros_mujeres,con_parcela_individual_total,con_parcela_individual_hombres,con_parcela_individual_mujeres
Huitzuco de Los Figueroa,21,3540,2697,843,3398,2580,818
Iguala de la Independencia,15,2392,1848,544,2392,1848,544
Igualapa,7,2165,1811,354,1548,1338,210
Ixcateopan de Cuauhtemoc,C,409,279,130,174,174,0
Jose Azueta,18,2392,2023,369,2345,1996,349
Juan R. Escudero,11,1318,1141,177,1294,1119,175
Leonardo Bravo,16,3224,3075,149,3194,3045,149
Malinaltepec,9,20745,11137,9608,684,484,200
Martir de Cuilapan,11,1970,1472,498,756,491,265
Metlatonoc,9,15940,7745,8195,12161,5936,6225
Mochitlan,26,1528,1270,258,1380,1156,224
Olinala ,7,1985,1687,298,1793,1578,215
Ometepec,26,5626,4689,937,4821,4048,773
Petatlan,27,3535,2878,657,3240,2630,610
Pilcaya,6,406,357,49,401,352,49
Pungarabato,10,1238,1015,223,1228,1006,222
Quechultenango,26,5713,3953,1760,4829,3275,1554
San Luis Acatlan,23,10922,8564,2358,5407,5231,176
San Marcos,33,6833,5687,1146,5695,4977,718
San Miguel Totolapan,8,7501,4914,2587,760,612,148
Taxco de Alarcon,23,3396,2872,524,1872,1674,198
Tecoanapa,39,5895,5115,780,4304,3739,565
Tecpan de Galeana,25,4775,3887,888,4607,3747,860
Teloloapan,27,3086,2314,772,1714,1631,83
Tepecoacuilco de Trujano,25,4475,3715,760,4008,3364,644
Tetipac,5,601,476,125,386,314,72
Tixtla de Guerrero,10,1877,1251,626,490,411,79
Tlacoachistlahuaca,15,3998,2915,1083,3680,2627,1053
Tlacoapa,C,4585,3461,1124,3979,3129,850
Tlalchapa,16,2045,1593,452,2035,1583,452
Tlalixtaquilla de Maldonado,5,854,682,172,433,340,93
Tlapa de Comonfort,30,6261,5324,937,3271,2831,440
Tlapehuala,12,1515,1146,369,1515,1146,369
La Union de Isidoro Montes de Oca,31,2725,2377,348,2389,2083,306
Xalpatlahuac,8,1606,1053,553,910,484,426
Xochihuehuetlan,7,931,768,163,276,235,41
Xochistlahuaca,7,3414,2421,993,715,658,57
Zapotitlan Tablas,C,2798,1448,1350,2798,1448,1350
Zirandaro,28,3713,3318,395,3710,3317,393
Zitlala,11,3821,2137,1684,2837,1700,1137
Eduardo Neri,16,3057,2599,458,2004,1644,360
Acatepec,C,14358,7158,7200,14358,7158,7200
Marquelia,3,742,625,117,742,625,117
Cochoapa el Grande,C,10000,4000,6000,10000,4000,6000
Jose Joaquin de Herrera,C,5339,2500,2839,0,0,0
Juchitan,C,837,671,166,837,671,166
Iliatenco,4,6959,3413,3546,500,500,0
Hidalgo,1189,173511,144282,29229,153010,128493,24517
Acatlan,17,2781,2534,247,2781,2534,247
Acaxochitlan,13,1775,1284,491,1775,1284,491
Actopan,11,2571,2031,540,2468,1940,528
Agua Blanca de Iturbide,10,762,585,177,672,501,171
Ajacuba,8,1642,1352,290,1642,1352,290
Alfajayucan,28,2565,2125,440,2470,2034,436
Almoloya,13,1521,1252,269,1521,1252,269
Apan,15,2741,2331,410,2741,2331,410
El Arenal,8,1565,1238,327,1523,1197,326
Atitalaquia,5,1043,767,276,1043,767,276
Atlapexco,9,1385,1161,224,1279,1080,199
Atotonilco el Grande,24,3238,2405,833,3172,2366,806
Atotonilco de Tula,7,2189,1977,212,2093,1881,212
Calnali,C,500,440,60,500,440,60
Cardonal,20,2839,2094,745,1507,1295,212
Cuautepec de Hinojosa,24,3853,2652,1201,3490,2652,838
Chapantongo,14,1664,1484,180,1664,1484,180
Chapulhuacan,22,1951,1641,310,1609,1514,95
Chilcuautla,6,1998,1605,393,1768,1411,357
Eloxochitlan,8,829,677,152,271,237,34
Emiliano Zapata,4,733,545,188,732,544,188
Epazoyucan,12,1543,1327,216,1509,1325,184
Francisco I. Madero,C,1841,1421,420,1841,1421,420
Huasca de Ocampo,27,2525,2042,483,1482,1192,290
Huautla,42,4213,3634,579,3342,2943,399
Huazalingo,12,1362,1254,108,1077,1001,76
Huehuetla,6,1994,1776,218,1344,1146,198
Huejutla de Reyes,47,7233,6678,555,7229,6678,551
Huichapan,35,3798,3350,448,3746,3308,438
Ixmiquilpan,24,5947,4513,1434,5620,4313,1307
Jacala de Ledezma,13,2682,2044,638,1561,1351,210
Jaltocan,16,2000,1845,155,2000,1845,155
Juarez Hidalgo,4,1007,921,86,977,891,86
Lolotla,10,871,835,36,759,737,22
Metepec,11,857,643,214,854,640,214
San Agustin Metzquititlan,7,572,462,110,280,214,66
Metztitlan,27,3148,2655,493,2628,2310,318
Mineral del Chico,6,579,504,75,374,335,39
Mineral del Monte,C,167,150,17,152,135,17
Mixquiahuala de Juarez,7,5776,4037,1739,5776,4037,1739
Molango de Escamilla,13,1126,1055,71,881,831,50
Nicolas Flores,4,381,348,33,95,83,12
