INEGI. IX Censo Ejidal 2007,,,,,,,
"Total de ejidatarios, comuneros y posesionarios",,,,,,,cuadro 13
por entidad federativa y municipio,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
entidad_federativa_y_municipio,total,ejidatarios_y_comuneros_total,ejidatarios_y_comuneros_hombres,ejidatarios_y_comuneros_mujeres,con_parcela_individual_total,con_parcela_individual_hombres,con_parcela_individual_mujeres
Tlacotepec de Mejia,C,386,286,100,286,286,0
Tlachichilco,8,1254,1195,59,1254,1195,59
Tlalixcoyan,56,3829,2824,1005,3485,2639,846
Tlalnelhuayocan,C,239,189,50,150,131,19
Tlapacoyan,16,1139,902,237,1138,902,236
Tlilapan,C,44,34,10,44,34,10
Tomatlan,C,125,106,19,125,106,19
Tonayan,3,128,94,34,91,79,12
Totutla,7,830,631,199,499,359,140
Tuxpam,74,3898,3271,627,3872,3254,618
Tuxtilla,C,646,540,106,646,540,106
ursulo Galvan,16,1998,1578,420,1996,1578,418
Vega de Alatorre,14,693,552,141,693,552,141
Veracruz,16,825,642,183,759,611,148
Villa Aldama,5,956,653,303,956,653,303
Xoxocotla,C,412,371,41,412,371,41
Yanga,10,619,410,209,619,410,209
Yecuatla,3,173,144,29,173,144,29
Zacualpan,4,244,221,23,199,182,17
Zentla,3,567,484,83,567,484,83
Zongolica,16,3969,3185,784,3924,3140,784
Zontecomatlan de Lopez y Fuentes,15,2422,2282,140,504,478,26
Zozocolco de Hidalgo,C,89,83,6,89,83,6
Agua Dulce,14,773,559,214,773,559,214
El Higo,15,1462,1232,230,1455,1232,223
Nanchital de Lazaro Cardenas del Rio,C,72,66,6,36,30,6
Tres Valles,41,2326,1786,540,2182,1692,490
Carlos A. Carrillo,10,982,775,207,982,775,207
Tatahuicapan de Juarez,22,1561,1431,130,1554,1431,123
Uxpanapa,88,4643,3874,769,4540,3778,762
San Rafael,3,161,125,36,161,125,36
Santiago Sochiapan,C,47,39,8,47,39,8
Yucatan,722,128865,123111,5754,66076,64466,1610
Abala,7,1115,1096,19,321,321,0
Acanceh,7,2137,2102,35,280,269,11
Akil,C,524,524,0,400,400,0
Baca,C,1283,1257,26,520,510,10
Bokoba,C,517,508,9,34,34,0
Buctzotz,8,623,589,34,575,544,31
Cacalchen,C,1181,1180,1,275,274,1
Calotmul,4,671,646,25,558,533,25
Cansahcab,5,1365,1329,36,1273,1272,1
Cantamayec,3,386,382,4,68,66,2
Celestun,C,305,299,6,47,47,0
Cenotillo,4,668,592,76,511,509,2
Conkal,3,760,727,33,559,549,10
Cuncunul,4,234,225,9,65,65,0
Cuzama,4,832,821,11,771,771,0
Chacsinkin,C,477,457,20,0,0,0
Chankom,14,809,780,29,352,352,0
Chapab,C,638,612,26,533,533,0
Chemax,17,3177,3077,100,1656,1654,2
Chicxulub Pueblo,3,459,380,79,329,300,29
Chichimila,7,671,640,31,289,273,16
Chikindzonot,4,977,932,45,807,769,38
Chochola,C,502,499,3,472,472,0
Chumayel,C,324,321,3,0,0,0
Dzan,C,555,545,10,555,545,10
Dzemul,3,1073,1063,10,289,286,3
Dzidzantun,C,945,934,11,638,627,11
Dzilam de Bravo,C,97,84,13,77,69,8
Dzilam Gonzalez,4,949,884,65,357,355,2
Dzitas,3,484,469,15,450,450,0
Dzoncauich,C,2522,2446,76,826,754,72
Espita,9,1881,1827,54,1574,1557,17
Halacho,8,3808,3789,19,1753,1739,14
Hocaba,4,1363,1295,68,395,380,15
Hoctun,3,1270,1217,53,47,39,8
Homun,5,1256,1244,12,1126,1126,0
Huhi,C,1320,1306,14,118,118,0
Hunucma,7,2316,1404,912,207,177,30
Ixil,C,345,337,8,26,25,1
Izamal,11,4655,4503,152,1288,1275,13
Kanasin,5,1202,1181,21,172,172,0
Kantunil,C,602,586,16,261,255,6
Kaua,C,280,279,1,213,212,1
Kinchil,C,850,820,30,250,250,0
Kopoma,C,578,555,23,525,525,0
Mama,C,283,279,4,279,279,0
Mani,C,579,578,1,486,486,0
Maxcanu,14,5116,4995,121,1811,1785,26
Mayapan,C,214,213,1,28,28,0
Merida,46,7675,7082,593,3937,3600,337
Mococha,4,463,441,22,114,106,8
Motul,20,3518,3403,115,1847,1801,46
Muna,4,2009,2007,2,2007,2007,0
Muxupip,3,663,643,20,82,82,0
Opichen,C,1380,1370,10,170,170,0
Oxkutzcab,6,1226,1206,20,1210,1194,16
Panaba,5,698,661,37,698,661,37
Peto,30,2515,2450,65,1247,1241,6
Progreso,5,637,529,108,435,372,63
Quintana Roo,C,338,294,44,294,294,0
Rio Lagartos,C,90,86,4,90,86,4
Sacalum,4,780,769,11,503,503,0
Samahil,5,886,882,4,428,424,4
Sanahcat,C,508,408,100,408,408,0
San Felipe,C,130,122,8,97,89,8
Santa Elena,C,496,487,9,359,353,6
Seye,4,1708,1684,24,240,232,8
Sinanche,6,534,516,18,459,444,15
Sotuta,4,1047,1029,18,652,651,1
Sucila,C,589,556,33,565,532,33
Sudzal,4,464,461,3,450,449,1
Suma,3,529,510,19,47,47,0
Tahdziu,C,634,614,20,0,0,0
Tahmek,3,783,733,50,275,275,0
Teabo,C,416,416,0,80,80,0
Tecoh,11,3172,3109,63,3007,2954,53
Tekal de Venegas,3,673,670,3,639,639,0
Tekanto,5,911,896,15,858,858,0
Tekax,55,4063,3766,297,2487,2423,64
Tekit,C,1845,1837,8,0,0,0
Tekom,4,353,340,13,113,113,0
Telchac,C,427,412,15,427,412,15
Telchac Puerto,C,54,47,7,4,4,0
Temax,6,1901,1881,20,225,221,4
Temozon,13,1259,1226,33,1101,1085,16
Tepakan,C,684,662,22,616,616,0
Tetiz,6,768,754,14,198,198,0
Teya,C,575,565,10,565,565,0
Ticul,3,1356,1333,23,543,530,13
Timucuy,3,879,796,83,34,34,0
Tinum,8,1418,1366,52,1014,1014,0
Tixcacalcupul,5,425,417,8,330,330,0
Tixkokob,12,1648,1577,71,619,590,29
Tixmehuac,7,849,796,53,284,284,0
Tixpehual,5,729,692,37,630,602,28
Tizimin,73,5199,4794,405,3551,3367,184
Tunkas,7,877,842,35,788,788,0
Tzucacab,21,1593,1479,114,1243,1184,59
Uayma,3,494,492,2,461,460,1
Ucu,4,583,509,74,108,60,48
Uman,18,2110,1880,230,1353,1332,21
Valladolid,22,3885,3731,154,1632,1592,40
Xocchel,C,407,403,4,403,403,0
Yaxcaba,38,2980,2883,97,1449,1423,26
Yaxkukul,C,382,322,60,2,2,0
Yobain,C,472,467,5,252,251,1
Zacatecas,767,106661,90421,16240,94303,80455,13848
Apozol,6,545,409,136,445,309,136
Apulco,C,161,146,15,161,146,15
Atolinga,C,230,115,115,0,0,0
Benito Juarez,4,94,83,11,94,83,11
Calera,C,927,809,118,927,809,118
Cañitas de Felipe Pescador,C,1470,1230,240,1470,1230,240
Concepcion del Oro,18,1889,1720,169,1478,1332,146
Cuauhtemoc,6,550,437,113,550,437,113
Chalchihuites,5,286,244,42,256,215,41
Fresnillo,73,9247,8118,1129,8846,7755,1091
Genaro Codina,7,1612,1333,279,543,475,68
General Enrique Estrada,C,94,82,12,74,62,12
General Francisco R. Murguia,43,4696,3973,723,3977,3418,559
El Plateado de Joaquin Amaro,5,275,169,106,124,74,50
General Panfilo Natera,12,2247,1748,499,2120,1735,385
Guadalupe,14,3737,3345,392,2926,2534,392
Huanusco,6,471,419,52,471,419,52
Jalpa,5,225,189,36,219,185,34
Jerez,42,3848,3202,646,2651,2204,447
Jimenez del Teul,5,442,390,52,377,330,47
Juan Aldama,6,4145,3387,758,4145,3387,758
Juchipila,4,182,149,33,181,148,33
Loreto,11,1380,1152,228,1360,1152,208
Luis Moya,7,907,744,163,822,702,120
Mazapil,69,6510,5997,513,5301,4906,395
Melchor Ocampo,6,695,657,38,549,512,37
Mezquital del Oro,C,198,163,35,168,163,5
Miguel Auza,4,2716,1936,780,2671,1896,775
Monte Escobedo,7,219,189,30,196,168,28
Morelos,3,598,516,82,554,472,82
Nochistlan de Mejia,C,53,40,13,53,40,13
Noria de angeles,8,1106,974,132,1089,957,132
Ojocaliente,21,2448,2046,402,2362,1972,390
Panuco,6,2931,2598,333,2712,2598,114
Pinos,62,9135,7864,1271,9080,7864,1216
Rio Grande,33,4704,3764,940,3911,3074,837
Sain Alto,17,2278,1888,390,2109,1750,359
El Salvador,5,798,711,87,221,209,12
Sombrerete,41,6481,5403,1078,5441,4432,1009
Susticacan,3,457,250,207,40,32,8
Tabasco,7,753,679,74,742,678,64
Tepechitlan,4,315,234,81,251,180,71
Tepetongo,14,914,789,125,914,789,125
Teul de Gonzalez Ortega,3,263,252,11,0,0,0
Tlaltenango de Sanchez Roman,C,1323,1249,74,1323,1249,74
Valparaiso,45,4840,4028,812,4481,3859,622
Vetagrande,3,1002,887,115,906,875,31
Villa de Cos,41,5201,4604,597,4377,3930,447
Villa Garcia,15,1693,1541,152,1693,1541,152
Villa Gonzalez Ortega,5,840,629,211,840,629,211
Villa Hidalgo,8,1695,1467,228,1695,1467,228
Villanueva,29,4400,3709,691,4225,3536,689
Zacatecas,10,1054,732,322,801,504,297
Trancoso,4,1270,941,329,1270,941,329
Santa Maria de la Paz,     C,111,91,20,111,91,20
NOTA: La Informacion presentada corresponde a los datos captados en el cuestionario por medio de las preguntas:  19.1 y 19.1.1,,,,,,,
C = dato confidencial,,,,,,,
http://www3.inegi.org.mx/sistemas/tabuladosbasicos/default.aspx?c=17351&s=est,,,,,,,
