INEGI. IX Censo Ejidal 2007,,,,,,,,,,,,,,,
Total de ejidos y comunidades segun tematica de la capacitacion recibida en ultimos cinco años,,,,,,,,,,,,,,,cuadro 36
y ejidatarios participantes por entidad federativa y municipio,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades,total,recibieron_capacitacion_tematica_organizacion_agraria_total,recibieron_capacitacion_tematica_organizacion_agraria_ejidatarios_participantes,recibieron_capacitacion_tematica_administracion_agraria_total,recibieron_capacitacion_tematica_administracion_agraria_ejidatarios_participantes,recibieron_capacitacion_tematica_manejo_o_cuidado_de_los_cultivos_o_del_bosque_total,recibieron_capacitacion_tematica_manejo_o_cuidado_de_los_cultivos_o_del_bosque_ejidatarios_participantes,recibieron_capacitacion_tematica_manejo_o_cuidado_de_los_animales_total,recibieron_capacitacion_tematica_manejo_o_cuidado_de_los_animales_ejidatarios_participantes,recibieron_capacitacion_tematica_comercializacion_total,recibieron_capacitacion_tematica_comercializacion_ejidatarios_participantes,recibieron_capacitacion_tematica_derechos_agrarios_total,recibieron_capacitacion_tematica_derechos_agrarios_ejidatarios_participantes,no recibieroncapacitacion sobre estas tematicas
Delicias,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Dr. Belisario Dominguez,9,1,0,0,0,0,0,0,1,20,0,0,0,0,8
Galeana,4,2,0,0,0,0,1,100,1,53,1,53,0,0,2
Santa Isabel,8,1,1,540,0,0,0,0,0,0,0,0,0,0,7
Gomez Farias,7,1,0,0,0,0,0,0,0,0,1,30,0,0,6
Gran Morelos,10,1,1,39,0,0,0,0,0,0,0,0,0,0,9
Guachochi,26,15,5,2480,1,300,13,891,2,72,1,250,0,0,11
Guadalupe,7,1,0,0,0,0,1,20,0,0,0,0,0,0,6
Guadalupe y Calvo,45,21,4,66,0,0,18,458,5,395,3,52,2,35,24
Guazapares,11,6,3,1211,0,0,4,64,0,0,1,20,1,20,5
Guerrero,50,16,2,3,0,0,11,259,2,64,4,143,4,46,34
Hidalgo del Parral,12,1,0,0,0,0,0,0,0,0,0,0,1,30,11
Huejotitan,8,2,0,0,0,0,1,20,1,15,0,0,0,0,6
Ignacio Zaragoza,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Janos,14,6,1,6,0,0,1,30,3,39,1,15,2,400,8
Jimenez,53,11,6,260,1,8,4,148,2,29,2,16,1,20,42
Juarez,10,5,2,40,2,48,2,63,1,53,1,53,2,163,5
Julimes,6,1,0,0,0,0,0,0,1,36,1,45,1,91,5
Lopez,12,2,2,111,0,0,0,0,1,4,0,0,0,0,10
Madera,20,7,3,466,1,60,6,1413,2,30,1,1270,1,1270,13
Maguarichi,5,1,0,0,1,2,0,0,0,0,0,0,0,0,4
Manuel Benavides,14,1,0,0,0,0,0,0,1,40,0,0,0,0,13
Matachi,5,1,1,296,0,0,0,0,0,0,0,0,0,0,4
Matamoros,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Meoqui,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Morelos,17,3,0,0,1,35,2,40,0,0,0,0,1,35,14
Moris,10,3,2,37,2,41,3,61,2,38,1,34,2,38,7
Namiquipa,12,1,0,0,0,0,1,10,0,0,0,0,0,0,11
Nonoava,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Nuevo Casas Grandes,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Ocampo,17,3,1,50,0,0,3,131,0,0,1,93,1,93,14
Ojinaga,33,3,2,97,1,80,0,0,2,95,0,0,1,80,30
Praxedis G. Guerrero,5,1,0,0,0,0,0,0,0,0,1,5,0,0,4
Riva Palacio,9,2,1,17,0,0,1,48,0,0,0,0,0,0,7
Rosales,11,1,1,26,1,26,0,0,0,0,0,0,1,26,10
Rosario,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7
