INEGI. IX Censo Ejidal 2007,,,,,,,,,
Superficie total de ejidos y comunidades Agrarias segun distribucion interna de la tierra ,,,,,,,,cuadro 1,
por entidad federativa y municipio,,,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades,superficie_total_(ha),distribucion_interna_de_la_tierra_(ha)_superficie_parcelada,distribucion_interna_de_la_tierra_(ha)_superficie_no_parcelada_total,distribucion_interna_de_la_tierra_(ha)_superficie_no_parcelada_uso_comun,distribucion_interna_de_la_tierra_(ha)_superficie_no_parcelada_asentamiento_humano_total,distribucion_interna_de_la_tierra_(ha)_superficie_no_parcelada_asentamiento_humano_reserva_de_crecimiento,otras_superficies_(ha),unidad_de_medida
Sitala,7,1806.0000,1461.0000,266.0000,201.0000,65.0000,0.0000,79.0000,Hectarea
Socoltenango,33,22559.0000,19660.0000,2764.4000,2344.5000,419.9000,37.5000,134.6000,Hectarea
Solosuchiapa,11,6146.0000,4842.7500,1250.7500,1179.2500,71.5000,0.0000,52.5000,Hectarea
Soyalo,4,10853.3400,162.3300,10601.6800,10451.6500,150.0300,1.0000,89.3300,Hectarea
Suchiapa,9,17527.3100,16443.1300,898.1300,632.7600,265.3700,2.0000,186.0500,Hectarea
Suchiate,17,10641.7600,9106.5300,1317.6500,875.0000,442.6500,10.0000,217.5800,Hectarea
Sunuapa,     C,484.0000,470.0000,12.0000,0.0000,12.0000,0.0000,2.0000,Hectarea
Tapachula,52,28975.3400,24484.1800,4322.2000,3307.4900,1014.7100,9.0000,168.9600,Hectarea
Tapalapa,     C,7427.1500,81.5200,7308.6300,7230.5100,78.1200,0.0000,37.0000,Hectarea
Tapilula,4,2307.0000,1970.0000,311.0000,166.0000,145.0000,0.0000,26.0000,Hectarea
Tecpatan,59,65336.7600,60282.1500,3322.8700,2577.3600,745.5100,97.8700,1731.7400,Hectarea
Tenejapa,7,13997.0000,11892.7500,1967.2900,1219.0000,748.2900,0.0000,136.9600,Hectarea
Teopisca,16,18888.0000,9684.0000,9003.5000,8869.0000,134.5000,29.0000,200.5000,Hectarea
Tila,29,63968.6800,26344.1800,37167.5000,36601.1300,566.3700,76.5000,457.0000,Hectarea
Tonala,54,63270.0000,47448.0000,14052.0000,12468.0000,1584.0000,9.0000,1770.0000,Hectarea
Totolapa,8,7648.8000,4659.9300,2815.8700,2696.0700,119.8000,0.0000,173.0000,Hectarea
La Trinitaria,85,79103.4200,35282.9700,42600.7300,40557.3400,2043.3900,112.5000,1219.7200,Hectarea
Tumbala,24,28369.5500,18906.3700,9076.2400,8801.0700,275.1700,29.0000,386.9400,Hectarea
