INEGI. IX Censo Ejidal 2007,,,,
"Ejidos y comunidades con tractores de su propiedad, segun cantidad y funcionamiento",,,,cuadro 26
por entidad federativa y municipio,,,,
,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_con_tractores,cantidad_de_tractores,ejidos_y_comunidades_con tractores_en_funcionamiento,cantidad_de_tractores_en_funcionamiento
San Pedro y San Pablo Teposcolula,4,4,4,4
San Pedro y San Pablo Tequixtepec,1,1,1,1
Santa Ana,1,1,1,1
Santa Ana del Valle,1,1,1,1
Santa Ana Yareni,1,1,1,1
Santa Catarina Cuixtla,1,1,1,1
Santa Catarina Ixtepeji,1,1,1,1
Santa Catarina Lachatao,1,5,1,5
Santa Catarina Mechoacan,1,1,1,1
Santa Cruz Itundujia,2,5,2,5
Santa Cruz Tacache de Mina,2,3,1,1
Santa Cruz Xitla,1,5,1,5
Santa Cruz Zenzontepec,1,2,1,2
Santa Gertrudis,1,1,1,1
Santa Maria Atzompa,1,1,1,1
Villa de Chilapa de Diaz,1,1,1,1
Santa Maria del Tule,1,3,1,3
Santa Maria Ipalapa,1,1,1,1
Santa Maria Jacatepec,1,1,1,1
Santa Maria Mixtequilla,1,1,1,1
Santa Maria Nativitas,1,1,1,1
Santa Maria Nduayaco,2,3,2,3
Santa Maria Petapa,1,2,1,2
Santa Maria Tataltepec,1,2,1,2
Santiago Comaltepec,1,1,1,1
Santiago Chazumba,1,1,1,1
Santiago del Rio,2,3,2,2
Santiago Huajolotitlan,1,1,1,1
Santiago Huauclilla,1,3,1,3
Santiago Ihuitlan Plumas,1,3,1,3
Santiago Ixtayutla,1,1,1,1
Santiago Juxtlahuaca,1,2,1,1
Santiago Laollaga,1,1,1,1
Santiago Llano Grande,1,6,1,6
Santiago Nacaltepec,2,2,2,2
Santiago Tapextla,1,2,1,1
Villa Tejupam de la Union,1,2,1,2
Santiago Tetepec,1,1,1,1
Santiago Tilantongo,1,3,1,1
Santiago Tillo,2,3,2,3
Santiago Xiacui,1,1,1,1
Nuevo Zoquiapam,1,1,1,1
Santo Domingo Chihuitan,1,2,1,2
Santo Domingo Tehuantepec,4,6,4,5
Santo Domingo Teojomulco,1,1,1,1
Santo Tomas Mazaltepec,1,1,1,1
San Vicente Lachixio,1,1,1,1
Silacayoapam,1,1,0,0
Soledad Etla,1,1,1,1
San Jeronimo Tlacochahuaya,1,1,1,1
Tlacolula de Matamoros,1,3,1,2
San Juan Bautista Valle Nacional,3,8,3,7
Villa Diaz Ordaz,2,3,2,3
Yaxe,1,1,1,1
Magdalena Yodocono de Porfirio Diaz,1,2,1,2
