INEGI. IX Censo Ejidal 2007,,,,,,,
Ejidos y comunidades con superficie de uso comun segun uso agricola,,,,,,cuadro 4,
por entidad federativa y municipio,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_con_superficie_de_uso_comun,superficie_de_uso_comun_(ha),ejidos_y_comunidades_con_superficie_de_uso_comun_utilizada_para_la_agricultura_total,,ejidos_y_comunidades_con_superficie_de_uso_comun_utilizada_para_la_agricultura_sembrada_en_2007,ejidos_y_comunidades_con_superficie_de_uso_comun_utilizada_para_la_agricultura_para_sembrarse_solo_por_uno_o_dos_años,unidad_de_medida
Suchil,10,37050.1200,1,1,1,0,Hectarea
Tamazula,49,521418.1200,47,46,46,37,Hectarea
Tepehuanes,26,555103.4400,19,19,19,0,Hectarea
Tlahualilo,50,323227.2000,6,4,4,2,Hectarea
Topia,15,87399.6100,14,14,14,6,Hectarea
Vicente Guerrero,8,17153.2200,0,0,0,0,Hectarea
Nuevo Ideal,28,75921.7400,3,2,2,0,Hectarea
Guanajuato,1173,557426.6500,119,99,99,8,Hectarea
Abasolo,27,6638.4100,4,4,4,0,Hectarea
Acambaro,53,16066.7500,4,3,3,1,Hectarea
San Miguel de Allende,56,29682.1000,6,6,6,0,Hectarea
Apaseo el Alto,25,4346.2900,4,2,2,0,Hectarea
Apaseo el Grande,30,7033.9500,2,1,1,0,Hectarea
Atarjea,12,22887.2500,1,1,1,0,Hectarea
Celaya,14,5520.0400,2,1,1,0,Hectarea
Manuel Doblado,28,5746.3400,4,4,4,0,Hectarea
Comonfort,32,13874.0000,2,1,1,0,Hectarea
Coroneo,3,1787.9200,1,1,1,0,Hectarea
Cortazar,18,6089.7000,0,0,0,0,Hectarea
Cueramaro,10,3172.1800,0,0,0,0,Hectarea
Doctor Mora,5,824.0500,2,1,1,0,Hectarea
Dolores Hidalgo Cuna de la Independencia Nal.,56,15189.9000,6,5,5,0,Hectarea
Guanajuato,26,21964.4200,8,7,7,0,Hectarea
Huanimaro,12,1047.7900,1,0,0,0,Hectarea
Irapuato,46,15268.5100,3,3,3,0,Hectarea
Jaral Del Progreso,9,3271.0200,2,2,2,0,Hectarea
Jerecuaro,40,13338.1300,1,1,1,0,Hectarea
