INEGI. IX Censo Ejidal 2007,,,,,,,
Ejidos y comunidades con superficie de uso comun segun uso agricola,,,,,,cuadro 4,
por entidad federativa y municipio,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_con_superficie_de_uso_comun,superficie_de_uso_comun_(ha),ejidos_y_comunidades_con_superficie_de_uso_comun_utilizada_para_la_agricultura_total,,ejidos_y_comunidades_con_superficie_de_uso_comun_utilizada_para_la_agricultura_sembrada_en_2007,ejidos_y_comunidades_con_superficie_de_uso_comun_utilizada_para_la_agricultura_para_sembrarse_solo_por_uno_o_dos_años,unidad_de_medida
San Sebastian Nicananduta,1,3325.0000,1,1,1,0,Hectarea
San Sebastian Rio Hondo,3,316.5000,0,0,0,0,Hectarea
San Sebastian Tecomaxtlahuaca,3,14734.0000,0,0,0,0,Hectarea
San Sebastian Teitipac,2,1125.0200,0,0,0,0,Hectarea
San Sebastian Tutla,1,249.2000,0,0,0,0,Hectarea
San Simon Almolongas,2,1285.0000,1,0,0,0,Hectarea
San Simon Zahuatlan,1,3034.0000,0,0,0,0,Hectarea
Santa Ana,1,5602.0000,0,0,0,0,Hectarea
Santa Ana Cuauhtemoc,1,2000.0000,1,1,1,0,Hectarea
Santa Ana Del Valle,1,2644.0000,1,1,1,0,Hectarea
Santa Ana Tavela,1,16920.0000,1,1,1,0,Hectarea
Santa Ana Tlapacoyan,1,3302.0000,1,1,1,0,Hectarea
Santa Ana Yareni,1,3948.5600,1,1,1,0,Hectarea
Santa Catalina Quieri,1,5969.2000,0,0,0,0,Hectarea
Santa Catarina Cuixtla,1,2976.2200,1,1,1,1,Hectarea
Santa Catarina Ixtepeji,2,17229.0000,2,2,2,0,Hectarea
Santa Catarina Juquila,5,46503.0000,0,0,0,0,Hectarea
Santa Catarina Lachatao,1,23400.0000,1,1,1,0,Hectarea
Santa Catarina Loxicha,1,12379.7000,1,1,1,0,Hectarea
Santa Catarina Mechoacan,1,1728.0000,0,0,0,0,Hectarea
Santa Catarina Minas,1,2799.3400,0,0,0,0,Hectarea
Santa Catarina Quiane,1,490.3700,1,1,1,0,Hectarea
Santa Catarina Tayata,1,2327.0000,0,0,0,0,Hectarea
Santa Catarina Ticua,1,700.0000,1,1,1,0,Hectarea
Santa Catarina Yosonotu,1,2050.0000,1,1,1,0,Hectarea
Santa Catarina Zapoquila,3,9630.5300,1,1,1,0,Hectarea
Santa Cruz Amilpas,1,2.5000,0,0,0,0,Hectarea
Santa Cruz Itundujia,2,19400.0000,0,0,0,0,Hectarea
Santa Cruz Mixtepec,3,1737.0000,3,2,2,1,Hectarea
Santa Cruz Nundaco,1,2613.0000,0,0,0,0,Hectarea
Santa Cruz Papalutla,1,276.0000,0,0,0,0,Hectarea
Santa Cruz Tacache de Mina,2,1796.0000,1,1,1,0,Hectarea
Santa Cruz Tacahua,1,13.0000,1,1,1,0,Hectarea
Santa Cruz Tayata,1,163.0000,0,0,0,0,Hectarea
Santa Cruz Xitla,2,1326.0000,1,1,1,0,Hectarea
Santa Cruz Xoxocotlan,1,415.8000,1,1,1,0,Hectarea
Santa Cruz Zenzontepec,1,20320.0000,0,0,0,0,Hectarea
Santa Gertrudis,2,85.4200,0,0,0,0,Hectarea
Santa Ines Del Monte,1,3909.6000,1,1,1,0,Hectarea
Santa Lucia Del Camino,1,10.0000,0,0,0,0,Hectarea
Santa Lucia Miahuatlan,1,6967.2900,0,0,0,0,Hectarea
Santa Lucia Monteverde,2,7218.3600,2,2,2,2,Hectarea
Santa Maria Alotepec,3,5089.0000,2,2,2,0,Hectarea
Santa Maria Apazco,1,5514.7800,0,0,0,0,Hectarea
Heroica Ciudad de Tlaxiaco,8,3636.7000,3,3,3,1,Hectarea
Ayoquezco de Aldama,1,11990.0000,1,1,1,0,Hectarea
Santa Maria Atzompa,1,513.1400,1,1,1,0,Hectarea
Santa Maria Camotlan,1,9036.6000,0,0,0,0,Hectarea
Santa Maria Colotepec,1,800.0000,0,0,0,0,Hectarea
Santa Maria Coyotepec,1,1389.0000,0,0,0,0,Hectarea
Santa Maria Chachoapam,1,3699.6600,0,0,0,0,Hectarea
Villa de Chilapa de Diaz,4,19484.3500,2,2,2,0,Hectarea
Santa Maria Chilchotla,5,2267.6300,3,3,3,0,Hectarea
Santa Maria Chimalapa,3,408925.0000,1,0,0,0,Hectarea
Santa Maria Del Rosario,1,1904.0000,0,0,0,0,Hectarea
Santa Maria Del Tule,1,804.0000,0,0,0,0,Hectarea
Santa Maria Ecatepec,9,71805.3900,9,9,9,3,Hectarea
Santa Maria Guelace,1,85.0000,1,1,1,1,Hectarea
Santa Maria Guienagati,1,72115.7500,1,1,1,0,Hectarea
Santa Maria Huatulco,1,8340.0000,0,0,0,0,Hectarea
Santa Maria Huazolotitlan,1,33.0000,0,0,0,0,Hectarea
Santa Maria Ipalapa,3,2630.0000,1,1,1,0,Hectarea
Santa Maria Ixcatlan,1,41056.3500,0,0,0,0,Hectarea
Santa Maria Jacatepec,12,23136.3400,9,9,9,9,Hectarea
Santa Maria Jalapa Del Marques,1,51939.0000,1,1,1,0,Hectarea
Santa Maria Jaltianguis,1,1500.0000,0,0,0,0,Hectarea
Santa Maria Mixtequilla,1,22805.0000,0,0,0,0,Hectarea
Santa Maria Nativitas,1,4079.9900,1,1,1,0,Hectarea
Santa Maria Nduayaco,3,6661.6000,1,0,0,0,Hectarea
Santa Maria Papalo,1,4477.0000,0,0,0,0,Hectarea
Santa Maria Peñoles,3,7451.9000,3,2,2,0,Hectarea
Santa Maria Petapa,1,31530.0000,1,1,1,1,Hectarea
Santa Maria Quiegolani,2,23873.5000,1,1,1,1,Hectarea
Santa Maria Sola,4,2698.7500,0,0,0,0,Hectarea
Santa Maria Tataltepec,1,8959.0000,1,1,1,0,Hectarea
Santa Maria Tecomavaca,1,13296.4300,0,0,0,0,Hectarea
Santa Maria Temaxcalapa,1,334.5000,1,1,1,1,Hectarea
Santa Maria Temaxcaltepec,1,8874.0000,1,1,1,0,Hectarea
Santa Maria Teopoxco,1,1507.0000,0,0,0,0,Hectarea
Santa Maria Tepantlali,1,548.0000,1,1,1,0,Hectarea
Santa Maria Texcatitlan,1,1780.0000,0,0,0,0,Hectarea
Santa Maria Tlahuitoltepec,2,9866.0000,0,0,0,0,Hectarea
Santa Maria Tlalixtac,1,964.0000,0,0,0,0,Hectarea
Santa Maria Tonameca,2,32343.0000,1,1,1,1,Hectarea
Santa Maria Totolapilla,1,10889.2200,1,1,1,0,Hectarea
Santa Maria Yalina,1,4508.0000,1,1,1,0,Hectarea
Santa Maria Yolotepec,1,225.1000,1,1,1,0,Hectarea
Santa Maria Yosoyua,1,3280.0000,0,0,0,0,Hectarea
Santa Maria Yucuhiti,1,4692.0000,0,0,0,0,Hectarea
Santa Maria Zacatepec,1,10000.0000,0,0,0,0,Hectarea
Santa Maria Zaniza,1,13793.8000,0,0,0,0,Hectarea
Santa Maria Zoquitlan,1,39950.0000,0,0,0,0,Hectarea
Santiago Amoltepec,1,1800.0000,0,0,0,0,Hectarea
Santiago Apoala,1,6694.3000,0,0,0,0,Hectarea
Santiago Astata,1,17042.0000,0,0,0,0,Hectarea
Santiago Atiltlan,1,4000.0000,1,1,1,0,Hectarea
Santiago Ayuquililla,2,5214.8900,0,0,0,0,Hectarea
Santiago Cacaloxtepec,1,3250.0000,0,0,0,0,Hectarea
Santiago Camotlan,4,18107.5000,2,2,2,1,Hectarea
Santiago Comaltepec,2,19537.0000,0,0,0,0,Hectarea
Santiago Chazumba,10,15646.1700,0,0,0,0,Hectarea
Santiago Choapam,5,19907.0000,5,5,5,2,Hectarea
Santiago Del Rio,2,3786.0000,0,0,0,0,Hectarea
Santiago Huajolotitlan,7,4191.5500,1,1,1,0,Hectarea
Santiago Huauclilla,4,8834.1500,0,0,0,0,Hectarea
Santiago Ihuitlan Plumas,2,3001.0000,2,1,1,0,Hectarea
Santiago Ixcuintepec,1,42038.0000,1,1,1,0,Hectarea
Santiago Ixtayutla,5,12548.2400,0,0,0,0,Hectarea
Santiago Jamiltepec,5,41264.3700,1,1,1,0,Hectarea
Santiago Jocotepec,21,40386.5700,11,10,10,5,Hectarea
Santiago Juxtlahuaca,9,42593.5000,6,6,6,1,Hectarea
Santiago Lachiguiri,2,40952.0000,2,2,2,1,Hectarea
Santiago Lalopa,1,1460.0000,1,1,1,0,Hectarea
Santiago Laollaga,2,19125.7300,1,1,1,0,Hectarea
Santiago Laxopa,3,7536.0000,3,3,3,3,Hectarea
Santiago Llano Grande,1,83.5000,1,1,1,1,Hectarea
Santiago Matatlan,3,10630.4700,1,1,1,0,Hectarea
Santiago Minas,1,12290.0000,0,0,0,0,Hectarea
Santiago Nacaltepec,5,18645.1400,2,1,1,1,Hectarea
Santiago Nejapilla,1,1920.0000,1,1,1,0,Hectarea
Santiago Nundiche,1,1783.0000,1,1,1,0,Hectarea
Santiago Nuyoo,3,1628.0000,2,2,2,0,Hectarea
Santiago Pinotepa Nacional,9,1828.5500,3,2,2,2,Hectarea
Santiago Suchilquitongo,6,5596.2300,2,2,2,0,Hectarea
Santiago Tamazola,3,5924.1700,1,1,1,0,Hectarea
Villa Tejupam de la Union,1,13795.0000,0,0,0,0,Hectarea
Santiago Tenango,1,8110.0000,0,0,0,0,Hectarea
Santiago Tepetlapa,1,1227.0000,0,0,0,0,Hectarea
Santiago Tetepec,5,15767.1900,2,2,2,2,Hectarea
Santiago Texcalcingo,1,1250.0000,0,0,0,0,Hectarea
Santiago Textitlan,2,29900.0000,1,1,1,1,Hectarea
Santiago Tilantongo,1,8500.0000,0,0,0,0,Hectarea
Santiago Tillo,2,472.8900,0,0,0,0,Hectarea
Santiago Tlazoyaltepec,1,6923.0000,1,1,1,1,Hectarea
Santiago Xanica,2,6165.0000,1,0,0,0,Hectarea
Santiago Xiacui,3,4493.0000,3,3,3,1,Hectarea
Santiago Yaitepec,1,1129.0000,1,1,1,0,Hectarea
Santiago Yaveo,3,22621.0000,1,1,1,1,Hectarea
Santiago Yosondua,4,2477.4900,4,4,4,0,Hectarea
Santiago Yucuyachi,1,134.0000,0,0,0,0,Hectarea
Santiago Zacatepec,3,17481.0000,3,3,3,1,Hectarea
Santiago Zoochila,1,161.0000,1,1,1,0,Hectarea
Nuevo Zoquiapam,1,8917.0000,1,1,1,0,Hectarea
Santo Domingo Ingenio,1,9100.0000,1,0,0,1,Hectarea
Santo Domingo Albarradas,1,742.6200,1,1,1,0,Hectarea
Santo Domingo Chihuitan,1,4490.4400,0,0,0,0,Hectarea
Santo Domingo de Morelos,1,4896.6000,0,0,0,0,Hectarea
Santo Domingo Ixcatlan,1,756.0000,1,1,1,0,Hectarea
Santo Domingo Nuxaa,1,11245.0000,1,1,1,0,Hectarea
Santo Domingo Ozolotepec,1,1241.0000,0,0,0,0,Hectarea
Santo Domingo Petapa,1,52942.0000,1,1,1,1,Hectarea
Santo Domingo Roayaga,2,10963.0700,2,2,2,0,Hectarea
Santo Domingo Tehuantepec,14,83036.4600,8,7,7,4,Hectarea
Santo Domingo Teojomulco,1,11319.0000,1,1,1,0,Hectarea
Santo Domingo Tepuxtepec,1,6500.0000,0,0,0,0,Hectarea
Santo Domingo Tlatayapam,1,1149.0000,1,1,1,0,Hectarea
Santo Domingo Tomaltepec,1,2232.0000,0,0,0,0,Hectarea
Santo Domingo Tonala,4,3871.0000,0,0,0,0,Hectarea
Santo Domingo Tonaltepec,1,3917.0000,0,0,0,0,Hectarea
Santo Domingo Xagacia,1,5556.0000,1,1,1,0,Hectarea
Santo Domingo Yanhuitlan,1,4219.7400,1,1,1,0,Hectarea
Santo Domingo Zanatepec,5,1357.9900,1,1,1,0,Hectarea
Santos Reyes Nopala,3,2510.0000,2,2,2,1,Hectarea
Santos Reyes Papalo,1,15655.0000,0,0,0,0,Hectarea
Santos Reyes Tepejillo,1,3943.0000,0,0,0,0,Hectarea
Santos Reyes Yucuna,1,6108.5500,0,0,0,0,Hectarea
Santo Tomas Jalieza,4,3718.0200,2,2,2,0,Hectarea
Santo Tomas Mazaltepec,1,2000.0000,1,1,1,1,Hectarea
Santo Tomas Ocotepec,1,6018.0000,1,1,1,0,Hectarea
San Vicente Coatlan,1,9762.0000,0,0,0,0,Hectarea
San Vicente Lachixio,2,20618.0000,1,1,1,1,Hectarea
San Vicente Nuñu,1,6213.0000,0,0,0,0,Hectarea
Silacayoapam,9,17676.0000,2,2,2,0,Hectarea
Soledad Etla,1,300.0000,0,0,0,0,Hectarea
Villa de Tamazulapam Del Progreso,1,16376.0000,0,0,0,0,Hectarea
Tanetze de Zaragoza,1,409.0000,0,0,0,0,Hectarea
Taniche,1,310.0000,0,0,0,0,Hectarea
Tataltepec de Valdes,2,5209.4000,1,1,1,1,Hectarea
Teococuilco de Marcos Perez,1,10818.0000,1,1,1,1,Hectarea
Teotitlan de Flores Magon,2,9800.0000,0,0,0,0,Hectarea
Teotitlan Del Valle,2,5199.8900,2,2,2,1,Hectarea
Teotongo,1,5200.0000,0,0,0,0,Hectarea
Tepelmeme Villa de Morelos,1,36916.2900,0,0,0,0,Hectarea
Tezoatlan de Segura y Luna,9,28267.2000,1,1,1,0,Hectarea
San Jeronimo Tlacochahuaya,3,1382.2100,0,0,0,0,Hectarea
Tlacolula de Matamoros,5,13317.6800,3,3,3,0,Hectarea
Tlacotepec Plumas,1,4349.0000,1,1,1,0,Hectarea
Tlalixtac de Cabrera,2,5145.0000,1,1,1,0,Hectarea
Totontepec Villa de Morelos,11,25535.2500,8,8,8,2,Hectarea
Trinidad Zaachila,2,98.0000,0,0,0,0,Hectarea
La Trinidad Vista Hermosa,1,556.0000,0,0,0,0,Hectarea
Valerio Trujano,1,4270.7800,0,0,0,0,Hectarea
San Juan Bautista Valle Nacional,23,52479.5000,19,16,16,15,Hectarea
Villa Diaz Ordaz,3,15660.3000,3,3,3,0,Hectarea
Yaxe,1,5459.0600,1,0,0,0,Hectarea
Magdalena Yodocono de Porfirio Diaz,1,3271.3700,0,0,0,0,Hectarea
Yogana,2,6140.0000,2,1,1,0,Hectarea
Yutanduchi de Guerrero,1,9314.0000,0,0,0,0,Hectarea
Villa de Zaachila,2,2450.0000,1,0,0,0,Hectarea
Zapotitlan Del Rio,2,5791.8200,0,0,0,0,Hectarea
Zapotitlan Lagunas,1,32613.0000,1,0,0,0,Hectarea
Zapotitlan Palmas,2,3332.0000,1,1,1,0,Hectarea
Santa Ines de Zaragoza,1,5458.0000,1,1,1,0,Hectarea
Zimatlan de alvarez,7,64253.3200,2,1,1,0,Hectarea
Puebla,944,849961.2000,181,163,163,26,Hectarea
Acajete,5,2948.5300,4,4,4,0,Hectarea
Acateno,2,58.2300,0,0,0,0,Hectarea
Acatlan,15,10206.6800,0,0,0,0,Hectarea
Acatzingo,7,1672.1700,3,3,3,1,Hectarea
Acteopan,3,2986.2200,0,0,0,0,Hectarea
Ahuacatlan,1,741.0000,0,0,0,0,Hectarea
Ahuatlan,1,403.2100,0,0,0,0,Hectarea
Ahuazotepec,6,1640.1600,0,0,0,0,Hectarea
Ahuehuetitla,2,332.0500,1,1,1,0,Hectarea
Ajalpan,9,21238.5600,0,0,0,0,Hectarea
Albino Zertuche,1,540.0000,0,0,0,0,Hectarea
Aljojuca,4,678.6900,0,0,0,0,Hectarea
Altepexi,2,227.9600,0,0,0,0,Hectarea
Amozoc,3,1889.8400,0,0,0,0,Hectarea
Aquixtla,5,1880.2500,0,0,0,0,Hectarea
Atexcal,9,16373.4700,0,0,0,0,Hectarea
Atlixco,17,9864.9600,2,2,2,0,Hectarea
Atoyatempan,1,660.0000,1,1,1,0,Hectarea
Atzala,1,237.2500,0,0,0,0,Hectarea
Atzitzihuacan,8,2751.7400,2,2,2,0,Hectarea
Atzitzintla,4,2014.9500,2,2,2,1,Hectarea
Axutla,1,1458.0400,0,0,0,0,Hectarea
Ayotoxco de Guerrero,1,2.0000,1,1,1,0,Hectarea
Calpan,3,2028.0000,0,0,0,0,Hectarea
Caltepec,9,36232.5400,2,2,2,1,Hectarea
Camocuautla,1,103.0000,0,0,0,0,Hectarea
Coatzingo,2,9702.1000,0,0,0,0,Hectarea
Cohetzala,3,6989.0000,2,2,2,1,Hectarea
Cohuecan,2,1100.6200,0,0,0,0,Hectarea
Coronango,1,2.0000,1,1,1,0,Hectarea
Coxcatlan,9,15495.2900,2,1,1,0,Hectarea
Coyomeapan,3,6342.0000,0,0,0,0,Hectarea
Coyotepec,4,5792.7100,0,0,0,0,Hectarea
Cuapiaxtla de Madero,1,23.3900,0,0,0,0,Hectarea
Cuautempan,1,575.6200,0,0,0,0,Hectarea
Cuautinchan,6,1699.7900,0,0,0,0,Hectarea
Cuayuca de Andrade,3,670.5900,0,0,0,0,Hectarea
Cuetzalan Del Progreso,2,350.0000,1,0,0,0,Hectarea
Cuyoaco,10,2960.6100,0,0,0,0,Hectarea
Chalchicomula de Sesma,20,4663.6100,4,3,3,0,Hectarea
Chapulco,2,12266.8000,1,0,0,0,Hectarea
Chiautla,6,6837.8100,1,1,1,1,Hectarea
Chiautzingo,4,1153.0900,1,1,1,0,Hectarea
Chiconcuautla,1,477.0000,1,1,1,1,Hectarea
Chietla,20,12486.0300,3,3,3,0,Hectarea
Chignahuapan,45,22205.7600,4,4,4,0,Hectarea
Chignautla,2,10453.0000,2,2,2,0,Hectarea
Chila,4,1363.7500,1,1,1,0,Hectarea
Chila de la Sal,1,230.0000,0,0,0,0,Hectarea
Chilchotla,2,8184.0000,1,1,1,0,Hectarea
Chinantla,3,1542.4900,1,0,0,0,Hectarea
Domingo Arenas,1,16.0000,0,0,0,0,Hectarea
Eloxochitlan,2,1010.0000,0,0,0,0,Hectarea
Epatlan,3,1255.4900,0,0,0,0,Hectarea
Esperanza,4,722.3000,0,0,0,0,Hectarea
Francisco Z. Mena,6,621.7300,2,1,1,0,Hectarea
General Felipe angeles,3,1597.9800,0,0,0,0,Hectarea
Guadalupe,2,3976.0000,1,1,1,0,Hectarea
Guadalupe Victoria,8,3858.3800,1,1,1,0,Hectarea
Huaquechula,22,9562.0900,3,3,3,1,Hectarea
Huatlatlauca,8,4939.5100,1,1,1,0,Hectarea
Huauchinango,4,927.2600,3,3,3,0,Hectarea
Huehuetlan el Chico,4,6467.7400,1,1,1,0,Hectarea
Huejotzingo,3,426.7500,0,0,0,0,Hectarea
Hueytamalco,4,572.5900,1,1,1,0,Hectarea
Hueytlalpan,2,13.3000,1,1,1,0,Hectarea
Huitzilan de Serdan,1,10.7500,0,0,0,0,Hectarea
Ixcamilpa de Guerrero,3,12138.3500,2,2,2,0,Hectarea
Ixcaquixtla,7,875.9900,1,1,1,0,Hectarea
Ixtacamaxtitlan,23,8061.5000,2,2,2,0,Hectarea
Izucar de Matamoros,24,17803.1600,9,9,9,3,Hectarea
Jalpan,3,418.2200,2,2,2,1,Hectarea
Jolalpan,9,38803.8300,7,7,7,2,Hectarea
Jonotla,2,152.0000,2,2,2,0,Hectarea
Jopala,1,0.5300,1,0,0,0,Hectarea
Juan N. Mendez,3,12899.3000,0,0,0,0,Hectarea
Lafragua,6,2155.5000,0,0,0,0,Hectarea
Libres,5,2560.0000,1,1,1,0,Hectarea
La Magdalena Tlatlauquitepec,1,1159.6000,0,0,0,0,Hectarea
Mazapiltepec de Juarez,3,2378.0000,0,0,0,0,Hectarea
Mixtla,1,79.0000,0,0,0,0,Hectarea
Molcaxac,9,9755.2200,2,2,2,0,Hectarea
Cañada Morelos,5,5991.8600,0,0,0,0,Hectarea
Nicolas Bravo,2,9756.4100,0,0,0,0,Hectarea
Nopalucan,5,1325.5500,0,0,0,0,Hectarea
Ocotepec,1,218.6900,0,0,0,0,Hectarea
Ocoyucan,9,3821.4500,1,1,1,0,Hectarea
Oriental,6,7795.4300,0,0,0,0,Hectarea
Pahuatlan,2,116.9400,1,1,1,0,Hectarea
Palmar de Bravo,13,3804.6000,2,1,1,0,Hectarea
Pantepec,2,103.0000,1,1,1,0,Hectarea
Petlalcingo,8,8316.7100,0,0,0,0,Hectarea
Piaxtla,5,7708.9800,3,3,3,1,Hectarea
Puebla,16,4847.4600,5,3,3,1,Hectarea
Quecholac,6,2112.2100,3,3,3,0,Hectarea
Rafael Lara Grajales,1,355.6000,0,0,0,0,Hectarea
Los Reyes de Juarez,2,97.0000,0,0,0,0,Hectarea
San Andres Cholula,1,9.0000,1,0,0,0,Hectarea
San Antonio Cañada,2,3657.0800,0,0,0,0,Hectarea
San Diego la Mesa Tochimiltzingo,4,8981.3800,2,1,1,1,Hectarea
San Felipe Teotlalcingo,3,1220.5100,1,1,1,0,Hectarea
San Gabriel Chilac,4,11488.6700,0,0,0,0,Hectarea
San Jeronimo Tecuanipan,1,189.5700,0,0,0,0,Hectarea
San Jeronimo Xayacatlan,2,4653.3300,1,1,1,0,Hectarea
San Jose Chiapa,7,1952.3200,0,0,0,0,Hectarea
San Jose Miahuatlan,8,11081.0200,0,0,0,0,Hectarea
San Juan Atenco,4,867.9300,1,1,1,0,Hectarea
San Martin Texmelucan,5,137.7800,2,2,2,0,Hectarea
San Martin Totoltepec,1,1116.6400,0,0,0,0,Hectarea
San Matias Tlalancaleca,3,73.0200,0,0,0,0,Hectarea
San Miguel Xoxtla,1,0.1200,0,0,0,0,Hectarea
San Nicolas Buenos Aires,4,1770.2400,1,1,1,0,Hectarea
San Nicolas de los Ranchos,3,7916.0000,0,0,0,0,Hectarea
San Pablo Anicano,4,1687.7400,0,0,0,0,Hectarea
San Pedro Yeloixtlahuaca,2,4277.5200,1,1,1,0,Hectarea
San Salvador el Seco,4,3495.3400,1,1,1,0,Hectarea
San Salvador el Verde,1,8069.0000,0,0,0,0,Hectarea
San Sebastian Tlacotepec,1,10.0000,1,1,1,0,Hectarea
Santa Catarina Tlaltempan,1,240.0000,1,1,1,0,Hectarea
Santa Ines Ahuatempan,1,970.0000,0,0,0,0,Hectarea
Santa Isabel Cholula,2,244.7500,1,1,1,1,Hectarea
Santiago Miahuatlan,3,4160.3400,1,1,1,1,Hectarea
Huehuetlan el Grande,12,16032.9700,5,5,5,2,Hectarea
Santo Tomas Hueyotlipan,2,81.0600,1,1,1,0,Hectarea
Soltepec,7,2474.0500,0,0,0,0,Hectarea
Tecali de Herrera,12,2954.9000,4,3,3,0,Hectarea
Tecamachalco,6,1873.3400,5,5,5,1,Hectarea
Tecomatlan,3,4860.0000,0,0,0,0,Hectarea
Tehuacan,10,14524.2600,2,1,1,0,Hectarea
Tehuitzingo,10,16737.6100,1,1,1,0,Hectarea
Tenampulco,4,376.4700,1,1,1,0,Hectarea
Teopantlan,3,23853.2900,2,2,2,1,Hectarea
Teotlalco,4,11885.2700,2,2,2,1,Hectarea
Tepanco de Lopez,5,12677.9800,0,0,0,0,Hectarea
Tepatlaxco de Hidalgo,1,194.2100,0,0,0,0,Hectarea
Tepeaca,15,3061.3700,2,2,2,0,Hectarea
Tepemaxalco,3,1001.1800,0,0,0,0,Hectarea
Tepeojuma,8,4124.5800,1,1,1,0,Hectarea
Tepetzintla,2,381.5000,0,0,0,0,Hectarea
Tepexco,4,4436.9600,2,1,1,0,Hectarea
Tepexi de Rodriguez,11,17896.7400,0,0,0,0,Hectarea
Tepeyahualco,13,13176.8300,3,3,3,0,Hectarea
Tepeyahualco de Cuauhtemoc,1,58.3100,0,0,0,0,Hectarea
Tetela de Ocampo,4,670.6100,1,1,1,0,Hectarea
Teziutlan,2,767.4600,0,0,0,0,Hectarea
Tianguismanalco,5,5300.0000,1,1,1,0,Hectarea
Tilapa,6,2394.6700,2,2,2,1,Hectarea
Tlacotepec de Benito Juarez,16,11436.6000,3,2,2,0,Hectarea
Tlacuilotepec,2,95.5500,0,0,0,0,Hectarea
Tlachichuca,23,7562.7500,6,6,6,0,Hectarea
Tlahuapan,18,8682.1700,1,1,1,0,Hectarea
Tlanepantla,2,120.9400,0,0,0,0,Hectarea
Tlapacoya,2,27.2400,1,1,1,0,Hectarea
Tlapanala,5,1250.3100,0,0,0,0,Hectarea
Tlatlauquitepec,4,3356.0000,0,0,0,0,Hectarea
Tochimilco,12,3820.4900,0,0,0,0,Hectarea
Tochtepec,3,1487.0800,1,1,1,1,Hectarea
Totoltepec de Guerrero,3,2884.8200,0,0,0,0,Hectarea
Tulcingo,1,3879.5400,1,1,1,0,Hectarea
Tzicatlacoyan,6,3608.1300,3,3,3,0,Hectarea
Venustiano Carranza,3,73.0000,0,0,0,0,Hectarea
Vicente Guerrero,4,13534.0000,1,1,1,0,Hectarea
Xayacatlan de Bravo,1,1114.0300,0,0,0,0,Hectarea
Xicotepec,3,259.9900,1,1,1,1,Hectarea
Xicotlan,2,11461.0000,0,0,0,0,Hectarea
Xiutetelco,3,6517.5000,0,0,0,0,Hectarea
Xochiapulco,1,329.0000,1,1,1,0,Hectarea
Xochiltepec,3,8388.8000,1,1,1,0,Hectarea
Xochitlan de Vicente Suarez,2,432.5000,0,0,0,0,Hectarea
Xochitlan Todos Santos,3,998.0500,1,1,1,0,Hectarea
Yehualtepec,6,4800.2800,0,0,0,0,Hectarea
Zacapala,7,9601.4500,0,0,0,0,Hectarea
Zacapoaxtla,6,520.7300,2,1,1,0,Hectarea
Zacatlan,16,3998.6900,2,2,2,0,Hectarea
Zapotitlan,7,38174.0000,1,1,1,0,Hectarea
Zaragoza,2,305.1200,0,0,0,0,Hectarea
Zautla,8,4548.7400,0,0,0,0,Hectarea
Zihuateutla,4,83.1200,1,0,0,0,Hectarea
Zinacatepec,1,1055.3800,0,0,0,0,Hectarea
Zoquiapan,1,1.0000,1,1,1,0,Hectarea
Zoquitlan,1,1161.7600,0,0,0,0,Hectarea
Queretaro,347,363816.7400,47,39,39,3,Hectarea
Amealco de Bonfil,23,11128.0000,2,2,2,0,Hectarea
Pinal de Amoles,19,16186.6300,2,0,0,1,Hectarea
Arroyo Seco,13,30520.2500,4,3,3,0,Hectarea
Cadereyta de Montes,38,89687.0000,9,8,8,1,Hectarea
Colon,37,39313.8400,2,2,2,0,Hectarea
Corregidora,14,3671.8600,1,1,1,0,Hectarea
Ezequiel Montes,7,4342.3100,0,0,0,0,Hectarea
Huimilpan,15,7339.2900,2,2,2,0,Hectarea
Jalpan de Serra,6,9080.0000,0,0,0,0,Hectarea
Landa de Matamoros,4,3386.2500,1,1,1,0,Hectarea
El Marques,32,18244.1300,3,3,3,0,Hectarea
Pedro Escobedo,14,7420.7700,3,3,3,0,Hectarea
Peñamiller,16,44497.0000,2,2,2,0,Hectarea
Queretaro,38,16502.2800,1,1,1,0,Hectarea
San Joaquin,4,13620.0000,2,1,1,0,Hectarea
San Juan Del Rio,45,24714.1300,10,8,8,1,Hectarea
Tequisquiapan,12,10485.0000,2,2,2,0,Hectarea
Toliman,10,13678.0000,1,0,0,0,Hectarea
Quintana Roo,281,2569780.3100,245,234,234,169,Hectarea
Cozumel,1,1262.0000,0,0,0,0,Hectarea
Felipe Carrillo Puerto,55,791349.9700,54,53,53,29,Hectarea
Isla Mujeres,1,25006.0000,0,0,0,0,Hectarea
Othon P. Blanco,105,872573.6200,88,79,79,56,Hectarea
Benito Juarez,3,110982.0000,0,0,0,0,Hectarea
Jose Maria Morelos,65,358597.1300,62,62,62,55,Hectarea
Lazaro Cardenas,34,278251.0900,29,28,28,22,Hectarea
Solidaridad,17,131758.5000,12,12,12,7,Hectarea
San Luis Potosi,944,2846664.5300,203,159,159,68,Hectarea
Ahualulco,14,58369.1300,0,0,0,0,Hectarea
Alaquines,11,41958.0000,3,3,3,0,Hectarea
Aquismon,20,20870.2900,11,10,10,8,Hectarea
Armadillo de los Infante,7,9268.0000,1,0,0,0,Hectarea
Cardenas,5,16533.1700,2,2,2,1,Hectarea
Catorce,21,167694.9000,3,2,2,0,Hectarea
Cedral,26,65294.5000,3,2,2,0,Hectarea
