INEGI. IX Censo Ejidal 2007,,,,,,,
Ejidos y comunidades medidos por alguna institucion o empresa segun hayan optado,,,,,,cuadro 37,
por el dominio pleno de sus tierras por entidad federativa y municipio,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_medidos,ejidos_y_comunidades_que_optaron_por_el_dominio_pleno_total,ejidos_y_comunidades_que_optaron_por_el_dominio_pleno_para_todo_el_ejido_o_comunidad_,ejidos_y_comunidades_que_optaron_por_el_dominio_pleno_solo_para_una_parte_del_ejido_total,ejidos_y_comunidades_que_optaron_por_el_dominio_pleno_solo_para_una_parte_del_ejido_ejidatarios,superficie_en_dominio_pleno_(ha),unidad_de_medida
Valle de Zaragoza,12,4,4,0,0,549.0000,Hectarea
Distrito Federal,2,2,1,1,500,987.0000,Hectarea
Tlahuac,2,2,1,1,500,987.0000,Hectarea
Durango,1061,306,229,77,2853,318867.7600,Hectarea
Canatlan,40,13,12,1,6,17543.0600,Hectarea
Canelas,2,0,0,0,0,0.0000,Hectarea
Coneto de Comonfort,8,0,0,0,0,0.0000,Hectarea
Cuencame,26,13,6,7,131,1868.0000,Hectarea
Durango,119,31,21,10,143,17113.5400,Hectarea
General Simon Bolivar,21,18,17,1,60,42662.0000,Hectarea
Gomez Palacio,96,60,44,16,187,7656.5000,Hectarea
Guadalupe Victoria,10,7,7,0,0,20821.9500,Hectarea
Guanacevi,40,17,13,4,92,17436.5100,Hectarea
Hidalgo,17,0,0,0,0,0.0000,Hectarea
Inde,12,9,7,2,202,17446.0000,Hectarea
Lerdo,29,24,22,2,6,4058.0000,Hectarea
Mapimi,72,25,17,8,286,23202.3100,Hectarea
Mezquital,19,0,0,0,0,0.0000,Hectarea
Nazas,23,3,0,3,67,188.0000,Hectarea
Nombre de Dios,19,8,1,7,77,591.5300,Hectarea
Ocampo,22,3,3,0,0,3605.0000,Hectarea
El Oro,25,10,9,1,45,42756.9000,Hectarea
Otaez,13,0,0,0,0,0.0000,Hectarea
Panuco de Coronado,17,13,13,0,0,14681.4500,Hectarea
Peñon Blanco,5,1,0,1,100,480.0000,Hectarea
Poanas,19,11,11,0,0,28288.4300,Hectarea
Pueblo Nuevo,23,3,3,0,0,8583.8000,Hectarea
Rodeo,29,1,1,0,0,294.0000,Hectarea
San Bernardo,23,0,0,0,0,0.0000,Hectarea
San Dimas,40,0,0,0,0,0.0000,Hectarea
San Juan de Guadalupe,18,6,6,0,0,49.0000,Hectarea
San Juan del Rio,21,1,1,0,0,678.9800,Hectarea
San Luis del Cordero,2,0,0,0,0,0.0000,Hectarea
San Pedro del Gallo,11,0,0,0,0,0.0000,Hectarea
Santa Clara,5,1,1,0,0,0.0000,Hectarea
Santiago Papasquiaro,55,11,2,9,1216,16391.1200,Hectarea
Suchil,10,0,0,0,0,0.0000,Hectarea
Tamazula,41,2,2,0,0,23311.0000,Hectarea
Tepehuanes,25,1,1,0,0,2500.0000,Hectarea
Tlahualilo,56,9,7,2,182,3422.0000,Hectarea
Topia,11,0,0,0,0,0.0000,Hectarea
Vicente Guerrero,9,3,1,2,38,3218.6800,Hectarea
Nuevo Ideal,28,2,1,1,15,20.0000,Hectarea
Guanajuato,1420,321,89,232,4029,31106.7300,Hectarea
Abasolo,47,1,1,0,0,233.0000,Hectarea
