INEGI. IX Censo Ejidal 2007,,,,,,,
Ejidos y comunidades medidos por alguna institucion o empresa segun hayan optado,,,,,,cuadro 37,
por el dominio pleno de sus tierras por entidad federativa y municipio,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_medidos,ejidos_y_comunidades_que_optaron_por_el_dominio_pleno_total,ejidos_y_comunidades_que_optaron_por_el_dominio_pleno_para_todo_el_ejido_o_comunidad_,ejidos_y_comunidades_que_optaron_por_el_dominio_pleno_solo_para_una_parte_del_ejido_total,ejidos_y_comunidades_que_optaron_por_el_dominio_pleno_solo_para_una_parte_del_ejido_ejidatarios,superficie_en_dominio_pleno_(ha),unidad_de_medida
San Carlos,44,1,0,1,3,60.0000,Hectarea
San Fernando,65,1,1,0,0,0.0000,Hectarea
San Nicolas,6,0,0,0,0,0.0000,Hectarea
Soto la Marina,54,9,6,3,28,18955.0700,Hectarea
Tampico,1,0,0,0,0,0.0000,Hectarea
Tula,55,1,0,1,80,500.0000,Hectarea
Valle Hermoso,26,4,2,2,4,570.0000,Hectarea
Victoria,39,13,6,7,150,2635.0000,Hectarea
Villagran,31,0,0,0,0,0.0000,Hectarea
Xicotencatl,39,2,0,2,33,345.0000,Hectarea
Tlaxcala,237,66,32,34,1298,5613.5100,Hectarea
Atlangatepec,4,2,2,0,0,216.0000,Hectarea
Altzayanca,18,3,1,2,17,20.5000,Hectarea
Apizaco,4,3,0,3,145,88.0000,Hectarea
Calpulalpan,10,5,4,1,50,400.0000,Hectarea
El Carmen Tequexquitla,3,0,0,0,0,0.0000,Hectarea
Cuapiaxtla,11,2,2,0,0,104.0000,Hectarea
Cuaxomulco,1,1,0,1,40,170.0000,Hectarea
Chiautempan,5,3,0,3,160,475.0000,Hectarea
Muñoz de Domingo Arenas,4,1,0,1,11,100.0000,Hectarea
Españita,11,1,1,0,0,208.0000,Hectarea
Huamantla,25,5,1,4,28,338.0000,Hectarea
Hueyotlipan,13,1,0,1,2,16.0000,Hectarea
Ixtacuixtla de Mariano Matamoros,12,4,0,4,116,63.0000,Hectarea
Ixtenco,1,0,0,0,0,0.0000,Hectarea
Tepetitla de Lardizabal,2,1,0,1,3,2.0000,Hectarea
Sanctorum de Lazaro Cardenas,4,0,0,0,0,0.0000,Hectarea
Nanacamilpa de Mariano Arista,5,3,3,0,0,39.0000,Hectarea
Nativitas,14,3,3,0,0,6.0000,Hectarea
Panotla,6,2,2,0,0,20.0000,Hectarea
Santa Cruz Tlaxcala,3,1,1,0,0,150.0000,Hectarea
Teolocholco,2,1,1,0,0,0.0000,Hectarea
Terrenate,6,1,0,1,4,20.0000,Hectarea
Tetla de la Solidaridad,7,4,1,3,128,668.0000,Hectarea
Tetlatlahuca,3,1,0,1,10,16.0000,Hectarea
Tlaxcala,3,1,1,0,0,20.0100,Hectarea
Tlaxco,29,6,5,1,9,1394.0000,Hectarea
Tocatlan,1,0,0,0,0,0.0000,Hectarea
Totolac,1,1,1,0,0,40.0000,Hectarea
Zitlaltepec de Trinidad Sanchez Santos,3,0,0,0,0,0.0000,Hectarea
Tzompantepec,3,2,0,2,340,550.0000,Hectarea
Xaloztoc,2,2,0,2,120,145.0000,Hectarea
Xaltocan,4,2,2,0,0,10.0000,Hectarea
Papalotla de Xicohtencatl,1,0,0,0,0,0.0000,Hectarea
Xicohtzinco,1,0,0,0,0,0.0000,Hectarea
Yauhquemecan,2,2,1,1,80,185.0000,Hectarea
Zacatelco,1,0,0,0,0,0.0000,Hectarea
Benito Juarez,1,0,0,0,0,0.0000,Hectarea
Emiliano Zapata,2,0,0,0,0,0.0000,Hectarea
Lazaro Cardenas,2,0,0,0,0,0.0000,Hectarea
La Magdalena Tlaltelulco,1,1,0,1,20,100.0000,Hectarea
San Damian Texoloc,1,0,0,0,0,0.0000,Hectarea
San Jose Teacalco,1,1,0,1,15,50.0000,Hectarea
San Lorenzo Axocomanitla,1,0,0,0,0,0.0000,Hectarea
San Lucas Tecopilco,1,0,0,0,0,0.0000,Hectarea
Santa Ana Nopalucan,1,0,0,0,0,0.0000,Hectarea
Santa Apolonia Teacalco,1,0,0,0,0,0.0000,Hectarea
Veracruz de Ignacio de la Llave,3497,376,302,74,1265,103120.6700,Hectarea
Acajete,2,0,0,0,0,0.0000,Hectarea
Acatlan,1,1,1,0,0,184.0000,Hectarea
Acayucan,31,2,1,1,23,500.0000,Hectarea
Actopan,28,2,1,1,2,21.0000,Hectarea
Acula,9,1,1,0,0,717.0000,Hectarea
Acultzingo,16,3,1,2,50,73.0000,Hectarea
Camaron de Tejeda,5,2,2,0,0,270.0000,Hectarea
Alto Lucero de Gutierrez Barrios,15,3,3,0,0,118.1000,Hectarea
Altotonga,15,3,3,0,0,19.0000,Hectarea
Alvarado,17,2,0,2,58,812.0000,Hectarea
Amatitlan,6,1,1,0,0,40.0000,Hectarea
Naranjos Amatlan,11,7,7,0,0,461.5700,Hectarea
Amatlan de los Reyes,19,13,11,2,25,795.0000,Hectarea
angel R. Cabada,21,1,1,0,0,0.0000,Hectarea
La Antigua,11,1,0,1,20,200.0000,Hectarea
Apazapan,5,0,0,0,0,0.0000,Hectarea
Atlahuilco,1,1,0,1,62,70.0000,Hectarea
Atoyac,15,1,0,1,10,10.0000,Hectarea
Atzacan,7,0,0,0,0,0.0000,Hectarea
Atzalan,36,1,1,0,0,42.0000,Hectarea
Tlaltetela,12,3,3,0,0,890.0000,Hectarea
Banderilla,1,0,0,0,0,0.0000,Hectarea
Benito Juarez,19,0,0,0,0,0.0000,Hectarea
Boca del Rio,3,3,3,0,0,354.0000,Hectarea
Calcahualco,2,2,2,0,0,306.0000,Hectarea
Camerino Z. Mendoza,1,0,0,0,0,0.0000,Hectarea
Carrillo Puerto,4,1,1,0,0,0.0000,Hectarea
Catemaco,29,3,3,0,0,24.5000,Hectarea
Cazones,22,0,0,0,0,0.0000,Hectarea
Cerro Azul,7,2,1,1,2,31.0000,Hectarea
Citlaltepetl,1,1,1,0,0,347.4800,Hectarea
Coacoatzintla,3,2,2,0,0,159.0000,Hectarea
Coahuitlan,1,0,0,0,0,0.0000,Hectarea
Coatepec,12,5,5,0,0,569.5100,Hectarea
Coatzacoalcos,7,1,1,0,0,0.0000,Hectarea
Coatzintla,16,6,5,1,1,826.0000,Hectarea
Coetzala,1,0,0,0,0,0.0000,Hectarea
Colipa,3,0,0,0,0,0.0000,Hectarea
Comapa,13,1,0,1,40,800.0000,Hectarea
Cordoba,24,11,9,2,75,759.5800,Hectarea
Cosamaloapan de Carpio,32,6,6,0,0,30.0000,Hectarea
Coscomatepec,3,0,0,0,0,0.0000,Hectarea
Cosoleacaque,15,2,2,0,0,0.0000,Hectarea
Cotaxtla,12,0,0,0,0,0.0000,Hectarea
Coxquihui,5,0,0,0,0,0.0000,Hectarea
Coyutla,8,3,0,3,9,87.0000,Hectarea
Cuichapa,6,2,1,1,1,9.0000,Hectarea
Cuitlahuac,15,4,4,0,0,2.0000,Hectarea
Chacaltianguis,12,2,2,0,0,350.0000,Hectarea
Chalma,13,1,1,0,0,308.2000,Hectarea
Chiconamel,11,0,0,0,0,0.0000,Hectarea
Chiconquiaco,6,0,0,0,0,0.0000,Hectarea
Chicontepec,82,2,2,0,0,0.0000,Hectarea
Chinameca,9,0,0,0,0,0.0000,Hectarea
Chinampa de Gorostiza,7,4,4,0,0,362.6400,Hectarea
Las Choapas,121,1,0,1,56,1120.0000,Hectarea
Chocaman,3,1,1,0,0,10.0000,Hectarea
Chontla,11,10,10,0,0,9361.4500,Hectarea
Emiliano Zapata,24,6,6,0,0,1493.0000,Hectarea
Espinal,19,1,0,1,1,5.0000,Hectarea
Fortin,6,3,1,2,31,107.0000,Hectarea
Gutierrez Zamora,14,0,0,0,0,0.0000,Hectarea
Hidalgotitlan,39,5,5,0,0,3032.0000,Hectarea
Huatusco,10,1,0,1,26,78.0000,Hectarea
Huayacocotla,22,1,0,1,2,8.0000,Hectarea
Hueyapan de Ocampo,36,5,5,0,0,0.0000,Hectarea
Huiloapan,1,1,1,0,0,0.0000,Hectarea
Ignacio de la Llave,29,0,0,0,0,0.0000,Hectarea
Ilamatlan,14,13,12,1,76,1227.3000,Hectarea
Isla,44,9,9,0,0,1754.7500,Hectarea
Ixcatepec,1,0,0,0,0,0.0000,Hectarea
Ixhuacan de los Reyes,6,1,0,1,49,80.0000,Hectarea
Ixhuatlan del Cafe,13,0,0,0,0,0.0000,Hectarea
Ixhuatlancillo,3,2,2,0,0,40.0000,Hectarea
Ixhuatlan del Sureste,12,2,2,0,0,0.0000,Hectarea
Ixhuatlan de Madero,64,0,0,0,0,0.0000,Hectarea
Ixmatlahuacan,8,0,0,0,0,0.0000,Hectarea
Ixtaczoquitlan,14,2,2,0,0,16.0000,Hectarea
Jalacingo,16,3,3,0,0,0.0000,Hectarea
Xalapa,10,2,0,2,72,329.0000,Hectarea
Jalcomulco,3,0,0,0,0,0.0000,Hectarea
Jaltipan,14,0,0,0,0,0.0000,Hectarea
Jamapa,12,4,3,1,23,590.0000,Hectarea
Jesus Carranza,52,1,0,1,11,98.6500,Hectarea
Xico,11,1,1,0,0,10.0000,Hectarea
Jilotepec,5,3,3,0,0,0.0000,Hectarea
Juan Rodriguez Clara,44,0,0,0,0,0.0000,Hectarea
Juchique de Ferrer,7,0,0,0,0,0.0000,Hectarea
Lerdo de Tejada,3,1,0,1,50,10.0000,Hectarea
Maltrata,2,1,1,0,0,320.0000,Hectarea
Manlio Fabio Altamirano,28,6,5,1,20,172.0000,Hectarea
Mariano Escobedo,3,1,1,0,0,160.0000,Hectarea
Martinez de la Torre,45,3,1,2,33,669.0000,Hectarea
Mecayapan,13,0,0,0,0,0.0000,Hectarea
Medellin,33,11,10,1,20,2278.0000,Hectarea
Miahuatlan,1,1,1,0,0,4.5000,Hectarea
Minatitlan,121,9,7,2,2,14630.0000,Hectarea
Misantla,35,5,0,5,113,1191.0000,Hectarea
Moloacan,12,1,1,0,0,0.0000,Hectarea
Naolinco,4,0,0,0,0,0.0000,Hectarea
Nautla,12,1,1,0,0,40.0000,Hectarea
Nogales,5,0,0,0,0,0.0000,Hectarea
Oluta,3,0,0,0,0,0.0000,Hectarea
Omealca,23,0,0,0,0,0.0000,Hectarea
Otatitlan,4,0,0,0,0,0.0000,Hectarea
Ozuluama de Mascareñas,38,1,0,1,2,37.0000,Hectarea
Pajapan,10,0,0,0,0,0.0000,Hectarea
Panuco,131,3,0,3,33,210.0000,Hectarea
Papantla,67,2,2,0,0,750.0000,Hectarea
Paso del Macho,27,11,9,2,20,623.7500,Hectarea
Paso de Ovejas,26,1,0,1,26,75.0000,Hectarea
La Perla,1,0,0,0,0,0.0000,Hectarea
Perote,16,0,0,0,0,0.0000,Hectarea
Platon Sanchez,9,2,2,0,0,773.0700,Hectarea
Playa Vicente,64,3,3,0,0,0.0000,Hectarea
Las Vigas de Ramirez,1,0,0,0,0,0.0000,Hectarea
Pueblo Viejo,16,2,2,0,0,62.9600,Hectarea
Puente Nacional,26,3,2,1,24,286.0000,Hectarea
Rafael Delgado,2,1,1,0,0,97.0000,Hectarea
Rafael Lucio,1,1,0,1,1,4.1000,Hectarea
Los Reyes,2,1,0,1,2,4.0000,Hectarea
Rio Blanco,1,1,1,0,0,90.0000,Hectarea
Saltabarranca,4,0,0,0,0,0.0000,Hectarea
San Andres Tuxtla,77,7,3,4,18,41.0000,Hectarea
San Juan Evangelista,49,0,0,0,0,0.0000,Hectarea
Santiago Tuxtla,44,0,0,0,0,0.0000,Hectarea
Sayula de Aleman,30,1,0,1,1,1.0000,Hectarea
Soconusco,7,1,0,1,2,40.0000,Hectarea
Soledad Atzompa,2,1,0,1,40,28.0000,Hectarea
Soledad de Doblado,26,2,2,0,0,51.0000,Hectarea
Soteapan,24,1,1,0,0,880.0000,Hectarea
Tamalin,9,0,0,0,0,0.0000,Hectarea
Tamiahua,49,0,0,0,0,0.0000,Hectarea
Tampico Alto,23,3,3,0,0,0.0000,Hectarea
Tancoco,9,1,1,0,0,0.0000,Hectarea
Tantima,18,6,5,1,3,652.6900,Hectarea
Tantoyuca,36,19,17,2,52,7940.2000,Hectarea
Castillo de Teayo,24,3,3,0,0,2214.0000,Hectarea
Tecolutla,36,0,0,0,0,0.0000,Hectarea
Temapache,102,2,2,0,0,661.0000,Hectarea
Tempoal,31,0,0,0,0,0.0000,Hectarea
Tenampa,6,0,0,0,0,0.0000,Hectarea
Teocelo,1,0,0,0,0,0.0000,Hectarea
Tepatlaxco,5,0,0,0,0,0.0000,Hectarea
Tepetlan,6,2,2,0,0,1435.0000,Hectarea
Tepetzintla,11,1,0,1,24,284.0000,Hectarea
Tequila,2,0,0,0,0,0.0000,Hectarea
Jose Azueta,28,2,2,0,0,0.0000,Hectarea
Texcatepec,2,0,0,0,0,0.0000,Hectarea
Texistepec,21,1,0,1,16,400.0000,Hectarea
Tezonapa,38,2,0,2,4,39.0000,Hectarea
Tierra Blanca,78,8,7,1,6,4069.0000,Hectarea
Tihuatlan,61,5,3,2,12,97.0000,Hectarea
Tlacojalpan,3,0,0,0,0,0.0000,Hectarea
Tlacolulan,2,1,1,0,0,0.0000,Hectarea
Tlacotalpan,16,0,0,0,0,0.0000,Hectarea
Tlacotepec de Mejia,2,0,0,0,0,0.0000,Hectarea
Tlachichilco,8,1,1,0,0,8.1700,Hectarea
Tlalixcoyan,54,0,0,0,0,0.0000,Hectarea
Tlalnelhuayocan,2,1,1,0,0,0.0000,Hectarea
Tlapacoyan,13,1,1,0,0,0.0000,Hectarea
Tlilapan,1,0,0,0,0,0.0000,Hectarea
Tomatlan,2,1,1,0,0,0.0000,Hectarea
Tonayan,3,2,2,0,0,5.0000,Hectarea
Totutla,7,0,0,0,0,0.0000,Hectarea
Tuxpam,71,1,1,0,0,0.0000,Hectarea
Tuxtilla,2,0,0,0,0,0.0000,Hectarea
ursulo Galvan,16,2,0,2,11,22.0000,Hectarea
Vega de Alatorre,13,0,0,0,0,0.0000,Hectarea
Veracruz,15,11,11,0,0,1561.0000,Hectarea
Villa Aldama,5,0,0,0,0,0.0000,Hectarea
Xoxocotla,1,0,0,0,0,0.0000,Hectarea
Yanga,10,1,1,0,0,75.0000,Hectarea
Yecuatla,3,1,1,0,0,210.0000,Hectarea
Zacualpan,4,1,1,0,0,0.0000,Hectarea
Zentla,3,0,0,0,0,0.0000,Hectarea
Zongolica,15,10,10,0,0,9222.0000,Hectarea
Zontecomatlan de Lopez y Fuentes,14,2,2,0,0,65.0000,Hectarea
Zozocolco de Hidalgo,2,0,0,0,0,0.0000,Hectarea
Agua Dulce,14,1,1,0,0,0.0000,Hectarea
El Higo,15,0,0,0,0,0.0000,Hectarea
Nanchital de Lazaro Cardenas del Rio,1,0,0,0,0,0.0000,Hectarea
Tres Valles,40,2,1,1,5,4.0000,Hectarea
Carlos A. Carrillo,10,0,0,0,0,0.0000,Hectarea
Tatahuicapan de Juarez,21,0,0,0,0,0.0000,Hectarea
Uxpanapa,85,7,7,0,0,20719.5000,Hectarea
San Rafael,3,0,0,0,0,0.0000,Hectarea
Santiago Sochiapan,1,0,0,0,0,0.0000,Hectarea
Yucatan,677,158,122,36,1802,298667.3800,Hectarea
Abala,7,1,0,1,25,25.0000,Hectarea
Acanceh,7,2,0,2,18,56.0000,Hectarea
Baca,3,0,0,0,0,0.0000,Hectarea
Bokoba,2,0,0,0,0,0.0000,Hectarea
Buctzotz,7,2,2,0,0,3825.0000,Hectarea
Cacalchen,2,0,0,0,0,0.0000,Hectarea
Calotmul,4,3,3,0,0,7910.0000,Hectarea
Cansahcab,3,0,0,0,0,0.0000,Hectarea
Cantamayec,3,2,2,0,0,330.0000,Hectarea
Celestun,1,0,0,0,0,0.0000,Hectarea
Cenotillo,4,4,4,0,0,22293.0000,Hectarea
Conkal,3,1,1,0,0,200.0000,Hectarea
Cuncunul,4,0,0,0,0,0.0000,Hectarea
Cuzama,4,1,1,0,0,63.0300,Hectarea
Chacsinkin,2,0,0,0,0,0.0000,Hectarea
Chankom,14,0,0,0,0,0.0000,Hectarea
Chapab,1,1,1,0,0,250.0000,Hectarea
Chemax,16,2,0,2,184,3425.0000,Hectarea
Chicxulub Pueblo,3,1,1,0,0,20.0000,Hectarea
Chichimila,7,6,4,2,88,11323.0000,Hectarea
Chikindzonot,3,0,0,0,0,0.0000,Hectarea
Chochola,2,0,0,0,0,0.0000,Hectarea
Chumayel,1,0,0,0,0,0.0000,Hectarea
Dzemul,3,0,0,0,0,0.0000,Hectarea
Dzidzantun,2,0,0,0,0,0.0000,Hectarea
Dzilam de Bravo,1,0,0,0,0,0.0000,Hectarea
Dzilam Gonzalez,3,1,1,0,0,0.0000,Hectarea
Dzitas,3,0,0,0,0,0.0000,Hectarea
Dzoncauich,2,0,0,0,0,0.0000,Hectarea
Espita,9,5,5,0,0,7742.0000,Hectarea
Halacho,6,0,0,0,0,0.0000,Hectarea
Hocaba,4,4,4,0,0,15252.0000,Hectarea
Hoctun,3,1,1,0,0,43.0000,Hectarea
Homun,5,1,1,0,0,0.0000,Hectarea
Huhi,2,1,1,0,0,8626.0000,Hectarea
Hunucma,5,0,0,0,0,0.0000,Hectarea
Ixil,1,0,0,0,0,0.0000,Hectarea
Izamal,10,5,3,2,19,120552.0000,Hectarea
Kanasin,5,4,4,0,0,1170.0000,Hectarea
Kantunil,2,2,2,0,0,5071.0000,Hectarea
Kaua,2,0,0,0,0,0.0000,Hectarea
Kinchil,1,0,0,0,0,0.0000,Hectarea
Kopoma,2,0,0,0,0,0.0000,Hectarea
Mama,1,0,0,0,0,0.0000,Hectarea
Mani,2,0,0,0,0,0.0000,Hectarea
Maxcanu,12,0,0,0,0,0.0000,Hectarea
Mayapan,1,0,0,0,0,0.0000,Hectarea
Merida,45,25,24,1,260,5151.5500,Hectarea
Mococha,4,1,1,0,0,10.0000,Hectarea
Motul,20,2,2,0,0,1260.0000,Hectarea
Muna,3,0,0,0,0,0.0000,Hectarea
Muxupip,3,2,1,1,7,446.5000,Hectarea
Opichen,1,0,0,0,0,0.0000,Hectarea
Oxkutzcab,4,0,0,0,0,0.0000,Hectarea
Panaba,5,0,0,0,0,0.0000,Hectarea
Peto,30,0,0,0,0,0.0000,Hectarea
Progreso,5,3,2,1,8,1813.5000,Hectarea
Quintana Roo,2,0,0,0,0,0.0000,Hectarea
Rio Lagartos,1,0,0,0,0,0.0000,Hectarea
Sacalum,4,3,0,3,566,1582.0000,Hectarea
Samahil,4,0,0,0,0,0.0000,Hectarea
Sanahcat,1,1,0,1,10,20.0000,Hectarea
San Felipe,2,0,0,0,0,0.0000,Hectarea
Santa Elena,2,0,0,0,0,0.0000,Hectarea
Seye,4,3,0,3,118,261.0000,Hectarea
Sinanche,2,0,0,0,0,0.0000,Hectarea
Sotuta,4,3,3,0,0,12637.0000,Hectarea
Sucila,2,2,2,0,0,13317.0000,Hectarea
Sudzal,4,2,2,0,0,2940.0000,Hectarea
Suma,2,1,1,0,0,0.0000,Hectarea
Tahdziu,1,0,0,0,0,0.0000,Hectarea
Tahmek,2,1,1,0,0,200.0000,Hectarea
Teabo,1,0,0,0,0,0.0000,Hectarea
Tecoh,11,3,1,2,84,866.0000,Hectarea
Tekal de Venegas,3,1,1,0,0,120.0000,Hectarea
Tekanto,5,0,0,0,0,0.0000,Hectarea
Tekax,55,2,1,1,4,385.0000,Hectarea
Tekom,4,0,0,0,0,0.0000,Hectarea
Telchac,1,1,0,1,70,140.0000,Hectarea
Telchac Puerto,1,0,0,0,0,0.0000,Hectarea
Temax,4,2,2,0,0,0.0000,Hectarea
Temozon,13,13,12,1,19,26123.0000,Hectarea
Tetiz,6,0,0,0,0,0.0000,Hectarea
Teya,1,0,0,0,0,0.0000,Hectarea
Ticul,3,3,3,0,0,5192.0000,Hectarea
Timucuy,3,2,1,1,7,63.0000,Hectarea
Tinum,8,1,0,1,7,12.0000,Hectarea
Tixcacalcupul,5,0,0,0,0,0.0000,Hectarea
Tixkokob,12,3,1,2,67,140.8000,Hectarea
Tixmehuac,7,2,1,1,2,64.0000,Hectarea
Tixpehual,5,3,3,0,0,2119.0000,Hectarea
Tizimin,69,3,1,2,16,1070.0000,Hectarea
Tunkas,7,3,1,2,6,619.0000,Hectarea
Tzucacab,21,2,0,2,180,4300.0000,Hectarea
Uayma,3,2,2,0,0,1306.0000,Hectarea
Ucu,2,0,0,0,0,0.0000,Hectarea
Uman,17,4,4,0,0,1822.0000,Hectarea
Valladolid,20,8,7,1,37,4590.0000,Hectarea
Xocchel,2,0,0,0,0,0.0000,Hectarea
Yaxcaba,38,0,0,0,0,0.0000,Hectarea
Yaxkukul,1,1,1,0,0,1921.0000,Hectarea
Yobain,2,0,0,0,0,0.0000,Hectarea
Zacatecas,716,131,115,16,476,121675.1500,Hectarea
Apozol,4,0,0,0,0,0.0000,Hectarea
Apulco,1,0,0,0,0,0.0000,Hectarea
Benito Juarez,4,0,0,0,0,0.0000,Hectarea
Calera,2,1,0,1,10,30.0000,Hectarea
Cañitas de Felipe Pescador,3,0,0,0,0,0.0000,Hectarea
Concepcion del Oro,16,2,2,0,0,250.0000,Hectarea
Cuauhtemoc,6,0,0,0,0,0.0000,Hectarea
Chalchihuites,5,0,0,0,0,0.0000,Hectarea
Fresnillo,73,8,4,4,112,320.0000,Hectarea
Genaro Codina,7,0,0,0,0,0.0000,Hectarea
General Enrique Estrada,2,1,1,0,0,40.0000,Hectarea
General Francisco R. Murguia,38,8,8,0,0,1871.0000,Hectarea
El Plateado de Joaquin Amaro,5,5,5,0,0,2770.0000,Hectarea
General Panfilo Natera,10,1,1,0,0,2881.1100,Hectarea
Guadalupe,11,6,6,0,0,5494.2400,Hectarea
Huanusco,6,3,2,1,175,2054.0000,Hectarea
Jalpa,5,5,5,0,0,3509.4000,Hectarea
Jerez,37,8,7,1,20,1031.2500,Hectarea
Jimenez del Teul,5,0,0,0,0,0.0000,Hectarea
Juan Aldama,6,1,1,0,0,0.0000,Hectarea
Juchipila,4,0,0,0,0,0.0000,Hectarea
Loreto,10,0,0,0,0,0.0000,Hectarea
Luis Moya,7,0,0,0,0,0.0000,Hectarea
Mazapil,62,13,11,2,99,4736.0000,Hectarea
Melchor Ocampo,6,2,1,1,30,135.0000,Hectarea
Mezquital del Oro,1,0,0,0,0,0.0000,Hectarea
Miguel Auza,4,1,1,0,0,750.0000,Hectarea
Monte Escobedo,7,0,0,0,0,0.0000,Hectarea
Morelos,3,2,1,1,3,153.0000,Hectarea
Nochistlan de Mejia,2,0,0,0,0,0.0000,Hectarea
Noria de angeles,8,0,0,0,0,0.0000,Hectarea
Ojocaliente,20,5,3,2,8,4531.7800,Hectarea
Panuco,6,0,0,0,0,0.0000,Hectarea
Pinos,62,0,0,0,0,0.0000,Hectarea
Rio Grande,33,2,2,0,0,7200.0000,Hectarea
Sain Alto,17,8,8,0,0,15839.1000,Hectarea
El Salvador,5,0,0,0,0,0.0000,Hectarea
Sombrerete,40,13,12,1,1,47322.2700,Hectarea
Susticacan,3,0,0,0,0,0.0000,Hectarea
Tabasco,5,1,1,0,0,0.0000,Hectarea
Tepechitlan,4,1,1,0,0,100.0000,Hectarea
Tepetongo,12,0,0,0,0,0.0000,Hectarea
Teul de Gonzalez Ortega,3,0,0,0,0,0.0000,Hectarea
Tlaltenango de Sanchez Roman,1,0,0,0,0,0.0000,Hectarea
Valparaiso,42,5,5,0,0,7.0000,Hectarea
Vetagrande,2,0,0,0,0,0.0000,Hectarea
Villa de Cos,38,11,11,0,0,20.0000,Hectarea
Villa Garcia,14,0,0,0,0,0.0000,Hectarea
Villa Gonzalez Ortega,4,1,1,0,0,1.0000,Hectarea
Villa Hidalgo,8,0,0,0,0,0.0000,Hectarea
Villanueva,24,12,11,1,3,20372.0000,Hectarea
Zacatecas,9,4,3,1,15,250.0000,Hectarea
Trancoso,3,0,0,0,0,0.0000,Hectarea
Santa Maria de la Paz,1,1,1,0,0,7.0000,Hectarea
"NOTA: La Informacion presentada corresponde a los datos captados en el cuestionario por medio de las preguntas:  41, 42, 43, 43.1 y 43.2",,,,,,,
http://www3.inegi.org.mx/sistemas/tabuladosbasicos/default.aspx?c=17351&s=est,,,,,,,
