INEGI. IX Censo Ejidal 2007,,,,,,,
Total de ejidos y comunidades segun disposicion y tipo de parcelas,,,,,,,cuadro 31
con destino especifico por entidad federativa y municipio,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades,parcelas_de_destino_especifico_ejidos_y_comunidades_con_parcelas_de_destino_especifico,parcelas_de_destino_especifico_parcela_escolar,parcelas_de_destino_especifico_unidad_productiva_para_el_desarrollo_integral_de_la_juventud,unidad_agricola_industrial_para_la_mujer_total,unidad_agricola_industrial_para_la_mujer_mujeres_participantes,sin_parcelas_de_este_tipo
Nazas,24,24,24,0,5,53,0
Nombre de Dios,19,18,18,0,1,10,1
Ocampo,24,18,18,0,1,20,6
El Oro,25,18,18,0,6,131,7
Otaez,14,9,9,1,1,13,5
Panuco de Coronado,17,17,17,0,1,15,0
Peñon Blanco,5,4,4,1,1,14,1
Poanas,20,18,18,0,2,34,2
Pueblo Nuevo,24,16,16,0,2,20,8
Rodeo,29,29,29,1,6,50,0
San Bernardo,24,21,20,0,1,16,3
San Dimas,49,34,34,0,2,18,15
San Juan de Guadalupe,21,14,13,0,2,23,7
San Juan del Rio,22,18,18,0,1,0,4
San Luis del Cordero,C,C,2,0,0,0,C
San Pedro del Gallo,11,10,10,0,4,22,1
Santa Clara,6,6,5,1,1,12,0
Santiago Papasquiaro,62,46,46,2,3,37,16
Suchil,10,7,7,0,1,8,3
Tamazula,49,10,9,1,0,0,39
Tepehuanes,26,8,8,0,1,10,18
Tlahualilo,57,44,44,0,10,110,13
Topia,15,7,7,0,1,15,8
Vicente Guerrero,9,9,9,0,2,40,0
Nuevo Ideal,29,27,27,2,5,101,2
Guanajuato,1543,1253,1233,53,178,2005,290
Abasolo,47,37,37,1,2,6,10
Acambaro,69,56,55,8,10,93,13
San Miguel de Allende,61,53,51,4,19,230,8
Apaseo el Alto,28,22,22,0,1,7,6
Apaseo el Grande,39,31,28,3,11,57,8
Atarjea,12,7,7,0,0,0,5
Celaya,40,30,30,1,2,20,10
Manuel Doblado,33,29,29,1,1,40,4
Comonfort,32,20,20,0,3,38,12
Coroneo,C,C,3,0,0,0,C
Cortazar,23,21,20,3,1,30,2
Cueramaro,15,14,14,0,0,0,1
Doctor Mora,5,1,1,0,0,0,4
Dolores Hidalgo Cuna de la Independencia Nal.,60,41,37,4,13,115,19
Guanajuato,29,23,23,2,2,10,6
Huanimaro,20,19,19,0,2,16,1
Irapuato,80,71,70,3,11,105,9
Jaral del Progreso,15,9,9,0,1,15,6
Jerecuaro,42,36,36,0,1,0,6
Leon,50,39,38,3,1,10,11
Moroleon,8,8,8,0,0,0,0
Ocampo,16,11,11,3,6,110,5
Penjamo,151,131,131,0,5,50,20
Pueblo Nuevo,6,5,5,0,2,10,1
Purisima del Rincon,11,11,11,0,1,7,0
Romita,47,40,40,1,4,65,7
Salamanca,54,42,42,0,1,47,12
Salvatierra,58,46,46,4,4,31,12
San Diego de la Union,34,25,23,0,7,40,9
San Felipe,81,62,59,0,33,484,19
San Francisco del Rincon,26,24,24,0,2,75,2
San Jose Iturbide,3,3,3,0,1,6,0
San Luis de la Paz,24,14,14,1,7,81,10
Santa Catarina,C,C,1,0,0,0,C
Santa Cruz de Juventino Rosas,26,21,21,0,3,24,5
Santiago Maravatio,9,8,8,0,0,0,1
Silao,64,56,56,5,6,75,8
Tarandacuao,3,3,3,0,0,0,0
Tarimoro,14,12,12,0,1,25,2
Tierra Blanca,3,2,2,0,0,0,1
Uriangato,9,6,6,2,0,0,3
Valle de Santiago,98,83,81,1,8,42,15
Victoria,15,10,10,0,3,5,5
Villagran,11,9,9,1,1,14,2
Xichu,14,7,7,0,0,0,7
Yuriria,53,51,51,2,2,22,2
Guerrero,1259,969,964,45,112,1224,290
Acapulco de Juarez,45,35,34,4,13,93,10
Ahuacuotzingo,28,22,22,1,1,0,6
Ajuchitlan del Progreso,39,34,34,0,3,190,5
Alcozauca de Guerrero,14,6,6,0,0,0,8
Alpoyeca,5,3,3,0,0,0,2
Apaxtla,4,4,4,0,0,0,0
Arcelia,23,20,20,0,3,32,3
Atenango del Rio,14,9,9,1,0,0,5
Atlamajalcingo del Monte,7,3,3,0,0,0,4
Atlixtac,5,2,2,0,0,0,3
Atoyac de alvarez,36,36,36,1,3,37,0
Ayutla de los Libres,28,26,26,0,1,0,2
Azoyu,11,9,9,0,1,15,2
Benito Juarez,6,3,3,0,0,0,3
Buenavista de Cuellar,7,7,7,0,0,0,0
Coahuayutla de Jose Maria Izazaga,35,31,31,1,4,20,4
Cocula,16,16,16,3,4,28,0
Copala,6,4,4,0,1,10,2
Copalillo,9,8,8,0,0,0,1
Copanatoyac,8,4,4,0,0,0,4
Coyuca de Benitez,32,29,27,3,4,6,3
Coyuca de Catalan,56,45,45,0,2,18,11
Cuajinicuilapa,11,10,10,0,0,0,1
Cualac,C,C,1,0,0,0,C
Cuautepec,5,4,4,0,0,0,1
Cuetzala del Progreso,12,9,9,2,3,30,3
Cutzamala de Pinzon,33,28,28,0,0,0,5
Chilapa de alvarez,45,24,24,2,0,0,21
Chilpancingo de los Bravo,31,23,23,3,6,0,8
Florencio Villarreal,C,C,1,1,1,0,C
General Canuto A. Neri,5,4,4,0,0,0,1
General Heliodoro Castillo,7,6,6,0,1,0,1
Huamuxtitlan,8,8,8,0,0,0,0
Huitzuco de los Figueroa,21,18,18,0,1,7,3
Iguala de la Independencia,15,15,15,0,4,22,0
Igualapa,7,5,5,0,1,13,2
Ixcateopan de Cuauhtemoc,C,C,1,0,1,42,C
Jose Azueta,18,14,14,0,2,0,4
Juan R. Escudero,11,10,10,1,2,10,1
Leonardo Bravo,16,13,13,0,1,7,3
Malinaltepec,9,9,9,0,0,0,0
Martir de Cuilapan,11,5,5,0,0,0,6
Metlatonoc,9,4,4,0,0,0,5
Mochitlan,26,21,21,0,1,22,5
Olinala ,7,2,2,0,0,0,5
Ometepec,26,22,22,0,2,20,4
Petatlan,27,24,24,1,2,37,3
Pilcaya,6,6,6,0,0,0,0
Pungarabato,10,7,6,2,2,0,3
Quechultenango,26,20,20,2,0,0,6
San Luis Acatlan,23,18,18,6,1,20,5
San Marcos,33,29,29,0,5,87,4
San Miguel Totolapan,8,2,2,0,0,0,6
Taxco de Alarcon,23,14,14,0,1,0,9
Tecoanapa,39,33,33,0,0,0,6
Tecpan de Galeana,25,24,24,0,1,15,1
Teloloapan,27,22,22,1,4,49,5
Tepecoacuilco de Trujano,25,14,13,0,1,0,11
Tetipac,5,5,5,0,0,0,0
Tixtla de Guerrero,10,7,7,1,1,10,3
Tlacoachistlahuaca,15,6,6,0,0,0,9
Tlacoapa,C,C,2,0,0,0,C
Tlalchapa,16,14,14,0,2,18,2
Tlalixtaquilla de Maldonado,5,2,2,0,1,0,3
Tlapa de Comonfort,30,16,16,0,3,82,14
Tlapehuala,12,11,11,5,0,0,1
La Union de Isidoro Montes de Oca,31,27,27,2,15,194,4
Xalpatlahuac,8,1,1,0,0,0,7
Xochihuehuetlan,7,2,2,0,0,0,5
Xochistlahuaca,7,5,5,0,0,0,2
Zapotitlan Tablas,C,C,0,0,0,0,C
Zirandaro,28,19,19,0,3,40,9
Zitlala,11,6,6,0,0,0,5
Eduardo Neri,16,12,12,1,2,0,4
Acatepec,C,C,1,1,0,0,C
Marquelia,3,2,2,0,0,0,1
Cochoapa el Grande,C,C,0,0,0,0,C
Jose Joaquin de Herrera,C,C,0,0,0,0,C
Juchitan,C,C,1,0,0,0,C
Iliatenco,4,4,4,0,2,50,0
Hidalgo,1189,1013,986,56,319,5703,176
Acatlan,17,15,15,0,2,40,2
Acaxochitlan,13,13,13,0,3,10,0
Actopan,11,9,8,1,1,20,2
Agua Blanca de Iturbide,10,9,9,0,3,0,1
Ajacuba,8,8,8,1,1,4,0
Alfajayucan,28,23,22,0,13,123,5
Almoloya,13,13,13,0,2,18,0
Apan,15,15,14,0,4,53,0
El Arenal,8,8,7,0,6,116,0
Atitalaquia,5,5,5,0,1,2,0
Atlapexco,9,8,7,1,2,166,1
Atotonilco el Grande,24,22,22,0,6,99,2
Atotonilco de Tula,7,7,7,1,3,21,0
Calnali,C,C,1,0,0,0,C
Cardonal,20,13,11,3,7,235,7
