INEGI. IX Censo Ejidal 2007,,,
"Total de ejidatarios, comuneros y posesionarios",,,cuadro 12
por entidad federativa y municipio,,,
,,,
entidad_federativa_y_municipio,total,ejidatarios_y_comuneros,posesionarios
Teocuitatlan de Corona,2416,1984,432
Tepatitlan de Morelos,40,39,1
Tequila,956,890,66
Teuchitlan,1092,884,208
Tizapan el Alto,1743,1418,325
Tlajomulco de Zuñiga,3911,2798,1113
Tlaquepaque,1127,725,402
Toliman,1016,897,119
Tomatlan,6359,4699,1660
Tonala,836,430,406
Tonaya,349,349,0
Tonila,899,739,160
Tototlan,1287,1118,169
Tuxcacuesco,698,611,87
Tuxcueca,763,668,95
Tuxpan,1053,858,195
Union de San Antonio,758,679,79
Union de Tula,1436,1374,62
Valle de Guadalupe,8,8,0
Valle de Juarez,653,456,197
San Gabriel,2226,1736,490
Villa Corona,2093,1417,676
Villa Guerrero,102,72,30
Villa Hidalgo,275,259,16
Cañadas de Obregon,71,59,12
Yahualica de Gonzalez Gallo,93,93,0
Zacoalco de Torres,1967,1639,328
Zapopan,3998,3271,727
Zapotiltic,1979,1532,447
Zapotitlan de Vadillo,401,312,89
Zapotlan del Rey,1663,1405,258
Zapotlanejo,989,558,431
Mexico,563411,323941,239470
Acambay,22616,18106,4510
Acolman,2301,1856,445
Aculco,7223,4628,2595
Almoloya de Alquisiras,3741,1899,1842
Almoloya de Juarez,15374,5272,10102
Almoloya del Rio,2656,1758,898
Amanalco,4309,2389,1920
Amatepec,2381,1289,1092
Amecameca,2161,1741,420
Apaxco,1547,647,900
Atenco,2979,1760,1219
Atizapan,305,77,228
Atizapan de Zaragoza,53,53,0
Atlacomulco,20907,13892,7015
Atlautla,1423,1032,391
Axapusco,4003,2838,1165
Ayapango,499,412,87
Calimaya,5922,3464,2458
Capulhuac,2916,2353,563
Coacalco de Berriozabal,196,158,38
Coatepec Harinas,3877,2500,1377
Cocotitlan,334,301,33
Coyotepec,1426,626,800
Cuautitlan,411,362,49
Chalco,4430,3043,1387
Chapa de Mota,5777,3194,2583
Chapultepec,602,402,200
Chiautla,651,628,23
Chicoloapan,675,659,16
Chiconcuac,687,356,331
Chimalhuacan,2414,1814,600
Donato Guerra,4905,4020,885
Ecatepec de Morelos,1320,1298,22
Ecatzingo,1154,880,274
Huehuetoca,2092,1051,1041
Hueypoxtla,5810,4891,919
Huixquilucan,3157,2527,630
Isidro Fabela,2232,1166,1066
Ixtapaluca,5472,4289,1183
Ixtapan de la Sal,183,123,60
Ixtapan del Oro,1407,876,531
Ixtlahuaca,25047,10543,14504
Jaltenco,29,29,0
Jilotepec,14040,7900,6140
Jilotzingo,2535,2011,524
Jiquipilco,14340,8520,5820
Jocotitlan,9804,8040,1764
Joquicingo,1587,1081,506
Juchitepec,1296,1251,45
Lerma,10935,8245,2690
Malinalco,2518,1388,1130
Melchor Ocampo,386,377,9
Metepec,3143,1772,1371
Mexicaltzingo,594,381,213
Morelos,13692,7016,6676
Naucalpan de Juarez,1741,1516,225
Nextlalpan,273,262,11
Nicolas Romero,4180,2498,1682
Nopaltepec,1032,919,113
Ocoyoacac,5919,2439,3480
Ocuilan,21205,10853,10352
El Oro,11336,7204,4132
Otumba,1862,1414,448
Otzoloapan,136,101,35
Otzolotepec,5764,2932,2832
Ozumba,886,796,90
Papalotla,112,74,38
La Paz,238,177,61
Polotitlan,1454,1047,407
Rayon,1532,590,942
San Antonio la Isla,720,525,195
San Felipe del Progreso,16800,5742,11058
San Martin de las Piramides,1274,917,357
San Mateo Atenco,460,230,230
San Simon de Guerrero,1549,1519,30
Santo Tomas,314,247,67
Soyaniquilpan de Juarez,2000,935,1065
Sultepec,3921,3221,700
Tecamac,1991,1864,127
Tejupilco,5036,3553,1483
Temamatla,202,167,35
Temascalapa,2347,2333,14
Temascalcingo,16346,8384,7962
Temascaltepec,8330,5595,2735
Temoaya,8263,2802,5461
Tenancingo,5869,3614,2255
Tenango del Aire,617,584,33
Tenango del Valle,6416,3977,2439
Teoloyucan,1488,1244,244
Teotihuacan,1769,1560,209
Tepetlaoxtoc,1217,969,248
Tepetlixpa,1705,1534,171
Tepotzotlan,2083,730,1353
Tequixquiac,2489,1712,777
Texcaltitlan,3534,2020,1514
Texcalyacac,760,720,40
Texcoco,5955,4133,1822
Tezoyuca,1303,939,364
Tianguistenco,2816,2300,516
Timilpan,12267,10988,1279
Tlalmanalco,775,544,231
Tlalnepantla de Baz,555,472,83
Tlatlaya,6416,3826,2590
Toluca,32299,12792,19507
Tonatico,691,472,219
Tultepec,507,478,29
Tultitlan,554,473,81
Valle de Bravo,3114,1193,1921
Villa de Allende,12875,6249,6626
Villa del Carbon,12823,3418,9405
Villa Guerrero,2611,1905,706
Villa Victoria,14091,4986,9105
Xonacatlan,3720,2272,1448
Zacazonapan,80,46,34
Zacualpan,3563,1994,1569
Zinacantepec,12686,4817,7869
Zumpahuacan,113,88,25
Zumpango,3015,2462,553
Cuautitlan Izcalli,1261,1018,243
Valle de Chalco Solidaridad,177,146,31
Luvianos,3472,1787,1685
San Jose del Rincon,18028,5439,12589
Michoacan de Ocampo,305389,214832,90557
Acuitzio,420,420,0
Aguililla,1249,1199,50
alvaro Obregon,1739,1461,278
Angamacutiro,2210,1532,678
Angangueo,974,579,395
Apatzingan,4307,3337,970
Aporo,90,61,29
Aquila,5215,3197,2018
Ario,3361,1727,1634
Arteaga,1568,978,590
Briseñas,1605,1371,234
Buenavista,5051,3650,1401
Caracuaro,776,670,106
Coahuayana,1170,906,264
Coalcoman de Vazquez Pallares,736,677,59
Coeneo,2753,2034,719
Contepec,4060,2612,1448
Copandaro,253,237,16
Cotija,881,769,112
Cuitzeo,586,452,134
Charapan,1988,1253,735
Charo,1925,1282,643
Chavinda,907,807,100
Cheran,3655,3055,600
Chilchota,11610,7811,3799
Chinicuila,1644,1582,62
Chucandiro,711,696,15
Churintzio,1693,1301,392
Churumuco,2609,2295,314
Ecuandureo,1875,1479,396
Epitacio Huerta,1819,1157,662
Erongaricuaro,1438,1418,20
Gabriel Zamora,1539,1097,442
Hidalgo,2811,2341,470
La Huacana,4056,3662,394
Huandacareo,430,313,117
Huaniqueo,999,908,91
Huetamo,5017,4460,557
Huiramba,424,314,110
Indaparapeo,1435,1366,69
Irimbo,536,321,215
Ixtlan,1273,1164,109
Jacona,397,353,44
Jimenez,1906,1511,395
Jiquilpan,1148,971,177
Juarez,1026,712,314
Jungapeo,1645,1305,340
Lagunillas,253,253,0
Madero,3465,1055,2410
Maravatio,4536,2852,1684
Marcos Castellanos,414,325,89
Lazaro Cardenas,2817,1858,959
Morelia,5916,4131,1785
Morelos,421,415,6
Mugica,2342,1705,637
Nahuatzen,8647,4290,4357
Nocupetaro,1656,1147,509
Nuevo Parangaricutiro,7790,1466,6324
Nuevo Urecho,1920,1189,731
Numaran,1202,926,276
Ocampo,2160,1050,1110
Pajacuaran,2530,1976,554
Panindicuaro,1585,1302,283
Paracuaro,2408,2173,235
Paracho,7035,5360,1675
Patzcuaro,2598,2155,443
Penjamillo,3631,2496,1135
Periban,838,689,149
La Piedad,3967,3601,366
Purepero,206,202,4
Puruandiro,7857,5291,2566
Querendaro,1537,707,830
Quiroga,8441,8231,210
Cojumatlan de Regules,930,464,466
Los Reyes,4222,3471,751
Sahuayo,1027,839,188
San Lucas,2610,2523,87
Santa Ana Maya,366,282,84
Salvador Escalante,4539,3351,1188
Senguio,2203,1139,1064
Susupuato,1926,1179,747
Tacambaro,2802,1643,1159
Tancitaro,593,509,84
Tangamandapio,1466,1410,56
Tangancicuaro,3088,2710,378
Tanhuato,2144,1534,610
Taretan,1241,1039,202
