INEGI. IX Censo Ejidal 2007,,,,,,,,
Total de ejidos y comunidades segun tipo de problematica interna,,,,,,,,cuadro 39
por entidad federativa y municipio,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades,problematica_interna_de_linderos_al_interior_del_ejido,problematica_interna_de_linderos_con_sus_colindantes,problematica_interna_ invasion_de_terrenos,problematica_interna_ acceso_al_credito,problematica_interna_ erosion_o_salinidad_del_suelo,problematica_interna_ acceso_al_agua_para_riego,problematica_interna_otros_problemas
San Agustin Tlaxiaca,10,1,2,2,3,2,4,0
San Bartolo Tutotepec,7,0,0,0,5,0,1,0
San Salvador,18,1,3,3,6,6,8,2
Santiago de Anaya,13,1,5,3,4,3,8,2
Santiago Tulantepec de Lugo Guerrero,6,0,0,1,3,2,4,1
Singuilucan,15,1,4,2,9,1,10,2
Tasquillo,17,2,3,2,3,4,6,2
Tecozautla,32,0,4,2,2,9,8,1
Tenango de Doria,5,1,0,0,3,0,2,0
Tepeapulco,9,5,7,6,4,7,0,3
Tepehuacan de Guerrero,31,1,6,2,1,0,0,0
Tepeji del Rio de Ocampo,16,3,3,7,3,3,5,0
Tepetitlan,12,1,0,0,7,8,7,5
Tetepango,C,2,2,1,2,1,1,1
Villa de Tezontepec,C,0,0,1,0,1,1,0
Tezontepec de Aldama,5,2,3,2,0,4,1,3
Tianguistengo,24,2,1,2,13,0,6,5
Tizayuca,3,0,0,1,1,0,2,1
Tlahuelilpan,C,1,1,1,1,1,0,0
Tlahuiltepa,15,0,1,1,9,2,5,0
Tlanalapa,3,0,0,0,2,1,0,1
Tlanchinol,34,8,5,3,16,4,7,0
Tlaxcoapan,4,0,0,0,4,2,3,0
Tolcayuca,3,0,0,0,0,0,0,0
Tula de Allende,25,5,7,5,20,12,16,4
Tulancingo de Bravo,14,4,2,2,3,1,2,3
