INEGI. IX Censo Ejidal 2007,,,,,,,,,,
"Ejidos y comunidades con tractores de su propiedad segun cantidad, años de uso",,,,,,,,,,cuadro 28
y funcionamiento por entidad federativa y municipio,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_con_tractores,cantidad_de_tractores,años_de_uso_de_los_tractores_hasta_5_años_cantidad_total,años_de_uso_de_los_tractores_hasta_5_años_cantidad_funcionando,años_de_uso_de_los_tractores_mas_de_5 hasta_10_años_cantidad_total,años_de_uso_de_los_tractores_mas_de_5 hasta_10_años_cantidad_funcionando,años_de_uso_de_los_tractores_mas_de_10_hasta_15_años_cantidad_total,años_de_uso_de_los_tractores_mas_de_10_hasta_15_años_cantidad_funcionando,años_de_uso_de_los_tractores_mas_de_15_años_cantidad_total,años_de_uso_de_los_tractores_mas_de_15_años_cantidad_funcionando
Tula de Allende,7,12,5,5,1,1,4,4,2,2
Tulancingo de Bravo,2,3,0,0,0,0,0,0,3,2
Xochiatipan,1,1,1,1,0,0,0,0,0,0
Yahualica,1,1,0,0,1,1,0,0,0,0
Zapotlan de Juarez,1,1,1,1,0,0,0,0,0,0
Zempoala,6,12,2,2,2,2,1,1,7,7
Zimapan,14,15,0,0,6,6,5,4,4,1
Jalisco,55,97,15,15,17,16,14,11,51,46
Acatic,1,5,3,3,0,0,1,1,1,1
Acatlan de Juarez,1,1,0,0,0,0,0,0,1,1
Amacueca,1,2,1,1,1,1,0,0,0,0
Ameca,1,1,1,1,0,0,0,0,0,0
Atenguillo,1,1,0,0,0,0,0,0,1,1
Atotonilco el Alto,1,1,0,0,0,0,0,0,1,1
Autlan de Navarro,1,2,2,2,0,0,0,0,0,0
Ayotlan,2,4,0,0,0,0,1,0,3,2
Ayutla,1,1,0,0,0,0,0,0,1,1
La Barca,1,1,1,1,0,0,0,0,0,0
Zapotlan el Grande,1,2,0,0,2,2,0,0,0,0
Cuautla,1,1,0,0,1,1,0,0,0,0
Cuquio,1,2,0,0,0,0,0,0,2,2
Degollado,2,3,0,0,0,0,1,1,2,2
Guachinango,1,1,0,0,1,1,0,0,0,0
Jamay,1,1,0,0,1,0,0,0,0,0
Jesus Maria,1,2,0,0,1,1,1,1,0,0
Jilotlan de los Dolores,1,4,0,0,1,1,2,0,1,0
Lagos de Moreno,6,10,0,0,2,2,0,0,8,8
El Limon,1,3,0,0,0,0,3,3,0,0
Magdalena,1,2,0,0,0,0,0,0,2,2
Mascota,2,4,0,0,0,0,0,0,4,4
Mezquitic,2,4,0,0,0,0,1,1,3,3
Mixtlan,1,3,1,1,1,1,0,0,1,1
Ojuelos de Jalisco,1,1,1,1,0,0,0,0,0,0
Poncitlan,2,3,1,1,0,0,0,0,2,0
Puerto Vallarta,1,1,0,0,0,0,0,0,1,1
El Salto,1,2,0,0,0,0,0,0,2,2
Sayula,1,3,0,0,1,1,0,0,2,2
Tamazula de Gordiano,1,1,1,1,0,0,0,0,0,0
Teuchitlan,1,1,0,0,0,0,0,0,1,1
Tlajomulco de Zuñiga,3,6,0,0,1,1,0,0,5,5
Tlaquepaque,1,2,0,0,0,0,0,0,2,2
Tonila,3,6,1,1,4,4,0,0,1,0
Union de San Antonio,2,3,0,0,0,0,3,3,0,0
Zapopan,2,2,1,1,0,0,0,0,1,1
Zapotiltic,3,5,1,1,0,0,1,1,3,3
Mexico,101,203,59,58,34,29,32,29,78,64
Acolman,7,12,6,6,2,2,1,1,3,2
Almoloya de Juarez,1,2,0,0,0,0,1,1,1,0
Amecameca,1,1,1,1,0,0,0,0,0,0
