entidad_federativa _y_municipio,ejidos_y_comunidades,actividades_no _agropecuarias _ni _forestales_industriales_ejidatarios participantes_total,actividades_no _agropecuarias _ni _forestales_industriales_ejidatarios participantes_mujeres,ejidos_y_comunidades,actividades_no _agropecuarias _ni _forestales_srtesanales_ejidatarios participantes_total,actividades_no _agropecuarias _ni _forestales_artesanales_ejidatarios participantes_mujeres,ejidos_y_comunidades,actividades_no _agropecuarias _ni _forestales_de_extraccion _de_materiales_para_la_construccion_ejidatarios participantes_total,actividades_no _agropecuarias _ni _forestales_de_extraccion _de_materiales_para_la_construccion_ejidatarios participantes_mujeres,ejidos_y_comunidades,actividades_no _agropecuarias _ni _forestales_de_extraccion_de_otros_minerales_ejidatarios participantes_total,actividades_no _agropecuarias _ni _forestales_de_extraccion_de_otros_mineralesejidatarios participantes_mujeres,ejidos_y_comunidades,actividades_no _agropecuarias _ni _forestales_pesqueras_ejidatarios participantes_total,actividades_no _agropecuarias _ni _forestales_pesqueras_ejidatarios participantes_mujeres,,entidad_federativa_y_municipio,ejidos_y_comunidades,actividades_no _agropecuarias _ni _forestales_turisticas_ejidatarios participantes_total,actividades_no _agropecuarias _ni _forestales_turisticas_ejidatarios participantes_mujeres,ejidos_y_comunidades,actividades_no _agropecuarias _ni _forestales_de_acuicultura_ejidatarios participantes_total,actividades_no _agropecuarias _ni _forestales_de_acuicultura_ejidatarios participantes_mujeres,ejidos_y_comunidades,actividades_no _agropecuarias _ni _forestales_otras_actividades_ejidatarios participantes_total,actividades_no _agropecuarias _ni _forestales_otras_actividades_ejidatarios participantes_mujeres
San Cristobal de las Casas,0,0,0,0,0,0,2,21,0,0,0,0,0,0,0,,San Cristobal de las Casas,0,0,0,0,0,0,0,0,0
San Fernando,0,0,0,2,7,2,2,46,4,0,0,0,2,15,0,,San Fernando,0,0,0,1,42,20,0,0,0
Siltepec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Siltepec,0,0,0,0,0,0,1,57,1
Simojovel,0,0,0,0,0,0,1,60,9,0,0,0,0,0,0,,Simojovel,0,0,0,0,0,0,0,0,0
Socoltenango,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Socoltenango,1,44,4,0,0,0,0,0,0
Solosuchiapa,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,,Solosuchiapa,0,0,0,0,0,0,0,0,0
Soyalo,0,0,0,2,254,150,0,0,0,0,0,0,0,0,0,,Soyalo,0,0,0,0,0,0,0,0,0
Suchiapa,0,0,0,1,100,50,1,20,0,0,0,0,0,0,0,,Suchiapa,0,0,0,0,0,0,0,0,0
Suchiate,0,0,0,0,0,0,0,0,0,0,0,0,1,31,8,,Suchiate,0,0,0,0,0,0,0,0,0
Tapachula,0,0,0,0,0,0,2,194,38,0,0,0,1,33,12,,Tapachula,0,0,0,1,12,0,0,0,0
Tapalapa,1,10,0,1,1,1,0,0,0,0,0,0,0,0,0,,Tapalapa,0,0,0,0,0,0,0,0,0
Tecpatan,0,0,0,0,0,0,0,0,0,0,0,0,5,48,9,,Tecpatan,0,0,0,1,10,4,0,0,0
Teopisca,0,0,0,0,0,0,1,5,5,0,0,0,0,0,0,,Teopisca,0,0,0,0,0,0,0,0,0
Tila,0,0,0,0,0,0,3,142,9,0,0,0,0,0,0,,Tila,0,0,0,0,0,0,0,0,0
Tonala,0,0,0,1,15,0,0,0,0,0,0,0,1,35,0,,Tonala,0,0,0,4,78,31,1,21,4
La Trinitaria,0,0,0,3,145,115,11,1911,384,0,0,0,4,463,15,,La Trinitaria,3,360,11,1,87,6,0,0,0
Tumbala,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,,Tumbala,2,247,53,0,0,0,0,0,0
Tuxtla Gutierrez,1,5,5,2,22,12,1,50,0,0,0,0,0,0,0,,Tuxtla Gutierrez,0,0,0,0,0,0,0,0,0
Tuzantan,0,0,0,0,0,0,2,14,0,0,0,0,0,0,0,,Tuzantan,0,0,0,1,30,0,0,0,0
Tzimol,0,0,0,0,0,0,1,10,0,0,0,0,1,7,1,,Tzimol,1,19,1,0,0,0,0,0,0
Union Juarez,0,0,0,0,0,0,1,52,39,0,0,0,0,0,0,,Union Juarez,1,100,40,0,0,0,0,0,0
Venustiano Carranza,0,0,0,2,25,25,2,83,6,0,0,0,3,15,0,,Venustiano Carranza,0,0,0,0,0,0,0,0,0
Villa Corzo,0,0,0,0,0,0,6,559,35,0,0,0,6,301,0,,Villa Corzo,1,38,2,0,0,0,2,114,13
Villaflores,0,0,0,7,37,28,4,58,0,0,0,0,0,0,0,,Villaflores,0,0,0,0,0,0,0,0,0
Zinacantan,0,0,0,3,1024,1024,0,0,0,0,0,0,0,0,0,,Zinacantan,0,0,0,0,0,0,0,0,0
San Juan Cancuc,0,0,0,1,10,10,0,0,0,0,0,0,0,0,0,,San Juan Cancuc,0,0,0,0,0,0,0,0,0
Maravilla Tenejapa,0,0,0,1,10,10,2,148,2,0,0,0,0,0,0,,Maravilla Tenejapa,1,88,10,0,0,0,0,0,0
Marques de Comillas,0,0,0,0,0,0,4,456,163,0,0,0,1,5,5,,Marques de Comillas,1,23,6,0,0,0,0,0,0
San Andres Duraznal,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,,San Andres Duraznal,0,0,0,0,0,0,0,0,0
Chihuahua,13,843,218,17,722,290,33,1660,334,7,273,27,12,435,20,,Chihuahua,23,1605,422,16,1098,78,4,489,173
Ahumada,1,50,50,0,0,0,3,12,1,0,0,0,0,0,0,,Ahumada,0,0,0,0,0,0,0,0,0
Aldama,0,0,0,0,0,0,1,53,11,1,74,5,2,48,6,,Aldama,0,0,0,0,0,0,0,0,0
Allende,0,0,0,0,0,0,2,51,4,0,0,0,0,0,0,,Allende,0,0,0,0,0,0,0,0,0
Ascension,1,3,0,0,0,0,1,1,0,0,0,0,0,0,0,,Ascension,1,224,0,0,0,0,0,0,0
Balleza,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Balleza,1,397,80,1,120,0,0,0,0
