INEGI. IX Censo Ejidal 2007,,,,,,,
"Ejidos y comunidades con asistencia a la escuela del presidente del comisariado,",,,,,,,cuadro 41
segun nivel maximo de estudios aprobado por entidad federativa y municipio,,,,,,,
,,,,,,,
,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_con_asistencia_a_la_escuela_del_presidente_del_comisariado,nivel_maximo_de_estudios_aprobado_ninguno,nivel_maximo_de_estudios_aprobado_primaria,nivel_maximo_de_estudios_aprobado_secundaria,nivel_maximo_de_estudios_aprobado_preparatoria,nivel_maximo_de_estudios_aprobado_otros_estudios,nivel_maximo_de_estudios_aprobado_sin_asistencia_a_la_escuela
Tlalpan,10,0,6,0,1,3,0
Xochimilco,4,0,0,2,1,1,0
Durango,1069,4,775,158,45,87,55
Canatlan,40,0,24,12,2,2,0
Canelas,3,0,3,0,0,0,0
Coneto de Comonfort,8,0,6,2,0,0,0
Cuencame,28,1,21,4,0,2,0
Durango,120,0,93,15,2,10,2
General Simon Bolivar,19,0,13,4,1,1,2
Gomez Palacio,95,0,69,11,0,15,3
Guadalupe Victoria,10,0,6,2,1,1,0
Guanacevi,36,0,26,6,2,2,4
Hidalgo,18,0,11,5,0,2,0
Inde,12,0,8,3,0,1,0
Lerdo,29,0,16,5,2,6,2
Mapimi,66,0,55,6,3,2,12
Mezquital,20,0,13,3,2,2,2
Nazas,24,0,17,5,1,1,0
Nombre de Dios,19,0,16,2,0,1,0
Ocampo,24,0,12,5,1,6,0
El Oro,25,0,17,2,3,3,0
Otaez,11,0,8,3,0,0,3
Panuco de Coronado,16,0,13,3,0,0,1
Peñon Blanco,5,0,4,0,1,0,0
Poanas,19,0,14,2,2,1,1
Pueblo Nuevo,24,0,14,5,3,2,0
Rodeo,27,1,20,3,0,3,2
San Bernardo,22,0,17,3,1,1,2
San Dimas,49,0,41,5,1,2,0
San Juan de Guadalupe,19,0,16,1,0,2,2
San Juan del Rio,22,0,16,2,4,0,0
San Luis del Cordero,2,0,1,0,0,1,0
San Pedro del Gallo,10,0,8,2,0,0,1
Santa Clara,6,0,4,2,0,0,0
Santiago Papasquiaro,58,0,46,9,2,1,4
Suchil,8,0,5,2,0,1,2
Tamazula,47,0,37,8,1,1,2
Tepehuanes,24,0,22,1,0,1,2
Tlahualilo,52,1,30,7,4,10,5
Topia,14,0,9,2,1,2,1
Vicente Guerrero,9,1,4,2,2,0,0
Nuevo Ideal,29,0,20,4,3,2,0
Guanajuato,1086,19,888,108,37,34,457
Abasolo,29,0,26,2,1,0,18
Acambaro,41,0,33,4,4,0,28
San Miguel de Allende,39,1,33,3,0,2,22
Apaseo el Alto,19,1,15,2,1,0,9
Apaseo el Grande,23,0,16,2,3,2,16
Atarjea,9,0,7,2,0,0,3
Celaya,33,0,24,5,2,2,7
Manuel Doblado,23,1,18,1,2,1,10
Comonfort,18,1,13,4,0,0,14
Coroneo,3,0,2,1,0,0,0
Cortazar,19,0,14,4,0,1,4
Cueramaro,9,0,8,1,0,0,6
Doctor Mora,3,0,1,2,0,0,2
Dolores Hidalgo Cuna de la Independencia Nal.,32,0,24,5,3,0,28
Guanajuato,19,0,17,2,0,0,10
Huanimaro,19,0,16,0,1,2,1
Irapuato,65,1,56,6,1,1,15
Jaral del Progreso,12,0,10,2,0,0,3
Jerecuaro,22,2,19,1,0,0,20
Leon,42,2,32,7,1,0,8
Moroleon,4,0,4,0,0,0,4
Ocampo,10,0,10,0,0,0,6
Penjamo,114,2,91,12,3,6,37
Pueblo Nuevo,6,0,6,0,0,0,0
Purisima del Rincon,11,0,11,0,0,0,0
Romita,31,0,28,3,0,0,16
Salamanca,34,0,23,8,1,2,20
Salvatierra,36,0,26,3,3,4,22
San Diego de la Union,18,1,14,3,0,0,16
San Felipe,49,1,44,4,0,0,32
San Francisco del Rincon,24,0,20,4,0,0,2
San Jose Iturbide,1,0,1,0,0,0,2
San Luis de la Paz,15,1,11,2,1,0,9
Santa Catarina,1,0,1,0,0,0,1
Santa Cruz de Juventino Rosas,16,1,10,2,1,2,10
Santiago Maravatio,5,0,4,0,0,1,4
Silao,57,0,51,1,3,2,7
Tarandacuao,3,0,3,0,0,0,0
Tarimoro,12,0,10,1,1,0,2
Tierra Blanca,1,0,1,0,0,0,2
Uriangato,8,0,8,0,0,0,1
Valle de Santiago,76,1,64,4,2,5,22
Victoria,11,0,11,0,0,0,4
Villagran,11,0,7,2,2,0,0
Xichu,8,0,7,0,1,0,6
Yuriria,45,3,38,3,0,1,8
Guerrero,1077,3,784,139,57,94,182
Acapulco de Juarez,44,0,18,10,6,10,1
Ahuacuotzingo,17,1,16,0,0,0,11
Ajuchitlan del Progreso,34,0,24,8,1,1,5
Alcozauca de Guerrero,13,0,11,2,0,0,1
Alpoyeca,5,0,5,0,0,0,0
Apaxtla,4,0,1,1,1,1,0
Arcelia,21,0,17,0,2,2,2
Atenango del Rio,13,0,12,1,0,0,1
Atlamajalcingo del Monte,4,0,1,0,1,2,3
Atlixtac,4,0,3,0,0,1,1
Atoyac de alvarez,33,0,19,9,2,3,3
Ayutla de los Libres,26,0,24,2,0,0,2
Azoyu,8,0,5,1,1,1,3
Benito Juarez,5,0,1,1,1,2,1
Buenavista de Cuellar,6,0,6,0,0,0,1
Coahuayutla de Jose Maria Izazaga,33,0,30,3,0,0,2
Cocula,14,0,12,2,0,0,2
Copala,6,0,4,1,1,0,0
Copalillo,7,0,7,0,0,0,2
Copanatoyac,8,0,5,1,1,1,0
Coyuca de Benitez,30,0,14,8,3,5,2
Coyuca de Catalan,45,0,34,7,2,2,11
Cuajinicuilapa,11,0,6,3,0,2,0
Cualac,1,0,0,0,0,1,0
Cuautepec,5,0,5,0,0,0,0
Cuetzala del Progreso,10,0,9,1,0,0,2
Cutzamala de Pinzon,22,0,19,2,1,0,11
Chilapa de alvarez,26,0,24,2,0,0,19
Chilpancingo de los Bravo,28,1,23,3,0,1,3
Florencio Villarreal,1,0,0,0,1,0,0
General Canuto A. Neri,5,0,5,0,0,0,0
General Heliodoro Castillo,6,0,4,1,0,1,1
Huamuxtitlan,8,0,5,3,0,0,0
Huitzuco de los Figueroa,19,0,17,1,0,1,2
Iguala de la Independencia,14,0,6,4,1,3,1
Igualapa,5,0,5,0,0,0,2
Ixcateopan de Cuauhtemoc,1,0,1,0,0,0,1
Jose Azueta,16,0,9,2,4,1,2
Juan R. Escudero,11,0,11,0,0,0,0
Leonardo Bravo,15,0,14,1,0,0,1
Malinaltepec,9,0,3,0,0,6,0
Martir de Cuilapan,7,0,6,1,0,0,4
Metlatonoc,5,0,5,0,0,0,4
Mochitlan,22,0,19,0,2,1,4
Olinala ,7,0,5,1,0,1,0
Ometepec,25,0,17,6,1,1,1
Petatlan,27,0,17,5,3,2,0
Pilcaya,6,0,3,2,1,0,0
Pungarabato,9,0,7,0,0,2,1
Quechultenango,21,0,18,1,0,2,5
San Luis Acatlan,17,0,10,3,0,4,6
San Marcos,31,0,26,2,2,1,2
San Miguel Totolapan,6,0,6,0,0,0,2
Taxco de Alarcon,21,0,16,3,1,1,2
Tecoanapa,39,0,30,4,2,3,0
Tecpan de Galeana,21,0,12,4,2,3,4
Teloloapan,22,0,16,2,1,3,5
Tepecoacuilco de Trujano,22,0,19,0,0,3,3
Tetipac,5,0,5,0,0,0,0
Tixtla de Guerrero,7,0,3,1,2,1,3
Tlacoachistlahuaca,5,0,4,1,0,0,10
Tlacoapa,3,0,0,0,1,2,0
Tlalchapa,14,0,8,3,0,3,2
Tlalixtaquilla de Maldonado,4,0,4,0,0,0,1
Tlapa de Comonfort,26,0,17,4,1,4,4
Tlapehuala,12,1,6,3,1,1,0
La Union de Isidoro Montes de Oca,26,0,17,7,2,0,5
Xalpatlahuac,7,0,5,0,1,1,1
Xochihuehuetlan,6,0,6,0,0,0,1
Xochistlahuaca,5,0,5,0,0,0,2
Zapotitlan Tablas,1,0,1,0,0,0,0
Zirandaro,24,0,19,1,3,1,4
Zitlala,8,0,7,1,0,0,3
Eduardo Neri,14,0,8,3,2,1,2
Acatepec,1,0,0,0,0,1,0
Marquelia,1,0,0,0,0,1,2
