INEGI. IX Censo Ejidal 2007,,,,,
Total de ejidos y comunidades segun cuenten con grupos para la produccion,,,,,cuadro 33
y ejidatarios participantes por entidad federativa y municipio,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades,con_grupos_para_la_produccion_total,con_grupos_para_la_produccion_ejidatarios_participantes_total,con_grupos_para_la_produccion_ejidatarios_participantes_mujeres,sin_grupos_para_la_produccion
Mineral del Monte,     C,C,0,0,C
Mixquiahuala de Juarez,7,1,400,0,6
Molango de Escamilla,13,0,0,0,13
Nicolas Flores,4,1,32,3,3
Nopala de Villagran,9,0,0,0,9
Omitlan de Juarez,4,0,0,0,4
San Felipe Orizatlan,80,1,37,1,79
Pacula,     C,C,0,0,C
Pachuca de Soto,7,1,18,6,6
Pisaflores,6,1,16,2,5
Progreso de Obregon,     C,C,0,0,C
Mineral de la Reforma,7,1,12,6,6
San Agustín Tlaxiaca,10,2,317,40,8
San Bartolo Tutotepec,7,0,0,0,7
San Salvador,18,1,107,30,17
Santiago de Anaya,13,2,196,76,11
Santiago Tulantepec de Lugo Guerrero,6,0,0,0,6
Singuilucan,15,2,62,14,13
Tasquillo,17,1,10,3,16
Tecozautla,32,4,380,95,28
Tenango de Doria,5,0,0,0,5
Tepeapulco,9,2,15,3,7
Tepehuacan de Guerrero,31,5,159,2,26
Tepeji del Río de Ocampo,16,0,0,0,16
Tepetitlan,12,0,0,0,12
Tetepango,     C,C,0,0,C
Villa de Tezontepec,     C,C,0,0,C
Tezontepec de Aldama,5,0,0,0,5
Tianguistengo,24,1,15,0,23
Tizayuca,3,1,10,0,2
Tlahuelilpan,     C,C,0,0,C
Tlahuiltepa,15,0,0,0,15
Tlanalapa,3,0,0,0,3
Tlanchinol,34,7,282,31,27
Tlaxcoapan,4,0,0,0,4
Tolcayuca,3,0,0,0,3
Tula de Allende,25,1,76,5,24
Tulancingo de Bravo,14,0,0,0,14
Xochiatipan,25,3,59,6,22
Xochicoatlan,15,0,0,0,15
Yahualica,20,2,72,7,18
Zacualtipan de angeles,19,3,103,15,16
Zapotlan de Juarez,3,0,0,0,3
Zempoala,24,2,92,25,22
Zimapan,46,1,41,5,45
Jalisco, 1 429,129, 6 195, 1 120, 1 300
Acatic,     C,C,0,0,C
Acatlan de Juarez,7,1,81,22,6
Ahualulco de Mercado,8,2,262,32,6
Amacueca,     C,C,0,0,C
Amatitan,5,1,10,10,4
Ameca,44,3,118,18,41
San Juanito de Escobedo,5,1,25,6,4
Arandas,     C,C,0,0,C
El Arenal,     C,C,79,10,C
Atemajac de Brizuela,9,1,5,2,8
Atengo,12,0,0,0,12
Atenguillo,5,1,8,2,4
Atotonilco el Alto,19,0,0,0,19
Atoyac,11,0,0,0,11
Autlan de Navarro,27,4,69,4,23
Ayotlan,15,1,8,0,14
Ayutla,27,5,188,16,22
La Barca,28,1,12,0,27
Bolaños,     C,C,60,30,C
Cabo Corrientes,20,3,222,37,17
Casimiro Castillo,16,2,30,5,14
Cihuatlan,15,2,65,19,13
Zapotlan el Grande,5,0,0,0,5
Cocula,19,1,200,45,18
Colotlan,7,0,0,0,7
Concepcion de Buenos Aires,11,0,0,0,11
Cuautitlan de García Barragan,12,2,534,42,10
Cuautla,4,1,41,0,3
Cuquío,13,1,7,2,12
Chapala,6,0,0,0,6
Chimaltitan,     C,C,0,0,C
Chiquilistlan,6,0,0,0,6
Degollado,23,0,0,0,23
Ejutla,3,0,0,0,3
Encarnacion de Díaz,12,3,46,8,9
Etzatlan,10,1,40,10,9
El Grullo,8,0,0,0,8
Guachinango,13,1,6,0,12
Guadalajara,     C,C,0,0,C
Hostotipaquillo,17,1,8,0,16
Huejucar,5,0,0,0,5
Huejuquilla el Alto,3,0,0,0,3
La Huerta,32,2,22,5,30
Ixtlahuacan de los Membrillos,10,0,0,0,10
Ixtlahuacan del Río,12,0,0,0,12
Jalostotitlan,     C,C,0,0,C
Jamay,4,0,0,0,4
Jesus María,     C,C,0,0,C
Jilotlan de los Dolores,26,1,12,5,25
Jocotepec,15,2,17,0,13
Juanacatlan,6,2,57,10,4
Juchitlan,7,0,0,0,7
Lagos de Moreno,44,7,185,5,37
El Limon,6,2,30,0,4
Magdalena,10,0,0,0,10
Santa María del Oro,4,0,0,0,4
La Manzanilla de la Paz,9,0,0,0,9
Mascota,16,1,6,1,15
Mazamitla,19,0,0,0,19
Mexticacan,3,0,0,0,3
Mezquitic,8,1,60,0,7
Mixtlan,5,0,0,0,5
Ocotlan,16,1,20,1,15
Ojuelos de Jalisco,20,3,134,40,17
Pihuamo,18,0,0,0,18
Poncitlan,17,0,0,0,17
Puerto Vallarta,15,2,20,0,13
Villa Purificacion,13,3,79,32,10
Quitupan,25,0,0,0,25
El Salto,4,0,0,0,4
San Cristobal de la Barranca,     C,C,40,5,C
San Diego de Alejandría,     C,C,0,0,C
San Juan de los Lagos,7,0,0,0,7
San Marcos,4,0,0,0,4
San Martín Hidalgo,18,0,0,0,18
San Miguel el Alto,     C,C,0,0,C
Gomez Farías,5,0,0,0,5
San Sebastian del Oeste,18,2,86,0,16
Santa María de los angeles,10,0,0,0,10
Sayula,5,0,0,0,5
Tala,13,4,770,178,9
Talpa de Allende,17,2,285,66,15
Tamazula de Gordiano,35,3,105,30,32
Tapalpa,8,2,45,20,6
Tecalitlan,17,0,0,0,17
Tecolotlan,20,1,303,32,19
Techaluta de Montenegro,     C,C,0,0,C
Tenamaxtlan,12,0,0,0,12
Teocaltiche,11,0,0,0,11
Teocuitatlan de Corona,27,4,109,14,23
Tepatitlan de Morelos,     C,C,0,0,C
Tequila,15,1,8,8,14
Teuchitlan,6,0,0,0,6
Tizapan el Alto,14,1,80,6,13
Tlajomulco de Zuñiga,25,1,10,0,24
Tlaquepaque,7,1,15,2,6
Toliman,12,1,34,1,11
Tomatlan,40,16,470,87,24
Tonala,8,1,5,0,7
Tonaya,     C,C,0,0,C
Tonila,8,4,52,7,4
Tototlan,22,0,0,0,22
Tuxcacuesco,8,0,0,0,8
Tuxcueca,5,0,0,0,5
Tuxpan,14,3,102,16,11
Union de San Antonio,17,1,15,0,16
Union de Tula,14,1,40,10,13
Valle de Guadalupe,     C,C,0,0,C
Valle de Juarez,9,0,0,0,9
San Gabriel,22,1,58,8,21
Villa Corona,5,2,158,18,3
Villa Guerrero,     C,C,0,0,C
Villa Hidalgo,4,0,0,0,4
Cañadas de Obregon,     C,C,0,0,C
Yahualica de Gonzalez Gallo,3,0,0,0,3
Zacoalco de Torres,16,1,40,5,15
Zapopan,32,1,197,35,31
