INEGI. IX Censo Ejidal 2007,,,,,,,,,,,
Total de ejidos y comunidades segun tipo de actividad no agropecuaria ni forestal,,,,,,,,,,,cuadro 19
por entidad federativa y municipio,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades,ejidos_y_comunidades_con_actividades_no_agropecuarias_ni_forestales_a_total,ejidos_y_comunidades_con_actividades_no_agropecuarias_ni_forestales_a_extraccion_de_materiales_de_construccion,ejidos_y_comunidades_con_actividades_no_agropecuarias_ni_forestales_a_extraccion_de_otros_minerales,ejidos_y_comunidades_con_actividades_no_agropecuarias_ni_forestales_a_pesquera,ejidos_y_comunidades_con_actividades_no_agropecuarias_ni_forestales_a_artesanal,ejidos_y_comunidades_con_actividades_no_agropecuarias_ni_forestales_a_industrial,ejidos_y_comunidades_con_actividades_no_agropecuarias_ni_forestales_a_turistica,ejidos_y_comunidades_con_actividades_no_agropecuarias_ni_forestales_a_acuicola,ejidos_y_comunidades_con_actividades_no_agropecuarias_ni_forestales_a_otras_actividades,sin_actividades_de_este_tipo
Tecamachalco,18,0,0,0,0,0,0,0,0,0,18
Tecomatlan,3,0,0,0,0,0,0,0,0,0,3
Tehuacan,12,6,3,0,0,1,2,2,0,1,6
Tehuitzingo,10,0,0,0,0,0,0,0,0,0,10
Tenampulco,8,3,3,0,1,1,0,0,0,0,5
Teopantlan,3,1,1,0,0,1,1,0,0,0,2
Teotlalco,4,3,3,2,1,0,0,0,0,0,1
Tepanco De Lopez,7,1,1,0,0,0,0,0,0,0,6
Tepatlaxco De Hidalgo,C,C,1,0,0,0,0,0,0,1,C
Tepeaca,23,4,2,0,0,0,1,0,0,1,19
Tepemaxalco,3,0,0,0,0,0,0,0,0,0,3
Tepeojuma,8,2,0,0,1,1,0,0,0,0,6
Tepetzintla,3,0,0,0,0,0,0,0,0,0,3
Tepexco,4,3,1,0,1,2,0,1,0,0,1
Tepexi De Rodriguez,12,2,2,0,0,0,0,1,0,0,10
Tepeyahualco,14,3,3,0,0,0,0,0,0,0,11
Tepeyahualco De Cuauhtemoc,C,C,0,0,0,0,0,0,0,0,C
Tetela De Ocampo,4,1,0,0,0,1,0,0,0,0,3
Teziutlan,C,C,0,0,0,0,0,1,0,0,C
Tianguismanalco,6,0,0,0,0,0,0,0,0,0,6
Tilapa,7,4,3,0,2,0,1,0,1,0,3
Tlacotepec De Benito Juarez,18,3,1,0,0,2,0,0,1,0,15
Tlacuilotepec,4,0,0,0,0,0,0,0,0,0,4
Tlachichuca,24,1,1,0,0,0,0,0,0,0,23
Tlahuapan,18,4,0,0,2,0,0,0,4,0,14
Tlanepantla,C,C,0,0,0,0,0,0,0,0,C
Tlapacoya,3,0,0,0,0,0,0,0,0,0,3
Tlapanala,6,1,0,0,0,0,0,1,0,0,5
Tlatlauquitepec,4,2,1,0,0,0,1,0,1,0,2
Tlaxco,C,C,0,0,0,0,0,0,0,0,C
Tochimilco,12,1,0,0,1,0,0,0,1,0,11
Tochtepec,4,0,0,0,0,0,0,0,0,0,4
Totoltepec De Guerrero,3,2,1,0,0,0,0,1,0,0,1
Tulcingo,C,C,0,0,0,0,0,0,0,0,C
Tuzamapan De Galeana,C,C,0,0,0,0,0,0,0,0,C
Tzicatlacoyan,7,2,1,0,0,1,0,0,0,0,5
Venustiano Carranza,12,1,1,0,0,0,0,0,0,0,11
Vicente Guerrero,4,1,0,0,0,1,0,0,1,0,3
Xayacatlan De Bravo,C,C,0,0,0,0,0,0,0,0,C
Xicotepec,10,0,0,0,0,0,0,0,0,0,10
Xicotlan,C,C,0,0,0,0,0,0,0,0,C
Xiutetelco,3,0,0,0,0,0,0,0,0,0,3
Xochiapulco,C,C,1,0,0,0,0,1,0,0,C
Xochiltepec,3,1,0,0,0,0,0,1,0,0,2
Xochitlan De Vicente Suarez,C,C,0,0,0,2,0,0,0,0,C
Xochitlan Todos Santos,3,0,0,0,0,0,0,0,0,0,3
Yehualtepec,9,1,1,0,0,0,0,0,0,0,8
Zacapala,7,3,3,0,0,0,0,0,0,0,4
Zacapoaxtla,10,1,0,0,0,1,0,0,0,0,9
Zacatlan,18,6,1,0,0,0,1,2,3,0,12
Zapotitlan,7,5,1,0,0,5,0,1,0,0,2
Zaragoza,C,C,0,0,0,0,0,0,0,0,C
Zautla,8,3,2,0,0,3,0,0,0,0,5
Zihuateutla,8,0,0,0,0,0,0,0,0,0,8
Zinacatepec,C,C,0,0,0,0,0,0,0,0,C
Zoquiapan,C,C,0,0,0,0,0,0,0,1,C
Zoquitlan,C,C,0,0,0,0,0,0,0,0,C
Queretaro,378,129,86,11,14,21,16,9,20,4,249
Amealco De Bonfil,23,4,3,1,2,1,0,0,0,1,19
Pinal De Amoles,19,4,2,2,1,0,1,0,0,0,15
Arroyo Seco,13,3,1,0,0,0,0,2,1,0,10
Cadereyta De Montes,38,11,7,1,2,2,1,2,1,0,27
Colon,42,12,10,2,2,0,0,0,0,1,30
Corregidora,16,7,3,0,0,3,3,1,1,0,9
Ezequiel Montes,8,6,2,0,0,0,0,0,5,0,2
Huimilpan,16,3,1,0,0,2,1,0,0,0,13
Jalpan De Serra,6,3,1,0,1,1,0,0,3,0,3
Landa De Matamoros,4,1,0,0,0,0,1,0,0,0,3
El Marques,39,14,11,1,0,1,2,0,2,0,25
Pedro Escobedo,19,6,5,0,0,1,1,0,0,0,13
Peñamiller,16,10,9,1,0,1,1,0,1,0,6
Queretaro,41,8,3,0,2,1,2,0,1,0,33
San Joaquin,4,1,0,0,0,1,0,0,0,0,3
San Juan Del Rio,52,24,20,1,3,2,2,2,1,1,28
Tequisquiapan,12,10,8,2,1,5,0,1,4,1,2
Toliman,10,2,0,0,0,0,1,1,0,0,8
Quintana Roo,282,111,31,16,9,70,9,33,16,2,171
Cozumel,C,C,1,0,0,0,0,0,1,0,C
Felipe Carrillo Puerto,55,16,1,0,2,13,1,3,3,1,39
Isla Mujeres,C,C,1,0,0,1,0,0,1,0,C
Othon P. Blanco,105,29,7,1,3,11,6,15,4,0,76
Benito Juarez,C,C,2,0,0,2,0,1,2,0,C
Jose Maria Morelos,65,17,4,0,0,14,1,2,2,0,48
Lazaro Cardenas,34,28,14,15,4,18,1,7,1,1,6
Solidaridad,17,15,1,0,0,11,0,5,2,0,2
San Luis Potosi,1421,264,105,9,15,109,29,27,19,15,1157
Ahualulco,14,0,0,0,0,0,0,0,0,0,14
Alaquines,11,2,0,0,0,2,0,0,0,0,9
Aquismon,28,14,0,0,3,7,0,6,5,0,14
Armadillo De los Infante,7,1,0,0,0,1,0,0,0,0,6
Cardenas,C,C,0,0,0,0,0,0,0,0,C
Catorce,21,3,3,0,0,1,0,0,0,0,18
Cedral,29,3,3,0,0,0,0,0,0,0,26
Cerritos,18,5,2,0,0,1,2,0,0,0,13
Cerro De San Pedro,5,0,0,0,0,0,0,0,0,0,5
Ciudad Del Maiz,28,6,2,0,0,2,2,0,0,1,22
Ciudad Fernandez,15,1,1,0,0,0,0,0,0,0,14
Tancanhuitz,26,2,0,0,0,2,0,0,0,0,24
Ciudad Valles,60,17,9,0,3,4,2,3,1,0,43
Coxcatlan,28,8,0,0,0,8,0,0,1,0,20
Charcas,27,5,5,0,0,0,0,0,0,0,22
ebano,92,1,0,0,0,0,0,0,1,0,91
Guadalcazar,52,6,5,2,0,0,0,1,0,0,46
Huehuetlan,13,10,1,0,0,8,1,2,2,0,3
Lagunillas,7,1,0,0,0,0,0,0,1,0,6
Matehuala,44,7,6,0,0,0,0,1,0,0,37
Mexquitic De Carmona,30,2,2,0,0,1,0,0,0,0,28
Moctezuma,30,2,1,0,0,1,0,0,0,1,28
Rayon,8,0,0,0,0,0,0,0,0,0,8
Rioverde,55,13,7,0,0,2,1,2,2,0,42
Salinas,11,1,1,0,0,0,0,0,0,0,10
San Antonio,10,9,0,0,0,6,8,0,0,0,1
San Ciro De Acosta,5,0,0,0,0,0,0,0,0,0,5
San Luis Potosi,35,10,8,1,1,1,0,0,1,1,25
San Martin Chalchicuautla,58,9,0,0,0,8,2,0,0,0,49
San Nicolas Tolentino,6,2,0,0,0,1,0,1,0,0,4
Santa Catarina,5,1,0,0,1,0,0,0,0,0,4
Santa Maria Del Rio,12,1,0,1,0,0,0,0,0,0,11
Santo Domingo,25,6,5,1,0,0,0,0,0,0,19
San Vicente Tancuayalab,23,1,1,0,0,0,0,0,0,0,22
Soledad De Graciano Sanchez,8,4,3,0,0,0,1,0,0,0,4
Tamasopo,21,9,3,0,0,1,0,4,1,7,12
Tamazunchale,33,15,3,0,1,13,2,1,2,2,18
Tampacan,23,10,0,0,1,9,2,0,0,0,13
Tampamolon Corona,31,10,0,0,1,10,0,0,0,0,21
Tamuin,175,13,6,0,3,3,1,2,0,0,162
Tanlajas,26,1,0,0,0,1,0,0,0,0,25
Tanquian De Escobedo,5,0,0,0,0,0,0,0,0,0,5
Tierra Nueva,C,C,0,0,0,0,0,0,0,0,C
Vanegas,20,7,6,1,0,1,0,1,0,0,13
Venado,18,0,0,0,0,0,0,0,0,0,18
Villa De Arriaga,11,5,5,0,0,1,0,0,0,0,6
Villa De Guadalupe,20,3,2,0,0,0,0,1,0,0,17
Villa De la Paz,5,1,0,1,0,0,0,0,0,0,4
Villa De Ramos,18,5,2,0,0,0,2,0,1,0,13
Villa De Reyes,20,7,4,0,1,1,1,1,1,2,13
Villa Hidalgo,27,2,1,0,0,1,0,0,0,0,25
Villa Juarez,9,6,5,0,0,1,0,0,0,0,3
Axtla De Terrazas,29,2,1,0,0,1,0,0,0,0,27
Xilitla,35,7,0,0,0,6,0,1,0,0,28
Zaragoza,7,3,2,1,0,0,1,0,0,1,4
Villa De Arista,8,1,0,1,0,0,0,0,0,0,7
Matlapa,12,2,0,0,0,2,1,0,0,0,10
El Naranjo,16,2,0,0,0,2,0,0,0,0,14
Sinaloa,1309,265,67,11,118,31,41,32,70,8,1044
Ahome,115,28,6,1,17,0,2,0,12,0,87
Angostura,62,6,1,0,1,0,0,0,3,3,56
Badiraguato,44,5,0,0,3,1,1,2,1,0,39
Concordia,29,12,2,4,1,1,3,2,1,0,17
Cosala,37,9,3,1,4,2,3,4,0,1,28
Culiacan,185,38,10,1,16,3,14,3,12,1,147
Choix,63,24,6,0,18,1,0,1,1,0,39
Elota,39,5,0,0,4,0,1,2,2,0,34
Escuinapa,20,12,0,0,8,3,2,0,2,0,8
El Fuerte,103,38,14,0,18,7,1,7,10,0,65
Guasave,140,27,2,0,12,3,1,2,15,1,113
Mazatlan,45,17,8,1,3,2,2,3,4,0,28
Mocorito,71,7,3,0,0,2,3,0,0,0,64
Rosario,51,10,2,1,6,3,4,1,2,0,41
Salvador Alvarado,22,3,1,0,1,1,1,0,0,0,19
San Ignacio,51,9,3,0,4,1,3,3,1,2,42
Sinaloa,154,11,5,2,2,1,0,1,2,0,143
Navolato,78,4,1,0,0,0,0,1,2,0,74
Sonora,979,220,72,30,43,26,17,14,59,12,759
Aconchi,C,C,0,0,0,0,0,0,0,0,C
Agua Prieta,6,1,1,0,0,0,0,0,0,0,5
alamos,84,8,4,0,1,2,0,1,2,0,76
Altar,7,0,0,0,0,0,0,0,0,0,7
Arivechi,C,C,0,0,0,1,0,0,0,0,C
Arizpe,6,2,1,0,0,0,0,0,1,0,4
Atil,C,C,0,0,0,0,0,0,0,0,C
Bacadehuachi,C,C,0,1,0,0,0,0,0,0,C
Bacanora,4,1,0,0,1,0,0,0,0,0,3
Bacerac,4,0,0,0,0,0,0,0,0,0,4
Bacoachi,5,1,0,1,0,0,0,0,0,0,4
Bacum,44,17,1,0,2,0,1,0,14,0,27
Banamichi,3,2,0,0,0,0,1,1,0,0,1
Baviacora,C,C,0,2,0,0,0,0,0,0,C
Bavispe,C,C,0,0,0,0,0,0,0,0,C
Benjamin Hill,3,0,0,0,0,0,0,0,0,0,3
Caborca,72,8,1,1,3,0,1,0,4,0,64
Cajeme,103,22,1,0,5,0,0,1,18,0,81
Cananea,7,3,0,2,0,0,0,1,0,0,4
Carbo,C,C,0,0,0,0,0,0,0,0,C
La Colorada,6,4,0,2,0,0,1,0,0,1,2
Cucurpe,3,1,1,0,0,1,0,1,0,0,2
Cumpas,7,1,0,0,0,0,0,0,0,1,6
Divisaderos,C,C,0,0,0,0,0,0,0,0,C
Empalme,16,5,3,0,0,1,0,0,2,0,11
Etchojoa,45,6,3,0,0,0,0,0,2,1,39
Fronteras,12,1,1,0,0,0,0,0,0,0,11
Granados,C,C,0,0,0,0,0,0,0,0,C
Guaymas,31,9,7,1,3,2,1,1,0,0,22
Hermosillo,52,9,2,0,3,2,2,3,1,2,43
Huachinera,C,C,2,0,0,1,0,0,0,0,C
Huasabas,C,C,0,0,0,0,0,0,0,0,C
Huatabampo,57,16,7,0,9,1,0,0,4,0,41
Huepac,3,0,0,0,0,0,0,0,0,0,3
Imuris,6,1,1,0,0,0,0,0,0,0,5
Magdalena,9,1,1,0,0,0,0,0,0,0,8
Mazatan,3,2,1,0,0,1,1,0,0,0,1
Moctezuma,4,1,0,1,0,0,0,0,0,0,3
Naco,C,C,0,0,0,0,1,0,0,0,C
Nacori Chico,4,2,0,0,2,1,0,0,0,1,2
Nacozari De Garcia,4,2,0,2,0,0,0,0,0,0,2
Navojoa,45,14,9,0,0,6,0,0,3,0,31
Nogales,8,4,3,1,0,0,0,0,0,0,4
Onavas,C,C,1,0,0,0,0,0,0,0,C
Opodepe,6,1,1,0,0,0,1,0,0,0,5
Oquitoa,C,C,0,0,0,0,0,0,0,0,C
Pitiquito,11,2,1,0,1,1,0,0,0,1,9
Puerto Peñasco,27,6,4,0,0,0,0,1,1,1,21
Quiriego,17,6,0,1,3,1,0,0,0,1,11
Rayon,5,3,1,3,0,0,0,0,0,0,2
Rosario,17,3,0,1,0,1,1,1,0,0,14
Sahuaripa,18,3,2,0,1,0,0,0,0,0,15
San Felipe De Jesus,C,C,0,0,0,0,0,0,0,0,C
San Javier,C,C,0,1,0,0,0,0,0,0,C
San Luis Rio Colorado,41,11,5,1,2,1,2,1,0,1,30
San Miguel De Horcasitas,4,1,0,0,0,0,1,0,0,0,3
San Pedro De la Cueva,6,4,0,1,4,0,0,0,0,0,2
Santa Ana,7,1,1,1,0,1,0,0,0,0,6
Santa Cruz,C,C,0,1,0,0,0,0,0,0,C
Saric,5,0,0,0,0,0,0,0,0,0,5
Soyopa,6,4,1,3,2,0,0,0,0,0,2
Suaqui Grande,C,C,1,0,0,0,0,0,0,0,C
Tepache,C,C,0,0,0,0,0,0,0,0,C
Trincheras,3,0,0,0,0,0,0,0,0,0,3
Tubutama,7,2,1,0,0,0,1,0,0,0,5
Ures,12,1,0,0,0,0,1,0,0,0,11
Villa Hidalgo,4,0,0,0,0,0,0,0,0,0,4
Villa Pesqueira,3,0,0,0,0,0,0,0,0,0,3
Yecora,9,5,1,3,0,1,0,0,0,0,4
General Plutarco Elias Calles,29,5,2,0,0,1,0,2,0,2,24
Benito Juarez,10,0,0,0,0,0,0,0,0,0,10
San Ignacio Rio Muerto,38,7,0,0,1,0,1,0,7,0,31
Tabasco,779,277,23,4,193,36,8,19,91,1,502
Balancan,55,15,3,0,11,1,0,1,2,0,40
Cardenas,62,20,3,1,14,0,1,1,8,0,42
Centla,55,40,1,0,37,0,1,2,17,0,15
Centro,64,24,1,1,18,1,0,1,10,0,40
Comalcalco,33,9,0,0,7,0,0,1,6,1,24
Cunduacan,44,0,0,0,0,0,0,0,0,0,44
Emiliano Zapata,14,5,0,0,2,0,0,0,3,0,9
Huimanguillo,123,19,4,0,14,0,1,3,0,0,104
Jalapa,23,4,0,0,0,3,1,0,2,0,19
Jalpa De Mendez,28,13,0,2,6,4,0,1,4,0,15
Jonuta,37,34,1,0,34,0,0,0,22,0,3
Macuspana,66,21,0,0,19,1,0,1,0,0,45
Nacajuca,29,3,1,0,2,1,0,0,0,0,26
Paraiso,16,10,0,0,9,0,0,1,4,0,6
Tacotalpa,36,11,0,0,0,7,1,1,3,0,25
Teapa,21,17,0,0,2,13,2,4,1,0,4
Tenosique,73,32,9,0,18,5,1,2,9,0,41
Tamaulipas,1391,164,56,5,43,31,17,37,19,13,1227
Abasolo,37,5,2,0,0,0,0,1,3,0,32
Aldama,62,7,2,0,3,0,0,2,0,0,55
Altamira,39,15,5,1,12,1,1,3,1,1,24
Antiguo Morelos,17,4,1,0,0,3,0,0,0,0,13
Burgos,19,6,2,0,0,1,1,1,0,3,13
Bustamante,22,1,1,0,0,0,0,0,0,0,21
Camargo,9,1,0,0,0,0,1,0,0,0,8
Casas,23,1,0,0,1,0,0,0,1,0,22
Cruillas,10,4,2,0,0,1,1,1,1,1,6
Gomez Farias,25,9,0,0,2,4,1,4,2,0,16
Gonzalez,87,3,0,0,2,0,0,0,1,0,84
Güemez,41,6,1,0,0,2,0,2,0,1,35
Guerrero,C,C,1,1,1,0,0,0,0,0,C
Gustavo Diaz Ordaz,9,0,0,0,0,0,0,0,0,0,9
Hidalgo,62,6,2,0,2,1,0,3,1,0,56
Jaumave,40,2,1,0,0,1,0,1,0,0,38
Jimenez,22,6,2,0,1,1,3,1,0,0,16
Llera,54,2,0,0,0,0,0,1,0,1,52
Mainero,14,0,0,0,0,0,0,0,0,0,14
El Mante,124,4,1,1,3,2,1,2,2,0,120
Matamoros,78,10,1,0,2,2,2,0,1,4,68
Mendez,22,3,3,0,0,0,0,0,0,0,19
Miquihuana,9,1,1,0,0,0,0,0,0,0,8
Nuevo Laredo,16,4,0,0,0,0,0,3,0,1,12
Nuevo Morelos,6,0,0,0,0,0,0,0,0,0,6
Ocampo,34,8,6,0,0,0,1,3,0,0,26
Padilla,20,0,0,0,0,0,0,0,0,0,20
Palmillas,C,C,0,0,0,0,0,0,0,0,C
Reynosa,74,3,0,0,0,1,1,0,1,0,71
Rio Bravo,23,0,0,0,0,0,0,0,0,0,23
San Carlos,53,1,0,0,0,1,0,0,0,0,52
San Fernando,67,8,3,0,4,0,0,0,3,0,59
San Nicolas,7,4,4,1,0,0,0,0,0,0,3
Soto la Marina,59,15,8,0,7,2,1,5,1,0,44
Tampico,C,C,0,0,1,0,0,0,0,0,C
Tula,60,8,1,0,1,4,1,1,0,0,52
Valle Hermoso,27,0,0,0,0,0,0,0,0,0,27
Victoria,40,10,5,1,0,3,2,2,0,1,30
Villagran,31,1,0,0,0,1,0,0,0,0,30
Xicotencatl,41,4,1,0,1,0,0,1,1,0,37
Tlaxcala,246,24,8,1,4,3,3,2,4,2,222
Amaxac De Guerrero,C,C,0,0,0,0,0,0,0,0,C
Atlangatepec,4,3,1,0,1,0,1,1,0,1,1
Altzayanca,18,0,0,0,0,0,0,0,0,0,18
Apizaco,4,0,0,0,0,0,0,0,0,0,4
Calpulalpan,11,2,0,0,0,0,0,0,1,1,9
El Carmen Tequexquitla,C,C,0,0,0,0,0,0,0,0,C
Cuapiaxtla,11,0,0,0,0,0,0,0,0,0,11
Cuaxomulco,C,C,0,0,0,0,0,0,0,0,C
Chiautempan,5,1,0,0,0,0,0,0,1,0,4
Muñoz De Domingo Arenas,4,0,0,0,0,0,0,0,0,0,4
Españita,11,0,0,0,0,0,0,0,0,0,11
Huamantla,25,1,0,0,1,0,0,0,1,0,24
Hueyotlipan,13,1,0,0,0,0,0,0,1,0,12
Ixtacuixtla De Mariano Matamoros,16,1,1,0,0,0,0,0,0,0,15
Ixtenco,C,C,0,0,0,0,0,0,0,0,C
Tepetitla De Lardizabal,C,C,0,0,0,0,0,0,0,0,C
Sanctorum De Lazaro Cardenas,4,0,0,0,0,0,0,0,0,0,4
Nanacamilpa De Mariano Arista,5,1,0,0,0,1,0,0,0,0,4
Nativitas,15,2,0,0,1,1,0,0,0,0,13
Panotla,6,2,1,0,1,0,0,0,0,0,4
Santa Cruz Tlaxcala,4,1,0,0,0,0,1,0,0,0,3
Teolocholco,C,C,0,0,0,0,0,0,0,0,C
Terrenate,6,1,1,0,0,0,0,0,0,0,5
Tetla De la Solidaridad,7,0,0,0,0,0,0,0,0,0,7
Tetlatlahuca,3,0,0,0,0,0,0,0,0,0,3
Tlaxcala,3,0,0,0,0,0,0,0,0,0,3
Tlaxco,29,2,2,0,0,0,0,0,0,0,27
Tocatlan,C,C,0,0,0,0,0,0,0,0,C
Totolac,C,C,0,0,0,0,0,0,0,0,C
Zitlaltepec De Trinidad Sanchez Santos,3,0,0,0,0,0,0,0,0,0,3
Tzompantepec,3,0,0,0,0,0,0,0,0,0,3
Xaloztoc,C,C,0,0,0,0,0,0,0,0,C
Xaltocan,4,0,0,0,0,0,0,0,0,0,4
Papalotla De Xicohtencatl,C,C,0,0,0,0,0,0,0,0,C
Xicohtzinco,C,C,0,0,0,0,0,0,0,0,C
Yauhquemecan,3,2,1,1,0,0,0,0,0,0,1
Zacatelco,C,C,0,0,0,0,0,1,0,0,C
Benito Juarez,C,C,0,0,0,0,0,0,0,0,C
Emiliano Zapata,C,C,0,0,0,0,0,0,0,0,C
Lazaro Cardenas,C,C,0,0,0,0,0,0,0,0,C
La Magdalena Tlaltelulco,C,C,0,0,0,0,0,0,0,0,C
San Damian Texoloc,C,C,1,0,0,0,0,0,0,0,C
San Jose Teacalco,C,C,0,0,0,1,0,0,0,0,C
San Lorenzo Axocomanitla,C,C,0,0,0,0,0,0,0,0,C
San Lucas Tecopilco,C,C,0,0,0,0,1,0,0,0,C
Santa Ana Nopalucan,C,C,0,0,0,0,0,0,0,0,C
Santa Apolonia Teacalco,C,C,0,0,0,0,0,0,0,0,C
Veracruz De Ignacio De la Llave,3684,629,193,8,252,97,69,54,147,5,3055
Acajete,C,C,0,0,0,0,0,0,0,0,C
Acatlan,C,C,0,0,0,0,0,0,0,0,C
Acayucan,31,4,3,0,1,0,0,0,0,0,27
Actopan,29,6,5,0,2,1,0,0,1,0,23
Acula,9,2,0,0,2,0,0,0,0,0,7
Acultzingo,16,0,0,0,0,0,0,0,0,0,16
Camaron De Tejeda,5,0,0,0,0,0,0,0,0,0,5
Alto Lucero De Gutierrez Barrios,16,3,1,0,0,2,0,0,0,0,13
Altotonga,16,1,1,0,0,0,1,0,0,0,15
Alvarado,19,8,0,0,7,0,0,1,3,0,11
Amatitlan,6,2,0,0,2,0,0,0,0,0,4
Naranjos Amatlan,11,2,1,0,1,1,0,0,0,0,9
Amatlan De los Reyes,19,1,1,0,0,0,0,0,0,0,18
angel R. Cabada,21,6,2,0,4,0,0,1,0,0,15
La Antigua,11,4,0,0,2,1,0,2,4,0,7
Apazapan,5,2,0,0,0,1,0,1,0,0,3
Atlahuilco,C,C,0,0,0,0,0,0,0,0,C
Atoyac,15,3,1,0,1,0,1,0,1,0,12
Atzacan,7,0,0,0,0,0,0,0,0,0,7
Atzalan,39,2,0,0,0,0,1,0,1,0,37
Tlaltetela,14,3,0,0,2,1,0,0,0,0,11
Banderilla,C,C,0,0,0,0,0,0,0,0,C
Benito Juarez,23,2,0,0,0,1,1,0,0,0,21
Boca Del Rio,C,C,0,0,2,1,0,2,2,0,C
Calcahualco,4,3,2,0,0,0,0,1,1,0,1
Camerino Z. Mendoza,C,C,0,0,0,0,0,0,0,0,C
Carrillo Puerto,4,0,0,0,0,0,0,0,0,0,4
Catemaco,30,15,0,0,11,6,1,7,6,0,15
Cazones,24,7,1,1,4,2,0,1,0,0,17
Cerro Azul,7,2,1,0,0,0,0,0,1,0,5
Citlaltepetl,C,C,0,0,0,0,0,0,0,0,C
Coacoatzintla,3,1,1,0,0,0,0,0,0,0,2
Coahuitlan,C,C,0,0,0,0,0,0,0,0,C
Coatepec,14,6,2,0,2,2,2,0,2,0,8
Coatzacoalcos,8,1,0,0,1,0,0,0,0,0,7
Coatzintla,16,0,0,0,0,0,0,0,0,0,16
Coetzala,C,C,0,0,0,0,0,0,0,0,C
Colipa,3,0,0,0,0,0,0,0,0,0,3
Comapa,15,7,5,0,0,2,1,0,1,0,8
Cordoba,24,2,1,0,0,0,0,0,1,0,22
Cosamaloapan De Carpio,32,7,1,0,4,1,1,0,0,0,25
Coscomatepec,4,2,0,0,0,1,2,0,0,0,2
Cosoleacaque,16,7,1,0,4,1,1,3,3,0,9
Cotaxtla,16,0,0,0,0,0,0,0,0,0,16
Coxquihui,5,0,0,0,0,0,0,0,0,0,5
Coyutla,8,0,0,0,0,0,0,0,0,0,8
Cuichapa,6,0,0,0,0,0,0,0,0,0,6
Cuitlahuac,15,1,0,0,0,0,0,0,1,0,14
Chacaltianguis,12,10,0,1,10,0,1,1,0,0,2
Chalma,16,1,1,0,0,0,0,0,0,0,15
Chiconamel,11,1,0,0,0,1,0,0,0,0,10
Chiconquiaco,9,0,0,0,0,0,0,0,0,0,9
Chicontepec,84,11,0,0,0,7,0,0,4,0,73
Chinameca,10,1,0,0,1,0,0,0,0,0,9
Chinampa De Gorostiza,7,1,0,0,0,0,0,0,1,0,6
Las Choapas,121,5,3,0,3,0,0,0,0,0,116
Chocaman,3,0,0,0,0,0,0,0,0,0,3
Chontla,12,0,0,0,0,0,0,0,0,0,12
Chumatlan,C,C,0,0,0,0,0,0,0,0,C
Emiliano Zapata,26,11,5,1,0,2,0,2,2,0,15
Espinal,20,0,0,0,0,0,0,0,0,0,20
Fortin,7,0,0,0,0,0,0,0,0,0,7
Gutierrez Zamora,15,0,0,0,0,0,0,0,0,0,15
Hidalgotitlan,40,4,0,0,4,0,0,0,0,0,36
Huatusco,10,1,0,0,0,0,1,0,0,0,9
Huayacocotla,25,6,5,0,0,0,2,0,0,0,19
Hueyapan De Ocampo,36,11,3,0,4,3,0,0,3,0,25
Huiloapan,C,C,0,0,0,0,0,0,0,0,C
Ignacio De la Llave,30,3,1,0,2,0,0,0,0,0,27
Ilamatlan,15,0,0,0,0,0,0,0,0,0,15
Isla,47,8,1,0,8,0,0,0,0,0,39
Ixcatepec,9,1,0,0,0,1,0,0,0,0,8
Ixhuacan De los Reyes,6,2,2,0,0,0,0,0,0,0,4
Ixhuatlan Del Cafe,13,0,0,0,0,0,0,0,0,0,13
Ixhuatlancillo,3,1,1,0,0,1,1,0,0,0,2
Ixhuatlan Del Sureste,12,1,0,0,1,0,0,0,1,0,11
Ixhuatlan De Madero,69,3,2,0,0,1,0,0,0,0,66
Ixmatlahuacan,8,1,0,0,1,0,0,0,0,0,7
Ixtaczoquitlan,15,3,1,0,0,0,1,1,0,0,12
Jalacingo,17,4,4,0,0,0,0,0,0,0,13
Xalapa,10,3,2,0,0,2,0,0,0,0,7
Jalcomulco,4,1,0,0,1,0,0,0,0,0,3
Jaltipan,14,4,2,0,2,0,1,0,1,0,10
Jamapa,12,1,1,0,1,0,0,0,0,0,11
Jesus Carranza,52,2,0,0,1,0,0,0,2,0,50
Xico,12,1,0,0,0,0,0,0,1,0,11
Jilotepec,5,1,1,0,0,0,0,0,0,0,4
Juan Rodriguez Clara,46,5,0,0,4,0,0,0,1,0,41
Juchique De Ferrer,11,3,0,0,0,1,1,0,1,0,8
Lerdo De Tejada,3,1,0,0,0,0,1,0,0,0,2
Maltrata,3,0,0,0,0,0,0,0,0,0,3
Manlio Fabio Altamirano,28,11,8,0,1,0,3,0,2,0,17
Mariano Escobedo,3,0,0,0,0,0,0,0,0,0,3
Martinez De la Torre,46,4,2,0,0,0,0,0,2,0,42
Mecayapan,14,6,1,0,1,0,1,3,1,0,8
Medellin,33,16,9,1,3,1,5,1,9,0,17
Miahuatlan,C,C,0,0,0,0,0,0,0,0,C
Minatitlan,122,21,2,1,15,2,3,2,10,1,101
Misantla,42,7,3,0,3,0,0,0,3,0,35
Moloacan,14,0,0,0,0,0,0,0,0,0,14
Naolinco,4,0,0,0,0,0,0,0,0,0,4
Nautla,19,2,0,0,2,0,0,0,0,0,17
Nogales,6,1,0,0,0,0,0,1,0,0,5
Oluta,3,0,0,0,0,0,0,0,0,0,3
