INEGI. IX Censo Ejidal 2007,,,,,
Ejidos y comunidades sin permanencia de la mayoria de los jovenes,,,,,cuadro 17
segun lugar de destino por entidad federativa y municipio,,,,,
,,,,,
,,,,,
,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_sin_permanencia_de_la_mayoria_de_los_jovenes,lugar_de_destino_dentro_del_pais_areas_urbanas,lugar_de_destino_dentro_del_pais_areas rurales,lugar_de_destino_fuera_del_pais_a_estados_unidos,lugar_de_destino_fuera_del_pais_a_otro_pais
Ayapango,2,1,0,1,0
Calimaya,1,1,0,0,0
Capulhuac,0,0,0,0,0
Coacalco de Berriozabal,0,0,0,0,0
Coatepec Harinas,2,0,0,2,0
Cocotitlan,0,0,0,0,0
Coyotepec,0,0,0,0,0
Cuautitlan,0,0,0,0,0
Chalco,0,0,0,0,0
Chapa de Mota,0,0,0,0,0
Chapultepec,0,0,0,0,0
Chiautla,0,0,0,0,0
Chicoloapan,0,0,0,0,0
Chiconcuac,0,0,0,0,0
Chimalhuacan,0,0,0,0,0
Donato Guerra,1,1,0,0,0
Ecatepec de Morelos,3,3,0,0,0
Ecatzingo,0,0,0,0,0
Huehuetoca,0,0,0,0,0
Hueypoxtla,2,0,2,0,0
Huixquilucan,0,0,0,0,0
Isidro Fabela,1,1,0,0,0
Ixtapaluca,0,0,0,0,0
Ixtapan de la Sal,2,0,0,2,0
Ixtapan del Oro,0,0,0,0,0
Ixtlahuaca,3,2,0,1,0
Jaltenco,0,0,0,0,0
Jilotepec,12,10,0,2,0
Jilotzingo,0,0,0,0,0
Jiquipilco,4,3,0,1,0
Jocotitlan,2,1,0,1,0
Joquicingo,0,0,0,0,0
