INEGI. IX Censo Ejidal 2007,,,,,,,,
Ejidos y comunidades con posesionarios segun sexo y disposicion de parcela individual,,,,,,,,cuadro 14
por entidad federativa y municipio,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_con_posesionarios,posesionarios_total,posesionarios_total_hombres,posesionarios_total_mujeres,con_parcela_individual_total,con_parcela_individual_hombres,con_parcela_individual_mujeres,propiedades_sociales_sin_posesionarios
Victoria,10,239,185,54,110,98,12,5
Villagran,10,455,329,126,455,329,126,1
Xichu,13,761,588,173,697,534,163,1
Yuriria,39,1251,1035,216,1090,899,191,14
Guerrero,750,100462,73288,27174,73954,55583,18371,509
Acapulco de Juarez,40,14710,10920,3790,13296,10098,3198,5
Ahuacuotzingo,12,411,364,47,324,284,40,16
Ajuchitlan del Progreso,20,796,605,191,279,223,56,19
Alcozauca de Guerrero,0,0,0,0,0,0,0,14
Alpoyeca,0,0,0,0,0,0,0,5
Apaxtla,1,26,26,0,26,26,0,3
Arcelia,18,311,265,46,306,260,46,5
Atenango del Rio,4,86,80,6,74,68,6,10
Atlamajalcingo del Monte,1,111,96,15,0,0,0,6
Atlixtac,5,2915,1595,1320,2590,1390,1200,0
Atoyac de alvarez,35,4640,3286,1354,4271,3127,1144,1
Ayutla de los Libres,20,740,596,144,527,460,67,8
Azoyu,10,1122,862,260,1122,862,260,1
Benito Juarez,6,1079,690,389,1074,690,384,0
Buenavista de Cuellar,7,143,113,30,133,103,30,0
Coahuayutla de Jose Maria Izazaga,24,856,723,133,785,664,121,11
Cocula,7,304,241,63,279,216,63,9
Copala,4,115,103,12,109,98,11,2
Copalillo,8,640,564,76,625,549,76,1
Copanatoyac,0,0,0,0,0,0,0,8
Coyuca de Benitez,31,4364,3249,1115,3052,2221,831,1
Coyuca de Catalan,17,856,740,116,700,595,105,39
Cuajinicuilapa,8,1429,681,748,1382,641,741,3
Cualac,0,0,0,0,0,0,0,1
Cuautepec,0,0,0,0,0,0,0,5
Cuetzala del Progreso,2,97,90,7,97,90,7,10
Cutzamala de Pinzon,19,265,209,56,208,156,52,14
Chilapa de alvarez,20,4371,3289,1082,2334,2007,327,25
Chilpancingo de los Bravo,20,1206,1040,166,842,680,162,11
Florencio Villarreal,1,1800,1540,260,1800,1540,260,0
General Canuto A. Neri,1,2,2,0,2,2,0,4
General Heliodoro Castillo,4,1481,1026,455,1481,1026,455,3
Huamuxtitlan,5,730,561,169,603,453,150,3
Huitzuco de los Figueroa,5,168,125,43,156,125,31,16
Iguala de la Independencia,9,355,248,107,296,213,83,6
Igualapa,6,270,226,44,270,226,44,1
Ixcateopan de Cuauhtemoc,0,0,0,0,0,0,0,2
Jose Azueta,17,1144,910,234,1120,886,234,1
Juan R. Escudero,11,1562,1003,559,1560,1001,559,0
Leonardo Bravo,12,440,440,0,381,381,0,4
Malinaltepec,8,8665,5211,3454,100,50,50,1
Martir de Cuilapan,4,162,157,5,12,7,5,7
Metlatonoc,1,435,285,150,435,285,150,8
Mochitlan,12,444,333,111,434,323,111,14
Olinala ,1,109,55,54,0,0,0,6
Ometepec,18,860,721,139,852,714,138,8
Petatlan,27,1323,976,347,1290,976,314,0
Pilcaya,5,431,418,13,431,418,13,1
Pungarabato,7,104,91,13,104,91,13,3
Quechultenango,17,642,496,146,541,432,109,9
San Luis Acatlan,7,1001,829,172,359,355,4,16
San Marcos,30,6360,5096,1264,5918,4771,1147,3
San Miguel Totolapan,0,0,0,0,0,0,0,8
Taxco de Alarcon,16,1587,1332,255,401,322,79,7
Tecoanapa,26,1011,810,201,787,666,121,13
Tecpan de Galeana,25,2750,2276,474,2708,2242,466,0
Teloloapan,10,869,778,91,5,5,0,17
Tepecoacuilco de Trujano,12,398,331,67,398,331,67,13
Tetipac,4,47,28,19,4,2,2,1
Tixtla de Guerrero,7,553,332,221,90,89,1,3
Tlacoachistlahuaca,1,19,13,6,19,13,6,14
Tlacoapa,3,4585,3461,1124,3979,3129,850,0
Tlalchapa,6,234,210,24,231,207,24,10
