INEGI. IX Censo Ejidal 2007,,,,,,,,
Ejidos y comunidades con posesionarios segun sexo y disposicion de parcela individual,,,,,,,,cuadro 14
por entidad federativa y municipio,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_con_posesionarios,posesionarios_total,posesionarios_total_hombres,posesionarios_total_mujeres,con_parcela_individual_total,con_parcela_individual_hombres,con_parcela_individual_mujeres,propiedades_sociales_sin_posesionarios
Jalacingo,14,657,627,30,511,483,28,3
Xalapa,6,1320,1000,320,960,740,220,4
Jalcomulco,4,4160,4127,33,257,227,30,0
Jaltipan,13,146,128,18,125,108,17,1
Jamapa,11,250,182,68,250,182,68,1
Jesus Carranza,27,217,167,50,209,160,49,25
Xico,10,1691,1192,499,1681,1189,492,2
Jilotepec,5,777,618,159,777,618,159,0
Juan Rodriguez Clara,32,654,581,73,642,573,69,14
Juchique de Ferrer,9,604,460,144,584,460,124,2
Lerdo de Tejada,3,371,369,2,371,369,2,0
Maltrata,2,459,326,133,459,326,133,1
Manlio Fabio Altamirano,26,626,528,98,513,425,88,2
Mariano Escobedo,2,192,105,87,192,105,87,1
Martinez de la Torre,39,1366,1072,294,1188,907,281,7
Mecayapan,14,309,277,32,302,272,30,0
Medellin,28,1142,633,509,859,493,366,5
Miahuatlan,1,15,11,4,15,11,4,1
Minatitlan,55,717,557,160,590,449,141,67
Misantla,33,990,742,248,675,507,168,9
Moloacan,3,35,25,10,35,25,10,11
Naolinco,3,470,377,93,470,377,93,1
Nautla,10,121,86,35,73,51,22,9
Nogales,6,299,206,93,292,203,89,0
Oluta,3,249,238,11,16,16,0,0
Omealca,16,419,296,123,398,276,122,8
Otatitlan,2,18,12,6,18,12,6,2
Oteapan,1,150,145,5,80,75,5,0
Ozuluama de Mascareñas,19,129,118,11,110,100,10,20
Pajapan,10,101,91,10,96,87,9,0
Panuco,66,926,725,201,903,705,198,66
Papantla,44,1038,834,204,1037,834,203,26
Paso del Macho,16,483,437,46,451,406,45,11
Paso de Ovejas,23,995,794,201,985,789,196,3
La Perla,1,42,42,0,0,0,0,0
Perote,16,1251,1082,169,1191,1082,109,4
Platon Sanchez,2,30,27,3,15,15,0,9
Playa Vicente,25,378,291,87,296,226,70,40
Las Vigas de Ramirez,4,136,121,15,136,121,15,0
Pueblo Viejo,6,115,89,26,115,89,26,13
Puente Nacional,24,777,696,81,637,568,69,4
Rafael Delgado,2,707,464,243,707,464,243,0
Rafael Lucio,0,0,0,0,0,0,0,1
Los Reyes,1,45,42,3,45,42,3,1
Rio Blanco,1,5,5,0,5,5,0,0
Saltabarranca,1,6,6,0,6,6,0,3
San Andres Tuxtla,61,1633,1326,307,1590,1289,301,19
San Juan Evangelista,40,396,329,67,367,305,62,10
Santiago Tuxtla,40,487,406,81,485,406,79,5
Sayula de Aleman,21,626,486,140,626,486,140,10
Soconusco,6,52,47,5,20,17,3,1
Soledad Atzompa,2,485,408,77,333,263,70,0
Soledad de Doblado,26,1101,973,128,1064,936,128,0
Soteapan,15,320,272,48,181,161,20,10
Tamalin,3,32,25,7,32,25,7,6
Tamiahua,33,308,243,65,308,243,65,17
Tampico Alto,7,73,57,16,59,43,16,16
Tancoco,6,134,105,29,134,105,29,3
Tantima,8,67,56,11,67,56,11,10
Tantoyuca,30,4201,3510,691,3277,2612,665,8
Castillo de Teayo,23,610,547,63,315,282,33,3
Tecolutla,25,275,235,40,239,204,35,12
Temapache,84,3018,2478,540,3018,2478,540,24
Tempoal,21,459,261,198,193,149,44,18
Tenampa,4,57,49,8,42,34,8,2
Teocelo,1,5,5,0,5,5,0,0
Tepatlaxco,3,21,19,2,18,18,0,2
Tepetlan,6,782,705,77,732,660,72,0
Tepetzintla,10,157,129,28,157,129,28,2
Tequila,1,168,148,20,168,148,20,1
Jose Azueta,16,106,85,21,84,68,16,14
Texcatepec,5,964,894,70,73,73,0,0
Texistepec,17,154,133,21,22,20,2,4
Tezonapa,26,1734,1286,448,1634,1238,396,18
Tierra Blanca,55,938,759,179,396,314,82,25
Tihuatlan,38,688,526,162,654,499,155,26
Tlacojalpan,2,134,109,25,134,109,25,1
Tlacolulan,2,10,10,0,10,10,0,0
Tlacotalpan,3,51,48,3,0,0,0,16
Tlacotepec de Mejia,1,180,180,0,0,0,0,1
Tlachichilco,5,151,138,13,151,138,13,3
Tlalixcoyan,38,874,632,242,731,544,187,18
Tlalnelhuayocan,2,125,104,21,31,17,14,0
Tlapacoyan,14,725,468,257,722,465,257,2
Tlilapan,1,10,10,0,10,10,0,0
Tomatlan,0,0,0,0,0,0,0,2
Tonayan,3,45,39,6,42,37,5,0
Totutla,6,370,269,101,357,259,98,1
Tuxpam,56,903,746,157,882,734,148,18
Tuxtilla,2,110,90,20,110,90,20,0
ursulo Galvan,15,726,591,135,726,591,135,1
Vega de Alatorre,8,175,132,43,171,130,41,6
Veracruz,13,302,254,48,272,231,41,3
Villa Aldama,4,245,210,35,245,210,35,1
Xoxocotla,1,1275,1157,118,1275,1157,118,0
Yanga,8,207,110,97,207,110,97,2
Yecuatla,3,39,29,10,39,29,10,0
Zacualpan,3,43,39,4,19,18,1,1
Zentla,1,52,42,10,42,42,0,2
Zongolica,15,3453,2553,900,3453,2553,900,1
Zontecomatlan de Lopez y Fuentes,11,504,371,133,50,34,16,4
Zozocolco de Hidalgo,1,2,0,2,2,0,2,1
Agua Dulce,2,4,2,2,4,2,2,12
El Higo,14,373,332,41,373,332,41,1
Nanchital de Lazaro Cardenas del Rio,1,3,2,1,3,2,1,0
Tres Valles,32,324,250,74,257,206,51,9
Carlos A. Carrillo,8,90,67,23,90,67,23,2
Tatahuicapan de Juarez,17,350,318,32,350,318,32,5
Uxpanapa,62,877,687,190,831,643,188,26
San Rafael,3,54,40,14,54,40,14,0
Santiago Sochiapan,0,0,0,0,0,0,0,1
Yucatan,382,26275,24168,2107,9061,8328,733,340
Abala,0,0,0,0,0,0,0,7
Acanceh,4,1701,1680,21,1178,1167,11,3
Akil,0,0,0,0,0,0,0,1
Baca,1,50,50,0,0,0,0,2
Bokoba,0,0,0,0,0,0,0,2
Buctzotz,6,220,216,4,220,216,4,2
Cacalchen,1,21,21,0,21,21,0,1
Calotmul,3,265,255,10,184,174,10,1
Cansahcab,1,1,1,0,0,0,0,4
Cantamayec,0,0,0,0,0,0,0,3
Celestun,0,0,0,0,0,0,0,1
Cenotillo,2,28,26,2,19,17,2,2
Conkal,3,107,98,9,74,67,7,0
Cuncunul,4,42,42,0,10,10,0,0
Cuzama,0,0,0,0,0,0,0,4
Chacsinkin,1,25,25,0,0,0,0,1
Chankom,8,259,257,2,0,0,0,6
Chapab,1,25,20,5,25,20,5,1
Chemax,13,1567,1306,261,0,0,0,4
Chicxulub Pueblo,2,60,54,6,10,9,1,1
Chichimila,5,121,105,16,8,6,2,2
Chikindzonot,1,21,21,0,21,21,0,3
Chochola,0,0,0,0,0,0,0,2
Chumayel,1,70,70,0,0,0,0,0
Dzan,1,5,5,0,5,5,0,0
Dzemul,2,124,120,4,55,53,2,1
Dzidzantun,1,150,144,6,150,144,6,1
Dzilam de Bravo,1,15,15,0,15,15,0,1
Dzilam Gonzalez,3,36,36,0,25,25,0,1
Dzitas,3,190,190,0,0,0,0,0
Dzoncauich,0,0,0,0,0,0,0,2
Espita,7,671,668,3,108,105,3,2
Halacho,0,0,0,0,0,0,0,8
Hocaba,0,0,0,0,0,0,0,4
Hoctun,2,8,7,1,8,7,1,1
Homun,2,84,84,0,45,45,0,3
Huhi,1,7,7,0,0,0,0,1
Hunucma,5,566,316,250,356,256,100,2
Ixil,1,53,53,0,9,9,0,0
Izamal,6,650,549,101,161,159,2,5
Kanasin,5,476,414,62,81,70,11,0
Kantunil,1,20,20,0,20,20,0,1
Kaua,2,64,64,0,0,0,0,0
Kinchil,0,0,0,0,0,0,0,2
Kopoma,0,0,0,0,0,0,0,2
Mama,1,200,200,0,0,0,0,0
Mani,2,370,290,80,325,245,80,0
Maxcanu,4,2322,2297,25,280,255,25,10
Mayapan,1,250,237,13,36,32,4,0
Merida,21,1774,1434,340,1065,884,181,25
Mococha,2,58,51,7,48,48,0,2
Motul,9,810,738,72,0,0,0,11
Muna,1,200,200,0,0,0,0,3
Muxupip,1,583,563,20,0,0,0,2
Opichen,0,0,0,0,0,0,0,2
Oxkutzcab,2,88,88,0,20,20,0,4
Panaba,5,77,75,2,77,75,2,0
Peto,6,185,179,6,80,75,5,24
Progreso,3,61,57,4,51,47,4,2
Quintana Roo,0,0,0,0,0,0,0,2
Rio Lagartos,0,0,0,0,0,0,0,1
Sacalum,3,161,159,2,141,139,2,1
Samahil,0,0,0,0,0,0,0,5
Sanahcat,1,11,10,1,0,0,0,0
San Felipe,2,37,37,0,37,37,0,0
Santa Elena,1,20,20,0,20,20,0,1
Seye,0,0,0,0,0,0,0,4
Sinanche,2,138,138,0,0,0,0,4
Sotuta,2,83,75,8,16,16,0,2
Sucila,2,564,531,33,564,531,33,0
Sudzal,2,55,55,0,5,5,0,2
Suma,0,0,0,0,0,0,0,3
Tahdziu,0,0,0,0,0,0,0,1
Tahmek,1,50,50,0,50,50,0,2
Teabo,1,60,60,0,0,0,0,0
Tecoh,4,106,84,22,3,3,0,7
Tekal de Venegas,2,75,55,20,15,15,0,1
Tekanto,2,51,51,0,51,51,0,3
Tekax,29,855,749,106,237,176,61,26
Tekit,0,0,0,0,0,0,0,1
Tekom,3,50,50,0,0,0,0,1
Telchac,1,50,35,15,50,35,15,0
Telchac Puerto,0,0,0,0,0,0,0,1
Temax,1,2,2,0,0,0,0,5
Temozon,9,531,530,1,121,121,0,4
Tepakan,1,1,1,0,0,0,0,1
Tetiz,0,0,0,0,0,0,0,6
Teya,0,0,0,0,0,0,0,2
Ticul,2,855,824,31,830,800,30,1
Timucuy,1,3,3,0,3,3,0,2
Tinum,6,889,799,90,0,0,0,2
Tixcacalcupul,4,723,723,0,0,0,0,1
Tixkokob,6,97,96,1,16,15,1,6
Tixmehuac,6,413,409,4,0,0,0,1
Tixpehual,4,52,47,5,39,38,1,1
Tizimin,55,2279,2064,215,1777,1661,116,18
Tunkas,3,108,108,0,0,0,0,4
Tzucacab,11,195,189,6,107,105,2,10
Uayma,3,207,205,2,0,0,0,0
Ucu,3,208,208,0,0,0,0,1
Uman,10,596,474,122,21,17,4,8
Valladolid,11,1231,1161,70,37,37,0,11
Xocchel,1,14,14,0,0,0,0,1
Yaxcaba,27,673,652,21,9,9,0,11
Yaxkukul,1,122,122,0,122,122,0,0
Yobain,1,30,30,0,0,0,0,1
Zacatecas,413,18200,15745,2455,16003,13903,2100,354
Apozol,1,23,20,3,0,0,0,5
Apulco,1,500,400,100,500,400,100,0
Atolinga,0,0,0,0,0,0,0,1
Benito Juarez,0,0,0,0,0,0,0,4
Calera,1,2,2,0,2,2,0,1
Cañitas de Felipe Pescador,2,13,13,0,13,13,0,1
Concepcion del Oro,5,72,57,15,17,17,0,13
Cuauhtemoc,5,189,184,5,189,184,5,1
Chalchihuites,4,53,49,4,53,49,4,1
Fresnillo,45,1316,1210,106,1259,1155,104,28
Genaro Codina,4,138,133,5,138,133,5,3
General Enrique Estrada,0,0,0,0,0,0,0,2
General Francisco R. Murguia,20,272,239,33,169,138,31,23
El Plateado de Joaquin Amaro,2,125,84,41,84,64,20,3
General Panfilo Natera,11,1075,847,228,1075,847,228,1
Guadalupe,13,1973,1743,230,1973,1743,230,1
Huanusco,1,4,4,0,4,4,0,5
Jalpa,1,6,6,0,6,6,0,4
Jerez,16,223,182,41,192,154,38,26
Jimenez del Teul,4,51,50,1,50,50,0,1
Juan Aldama,4,257,212,45,257,212,45,2
Juchipila,1,21,18,3,4,1,3,3
Loreto,8,165,148,17,134,125,9,3
Luis Moya,7,152,124,28,143,115,28,0
Mazapil,14,223,212,11,130,119,11,55
Melchor Ocampo,2,12,12,0,2,2,0,4
Mezquital del Oro,1,114,103,11,114,103,11,0
Miguel Auza,4,56,49,7,36,31,5,0
Monte Escobedo,2,42,34,8,42,34,8,5
Morelos,2,307,257,50,307,257,50,1
Nochistlan de Mejia,0,0,0,0,0,0,0,2
Noria de angeles,7,124,108,16,118,102,16,1
Ojocaliente,14,269,228,41,235,199,36,7
Panuco,4,1082,1005,77,1040,998,42,2
Pinos,43,1505,1309,196,1288,1117,171,19
Rio Grande,16,782,595,187,752,568,184,17
Sain Alto,15,626,524,102,448,410,38,2
El Salvador,2,35,26,9,25,20,5,3
Sombrerete,29,1852,1582,270,1628,1380,248,12
Susticacan,2,10,9,1,5,4,1,1
Tabasco,7,178,176,2,115,115,0,0
Tepechitlan,1,3,3,0,3,3,0,3
Tepetongo,0,0,0,0,0,0,0,14
Teul de Gonzalez Ortega,1,20,20,0,0,0,0,2
Tlaltenango de Sanchez Roman,0,0,0,0,0,0,0,2
Valparaiso,20,482,424,58,268,228,40,25
Vetagrande,3,386,306,80,329,306,23,0
Villa de Cos,22,1191,1061,130,1102,991,111,19
Villa Garcia,11,525,484,41,525,484,41,4
Villa Gonzalez Ortega,4,105,68,37,100,63,37,1
Villa Hidalgo,7,515,445,70,503,433,70,1
Villanueva,11,875,763,112,378,310,68,18
Zacatecas,8,61,57,4,61,57,4,2
Trancoso,4,186,156,30,186,156,30,0
Santa Maria de la Paz,1,4,4,0,1,1,0,0
NOTA: La Informacion presentada corresponde a los datos captados en el cuestionario por medio de las preguntas:  19.2 y 19.2.1,,,,,,,,
http://www3.inegi.org.mx/sistemas/tabuladosbasicos/default.aspx?c=17351&s=est,,,,,,,,
