INEGI. IX Censo Ejidal 2007,,,,,,,,,,
"Total de ejidos y comunidades segun compravente de tierras ejidales, tipo de participantes",,,,,,,,,,Cuadro 38
y superficie vendida por entidad federativa y municipio,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
entidad_federativa_y_municipio, ejidos_y_comunidades,con_compraventa_de_tierras_ejidales_total,con_compraventa_de_tierras_ejidales_entro_ejidatarios,con_compraventa_de_tierras_ejidales_con_avecindados_o_posesionarios,con_compraventa_de_tierras_ejidales_con_personas_ajenas_al_ejido,principales_compradores_ejidatarios,principales_compradores_avecindados_o_posesionarios,principales_compradores_personas_ajenas_al_ejido,superficie_vendida_en_los_ultimos_10 años_(ha),no_reportan_compraventa
Rioverde,55,42,37,25,22,21,8,13,3990.25,13
Salinas,11,8,8,5,2,6,1,1,981,3
San Antonio,10,4,3,2,1,3,0,1,66,6
San Ciro de Acosta,5,3,1,2,3,1,0,2,146,2
San Luis Potosi,35,27,25,19,20,14,6,7,4100.5,8
San Martin Chalchicuautla,58,25,23,6,8,20,0,5,292.75,33
San Nicolas Tolentino,6,4,4,3,1,4,0,0,395,2
Santa Catarina,5,3,3,1,0,3,0,0,33.25,2
Santa Maria del Rio,12,8,5,2,5,3,1,4,86,4
Santo Domingo,25,16,16,3,0,16,0,0,1822,9
San Vicente Tancuayalab,23,17,12,5,12,7,2,8,1486,6
Soledad de Graciano Sanchez,8,6,4,4,4,3,1,2,330,2
Tamasopo,21,19,19,15,10,17,0,2,1506.25,2
Tamazunchale,33,20,17,11,7,12,4,4,471.5,13
Tampacan,23,11,11,2,4,9,0,2,396,12
Tampamolon Corona,31,11,11,5,2,10,0,1,148.75,20
Tamuin,175,105,79,41,65,46,8,51,11939.29,70
Tanlajas,26,12,6,4,9,4,1,7,733,14
Tanquian de Escobedo,5,5,5,3,2,3,0,2,252,0
Tierra Nueva,C,C,0,0,0,0,0,0,0,C
Vanegas,20,2,2,0,0,2,0,0,7,18
Venado,18,12,11,4,2,11,0,1,585,6
Villa de Arriaga,11,9,9,8,4,9,0,0,940,2
Villa de Guadalupe,20,6,3,1,3,3,0,3,887,14
Villa de la Paz,5,3,2,0,2,2,0,1,29,2
Villa de Ramos,18,13,13,8,2,10,3,0,3245,5
Villa de Reyes,20,18,12,12,14,7,1,10,3173,2
Villa Hidalgo,27,16,14,10,7,12,2,2,356,11
Villa Juarez,9,5,5,5,2,2,3,0,660,4
Axtla de Terrazas,29,20,19,10,7,14,3,3,258,9
Xilitla,35,19,18,14,5,10,8,1,227,16
Zaragoza,7,3,2,1,3,1,1,1,80,4
Villa de Arista,8,3,2,0,1,2,0,1,73,5
Matlapa,12,7,6,7,1,3,4,0,83,5
El Naranjo,16,10,9,4,6,6,0,4,535,6
Sinaloa,1309,1022,762,431,708,487,97,438,179372.5,287
Ahome,115,107,74,56,87,39,14,54,26230.5,8
Angostura,62,54,44,14,39,35,1,18,4801,8
Badiraguato,44,17,16,5,8,13,1,3,538,27
Concordia,29,13,11,9,9,5,4,4,646,16
Cosala,37,6,4,0,2,4,0,2,256,31
Culiacan,185,154,100,69,107,62,14,78,33128.5,31
Choix,63,46,40,28,27,27,9,10,7806,17
Elota,39,30,23,22,24,13,3,14,5812,9
Escuinapa,20,18,18,8,8,14,0,4,2900,2
El Fuerte,103,87,67,35,62,39,11,37,16982.5,16
Guasave,140,117,85,48,94,42,7,68,10865.8,23
Mazatlan,45,40,28,21,30,15,6,19,6746,5
Mocorito,71,61,52,15,30,43,3,15,8458,10
Rosario,51,37,32,19,21,20,7,10,3100,14
Salvador Alvarado,22,21,16,12,17,7,2,12,2838,1
San Ignacio,51,24,22,12,10,17,2,5,6029,27
Sinaloa,154,118,88,27,77,68,5,45,33108.7,36
Navolato,78,72,42,31,56,24,8,40,9126.5,6
Sonora,979,548,364,246,304,272,72,204,201060.5,431
Aconchi,C,C,0,0,0,0,0,0,0,C
Agua Prieta,6,5,3,0,4,3,0,2,1137,1
alamos,84,51,43,13,19,33,3,15,14887,33
Altar,7,3,3,1,0,3,0,0,192,4
Arivechi,C,C,3,3,0,3,0,0,3010,C
Arizpe,6,2,2,0,0,2,0,0,22,4
Atil,C,C,2,1,1,2,0,0,224,C
Bacadehuachi,C,C,0,0,0,0,0,0,0,C
Bacanora,4,4,4,0,1,4,0,0,2010,0
Bacerac,4,2,2,0,0,2,0,0,1709,2
Bacoachi,5,2,1,1,1,1,0,1,450,3
Bacum,44,17,6,8,11,6,6,5,5203.5,27
Banamichi,3,1,1,1,1,1,0,0,12,2
Baviacora,C,C,0,0,0,0,0,0,0,C
Bavispe,C,C,2,0,0,2,0,0,2156,C
Benjamin Hill,3,1,1,1,0,1,0,0,42,2
Caborca,72,29,13,12,21,9,4,16,10253,43
Cajeme,103,49,26,18,33,18,6,25,11943.5,54
Cananea,7,5,4,4,3,2,1,2,8472,2
Carbo,C,C,2,1,1,2,0,0,150,C
La Colorada,6,4,4,4,4,3,0,1,450,2
Cucurpe,3,2,2,2,0,2,0,0,55,1
Cumpas,7,5,5,3,1,5,0,0,1070,2
Divisaderos,C,C,1,1,1,1,0,0,100,C
Empalme,16,7,5,6,6,2,2,3,1900,9
Etchojoa,45,21,9,15,12,8,2,11,2857,24
Fronteras,12,4,4,0,2,4,0,0,400,8
Granados,C,C,0,0,0,0,0,0,0,C
Guaymas,31,18,15,6,9,12,2,4,6665,13
Hermosillo,52,43,31,24,33,19,5,19,14238,9
Huachinera,C,C,1,0,0,1,0,0,366.5,C
Huasabas,C,C,0,0,0,0,0,0,0,C
Huatabampo,57,42,20,16,24,16,8,18,5634,15
Huepac,3,0,0,0,0,0,0,0,0,3
Imuris,6,5,5,4,1,4,1,0,2665,1
Magdalena,9,6,4,3,2,3,2,1,373,3
Mazatan,3,2,2,1,0,2,0,0,20,1
Moctezuma,4,2,2,1,0,2,0,0,1530,2
Naco,C,C,2,2,2,0,0,2,250,C
Nacori Chico,4,1,1,0,0,1,0,0,0,3
Nacozari de Garcia,4,0,0,0,0,0,0,0,0,4
Navojoa,45,26,13,15,13,8,7,11,2544,19
Nogales,8,5,3,3,1,3,1,1,1695,3
Onavas,C,C,1,2,1,0,1,1,616,C
Opodepe,6,6,6,6,1,6,0,0,3000,0
Oquitoa,C,C,0,0,0,0,0,0,0,C
Pitiquito,11,7,2,2,4,2,1,4,24410,4
Puerto Peñasco,27,15,2,2,11,2,1,12,21005.5,12
Quiriego,17,10,6,6,5,5,3,2,5930.5,7
Rayon,5,2,2,2,1,1,0,1,88,3
Rosario,17,11,8,9,7,5,4,2,3190,6
Sahuaripa,18,14,13,5,4,13,0,1,9701,4
San Felipe de Jesus,C,C,0,0,0,0,0,0,0,C
San Javier,C,C,0,0,0,0,0,0,0,C
San Luis Rio Colorado,41,16,14,7,12,5,2,9,5495,25
San Miguel de Horcasitas,4,4,2,1,4,1,0,3,360,0
San Pedro de la Cueva,6,2,2,0,0,2,0,0,120,4
Santa Ana,7,7,6,4,2,4,1,2,632,0
Santa Cruz,C,C,2,1,1,1,0,1,30,C
Saric,5,2,2,1,1,1,0,1,30,3
Soyopa,6,3,3,1,0,3,0,0,2414,3
Suaqui Grande,C,C,2,1,0,1,1,0,2000,C
Tepache,C,C,0,0,0,0,0,0,0,C
Trincheras,3,2,2,1,2,0,1,1,44,1
Tubutama,7,7,5,2,5,3,0,4,1402,0
Ures,12,9,9,6,6,7,1,1,508,3
Villa Hidalgo,4,4,4,1,0,4,0,0,1708,0
Villa Pesqueira,3,2,2,0,0,2,0,0,360,1
Yecora,9,3,3,2,2,2,0,1,1923,6
General Plutarco Elias Calles,29,14,7,4,12,4,1,9,1264.5,15
Benito Juarez,10,6,1,3,5,1,1,4,361,4
San Ignacio Rio Muerto,38,19,11,7,11,7,4,8,9782.5,19
Tabasco,779,614,526,397,385,364,70,180,103132.15,165
Balancan,55,53,53,43,42,37,4,12,30659,2
Cardenas,62,55,50,45,39,19,13,23,15179,7
Centla,55,33,31,17,13,24,4,5,1931.4,22
Centro,64,50,42,30,36,27,2,21,3241,14
Comalcalco,33,28,23,17,15,15,6,7,1744,5
Cunduacan,44,30,26,20,17,17,4,9,1388,14
Emiliano Zapata,14,12,10,8,9,9,1,2,2484,2
Huimanguillo,123,100,81,55,48,62,15,23,15154.75,23
Jalapa,23,21,14,15,18,8,3,10,1391,2
Jalpa de Mendez,28,23,21,18,20,12,5,6,1957,5
Jonuta,37,14,13,10,7,13,0,1,1090,23
Macuspana,66,52,48,34,31,34,2,16,4980,14
Nacajuca,29,21,16,6,10,15,1,5,641,8
Paraiso,16,9,7,5,3,6,1,2,409,7
Tacotalpa,36,31,24,19,19,17,3,11,3751,5
Teapa,21,19,10,9,17,2,2,15,2089,2
Tenosique,73,63,57,46,41,47,4,12,15043,10
Tamaulipas,1391,1060,766,478,683,524,94,442,175098.05,331
Abasolo,37,35,29,14,18,24,5,6,6540,2
Aldama,62,54,42,31,33,30,7,17,12184,8
Altamira,39,29,23,13,17,18,2,9,1836.5,10
Antiguo Morelos,17,15,10,12,13,6,1,8,617.5,2
Burgos,19,16,16,9,8,15,0,1,3440,3
Bustamante,22,6,5,3,2,5,1,0,91,16
Camargo,9,6,5,0,4,2,0,4,740,3
Casas,23,18,16,11,13,9,2,7,1129,5
Cruillas,10,5,5,3,1,4,0,1,760,5
Gomez Farias,25,13,7,6,10,4,1,8,839.5,12
Gonzalez,87,78,57,38,46,43,9,26,11863.05,9
Güemez,41,37,22,28,33,6,4,27,5650.5,4
Guerrero,C,C,0,1,1,0,0,1,500,C
Gustavo Diaz Ordaz,9,9,7,5,6,5,0,4,846,0
Hidalgo,62,55,29,27,41,11,10,34,13899,7
Jaumave,40,22,10,4,14,5,3,14,877.5,18
Jimenez,22,12,11,9,6,8,2,2,1498,10
Llera,54,47,41,25,30,25,2,20,11804,7
Mainero,14,9,5,3,5,3,1,5,914,5
El Mante,124,105,66,35,64,53,9,43,8763.5,19
Matamoros,78,68,49,24,44,34,4,30,8012,10
Mendez,22,15,14,11,7,11,0,4,2933,7
Miquihuana,9,0,0,0,0,0,0,0,0,9
Nuevo Laredo,16,13,9,2,9,4,0,9,11010,3
Nuevo Morelos,6,6,6,5,4,4,1,1,325,0
Ocampo,34,24,16,9,18,8,2,14,1055,10
Padilla,20,18,13,15,16,5,4,9,3243,2
Palmillas,C,C,3,0,0,3,0,0,93,C
Reynosa,74,62,34,12,41,31,4,27,15629.5,12
Rio Bravo,23,16,11,2,8,9,0,7,1164,7
San Carlos,53,25,20,14,16,12,3,10,2190,28
San Fernando,67,54,48,36,26,40,5,9,8172,13
San Nicolas,7,1,0,0,1,0,0,1,8,6
Soto la Marina,59,50,39,26,36,21,3,26,24370,9
Tampico,C,C,0,0,0,0,0,0,0,C
Tula,60,19,16,2,3,16,0,3,645.5,41
Valle Hermoso,27,19,18,3,12,16,2,1,1270,8
Victoria,40,38,24,17,35,4,0,34,5277,2
Villagran,31,21,16,10,15,13,3,5,1711,10
Xicotencatl,41,36,24,13,27,17,4,15,3197,5
Tlaxcala,246,189,166,99,99,120,18,51,6980.5,57
Amaxac de Guerrero,C,C,0,0,0,0,0,0,0,C
Atlangatepec,4,3,0,1,2,0,1,2,148,1
Altzayanca,18,17,14,12,13,6,3,8,516,1
Apizaco,4,3,2,0,3,0,0,3,98,1
Calpulalpan,11,10,10,4,5,10,0,0,455,1
El Carmen Tequexquitla,C,C,1,1,1,1,0,1,60,C
Cuapiaxtla,11,9,7,2,5,5,0,4,428,2
Cuaxomulco,C,C,1,0,0,1,0,0,15,C
Chiautempan,5,0,0,0,0,0,0,0,0,5
Muñoz de Domingo Arenas,4,4,3,1,2,3,0,1,126,0
Españita,11,9,8,3,3,6,0,3,198,2
Huamantla,25,18,17,6,11,14,0,4,689,7
Hueyotlipan,13,11,11,7,7,6,3,2,498,2
Ixtacuixtla de Mariano Matamoros,16,10,10,7,4,7,2,1,162,6
Ixtenco,C,C,1,1,1,1,0,0,20,C
Tepetitla de Lardizabal,C,C,2,2,1,2,0,0,18,C
Sanctorum de Lazaro Cardenas,4,4,4,3,3,1,0,3,215,0
Nanacamilpa de Mariano Arista,5,4,4,4,3,1,2,1,136,1
Nativitas,15,14,14,5,5,13,0,1,128,1
Panotla,6,4,3,1,3,2,0,2,37,2
Santa Cruz Tlaxcala,4,2,2,2,2,0,1,1,200,2
Teolocholco,C,C,2,0,0,2,0,0,7,C
Terrenate,6,3,3,2,1,1,2,0,75,3
Tetla de la Solidaridad,7,4,3,3,4,0,0,4,210,3
Tetlatlahuca,3,2,2,2,1,2,0,0,29,1
Tlaxcala,3,3,2,3,1,2,0,1,12,0
Tlaxco,29,26,24,14,9,21,1,4,1305,3
Tocatlan,C,C,1,0,0,1,0,0,15,C
Totolac,C,C,0,0,0,0,0,0,0,C
Zitlaltepec de Trinidad Sanchez Santos,3,3,2,2,1,2,1,0,42.5,0
Tzompantepec,3,2,1,1,2,0,0,2,650,1
Xaloztoc,C,C,2,1,0,2,0,0,145,C
Xaltocan,4,4,2,2,1,2,0,2,59,0
Papalotla de Xicohtencatl,C,C,0,0,0,0,0,0,0,C
Xicohtzinco,C,C,1,1,0,0,1,0,25,C
Yauhquemecan,3,0,0,0,0,0,0,0,0,3
Zacatelco,C,C,0,0,0,0,0,0,0,C
Benito Juarez,C,C,1,1,1,0,0,1,50,C
Emiliano Zapata,C,C,1,0,0,1,0,0,20,C
Lazaro Cardenas,C,C,0,0,0,0,0,0,0,C
La Magdalena Tlaltelulco,C,C,0,1,1,0,1,0,10,C
San Damian Texoloc,C,C,1,1,0,1,0,0,5,C
San Jose Teacalco,C,C,1,1,1,1,0,0,50,C
San Lorenzo Axocomanitla,C,C,0,0,0,0,0,0,0,C
San Lucas Tecopilco,C,C,1,1,1,1,0,0,100,C
Santa Ana Nopalucan,C,C,1,1,1,1,0,0,9,C
Santa Apolonia Teacalco,C,C,1,0,0,1,0,0,15,C
Veracruz de Ignacio de la Llave,3684,2802,2435,1729,1579,1797,300,705,181371.49,882
Acajete,C,C,2,2,1,2,0,0,48,C
Acatlan,C,C,0,0,0,0,0,0,0,C
Acayucan,31,27,24,20,21,14,2,11,3811,4
Actopan,29,25,24,16,19,14,3,8,1926,4
Acula,9,7,6,3,2,6,0,1,257,2
Acultzingo,16,11,8,5,1,8,3,0,164,5
Camaron de Tejeda,5,5,4,4,5,4,0,1,190,0
Alto Lucero de Gutierrez Barrios,16,16,16,15,10,7,7,2,1180,0
Altotonga,16,10,10,6,4,8,1,1,181.75,6
Alvarado,19,16,14,13,12,11,1,4,1501,3
Amatitlan,6,1,1,1,0,1,0,0,30,5
Naranjos Amatlan,11,9,8,7,7,4,0,5,161.5,2
Amatlan de los Reyes,19,14,14,7,7,8,1,5,201.5,5
angel R. Cabada,21,18,15,10,14,8,1,9,1030,3
La Antigua,11,10,9,10,9,7,1,2,558,1
Apazapan,5,5,5,5,5,1,1,3,220,0
Atlahuilco,C,C,0,0,0,0,0,0,0,C
Atoyac,15,13,10,5,7,7,1,5,210,2
Atzacan,7,5,4,3,2,4,0,1,47.25,2
Atzalan,39,31,26,21,19,16,7,8,611,8
Tlaltetela,14,14,11,9,10,8,2,4,769,0
Banderilla,C,C,0,0,0,0,0,0,0,C
Benito Juarez,23,2,2,0,0,2,0,0,15,21
Boca del Rio,C,C,2,2,3,0,0,3,268,C
Calcahualco,4,1,1,0,0,1,0,0,2,3
Camerino Z. Mendoza,C,C,0,1,1,0,0,1,3,C
Carrillo Puerto,4,4,3,0,3,1,0,3,91,0
Catemaco,30,25,24,22,18,19,3,3,1243.25,5
Cazones,24,20,18,17,16,6,1,13,1971,4
Cerro Azul,7,4,4,3,1,2,1,1,191,3
Citlaltepetl,C,C,1,1,0,1,0,0,20,C
Coacoatzintla,3,3,3,1,2,3,0,0,70,0
Coahuitlan,C,C,2,2,0,1,1,0,204,C
Coatepec,14,14,11,8,11,6,1,7,309,0
Coatzacoalcos,8,6,5,2,4,5,0,1,625,2
Coatzintla,16,12,11,6,8,11,0,1,848,4
Coetzala,C,C,0,0,0,0,0,0,0,C
Colipa,3,3,2,2,2,1,1,1,864,0
Comapa,15,13,8,7,6,6,3,4,873.5,2
Cordoba,24,15,7,3,10,5,2,8,157.27,9
Cosamaloapan de Carpio,32,27,24,20,16,22,2,3,1000,5
Coscomatepec,4,4,4,1,1,4,0,0,640,0
Cosoleacaque,16,9,6,5,6,2,1,6,527,7
Cotaxtla,16,9,6,6,5,5,0,4,287,7
Coxquihui,5,5,5,3,2,4,1,0,96.5,0
Coyutla,8,7,6,4,4,5,0,2,295,1
Cuichapa,6,4,3,0,1,3,0,1,54,2
Cuitlahuac,15,14,12,4,5,11,1,2,269.5,1
Chacaltianguis,12,11,11,9,7,11,0,0,1005.5,1
Chalma,16,5,4,1,0,4,1,0,68.25,11
Chiconamel,11,8,8,0,1,7,0,1,92,3
Chiconquiaco,9,7,7,7,1,4,3,0,98,2
Chicontepec,84,56,55,36,11,47,6,3,1622.5,28
Chinameca,10,10,7,6,8,0,2,8,438,0
Chinampa de Gorostiza,7,7,7,6,6,3,2,2,112.5,0
Las Choapas,121,103,95,55,64,83,2,18,18617.75,18
Chocaman,3,3,3,3,3,2,1,0,100,0
Chontla,12,9,5,2,6,4,0,5,142,3
Chumatlan,C,C,0,0,0,0,0,0,0,C
Emiliano Zapata,26,22,16,21,20,4,6,12,2098,4
Espinal,20,16,16,12,7,11,2,3,461,4
Fortin,7,7,6,5,5,2,0,5,140,0
Gutierrez Zamora,15,14,7,2,12,4,1,9,487,1
Hidalgotitlan,40,37,33,12,9,31,2,4,2858,3
Huatusco,10,7,2,4,1,2,4,1,117,3
Huayacocotla,25,9,9,6,1,8,0,1,90,16
Hueyapan de Ocampo,36,28,27,25,19,21,1,6,2561,8
Huiloapan,C,C,1,1,0,0,1,0,5,C
Ignacio de la Llave,30,27,25,14,17,20,0,7,838,3
Ilamatlan,15,2,2,1,0,2,0,0,124,13
Isla,47,38,36,23,16,31,2,5,2348,9
Ixcatepec,9,4,4,0,1,3,0,1,26.75,5
Ixhuacan de los Reyes,6,4,4,2,1,3,0,1,29,2
Ixhuatlan del Cafe,13,9,9,0,0,9,0,0,56,4
Ixhuatlancillo,3,2,1,1,2,0,0,2,7,1
Ixhuatlan del Sureste,12,3,2,2,2,2,0,1,225,9
Ixhuatlan de Madero,69,36,30,24,14,28,0,8,507.25,33
Ixmatlahuacan,8,6,5,5,2,5,0,1,207.5,2
Ixtaczoquitlan,15,11,6,7,6,4,2,5,420.5,4
Jalacingo,17,15,10,11,13,6,0,9,8024.75,2
Xalapa,10,7,6,6,7,0,3,4,237,3
Jalcomulco,4,2,2,1,1,1,1,0,40,2
Jaltipan,14,13,11,10,10,7,1,5,1688,1
Jamapa,12,11,10,11,7,5,2,4,502,1
Jesus Carranza,52,34,34,17,6,31,2,1,2328,18
Xico,12,9,9,9,5,6,0,3,125,3
Jilotepec,5,5,5,5,5,0,0,5,160,0
Juan Rodriguez Clara,46,42,38,17,22,33,0,9,2986.5,4
Juchique de Ferrer,11,11,10,4,2,9,2,0,277,0
Lerdo de Tejada,3,2,2,2,2,0,1,1,170,1
Maltrata,3,3,1,2,1,0,2,1,45,0
Manlio Fabio Altamirano,28,25,18,22,21,11,5,9,1255.75,3
Mariano Escobedo,3,2,2,2,1,1,0,1,84,1
Martinez de la Torre,46,33,26,20,17,21,3,9,1089.2,13
Mecayapan,14,13,11,8,10,3,2,8,3856,1
Medellin,33,28,20,17,18,10,4,14,1737,5
Miahuatlan,C,C,1,1,0,1,0,0,15,C
Minatitlan,122,95,82,45,53,63,5,27,7979,27
Misantla,42,31,26,22,18,12,8,11,1185.5,11
Moloacan,14,9,8,2,3,6,0,3,832,5
Naolinco,4,4,4,3,3,2,1,1,150.25,0
Nautla,19,13,10,3,4,8,2,3,1020.5,6
Nogales,6,3,0,1,3,0,0,3,42,3
Oluta,3,3,3,2,2,2,0,1,205,0
Omealca,24,15,15,10,5,13,1,1,394,9
Otatitlan,4,4,4,3,3,4,0,0,162,0
Oteapan,C,C,0,1,1,0,0,1,500,C
Ozuluama de Mascareñas,39,30,26,16,21,19,2,9,2310,9
Pajapan,10,9,5,4,8,2,1,6,1069,1
Panuco,132,98,86,73,61,65,12,21,6041,34
Papantla,70,46,34,28,21,19,13,14,1722,24
Paso del Macho,27,18,17,15,15,15,0,3,620,9
Paso de Ovejas,26,26,22,20,16,12,7,7,779,0
La Perla,C,C,1,1,0,1,0,0,7,C
Perote,20,16,10,12,13,7,1,8,1554,4
Platon Sanchez,11,7,5,3,4,3,1,3,58,4
Playa Vicente,65,42,39,10,10,35,2,5,3074,23
Las Vigas de Ramirez,4,4,4,2,3,4,0,0,27,0
Pueblo Viejo,19,16,13,3,15,11,0,5,2105,3
Puente Nacional,28,26,20,24,18,14,6,6,918,2
Rafael Delgado,C,C,1,2,1,0,1,1,19,C
Rafael Lucio,C,C,1,1,1,1,0,0,30,C
Los Reyes,C,C,1,0,0,1,0,0,4,C
Rio Blanco,C,C,0,0,0,0,0,0,0,C
Saltabarranca,4,4,4,4,2,3,0,1,110,0
San Andres Tuxtla,80,73,69,57,45,52,15,6,3316.5,7
San Juan Evangelista,50,49,46,35,25,31,7,11,3551.5,1
Santiago Tuxtla,45,44,44,40,33,22,14,8,1368,1
Sayula de Aleman,31,20,19,11,6,19,1,0,1464,11
Soconusco,7,6,6,5,4,3,0,3,427.5,1
Soledad Atzompa,C,C,2,2,1,1,0,1,25,C
Soledad de Doblado,26,25,19,20,21,6,7,12,1223,1
Soteapan,25,18,18,8,8,15,1,2,1085.5,7
Tamalin,9,6,4,1,4,4,0,2,69.5,3
Tamiahua,50,38,29,23,28,19,2,17,3387,12
Tampico Alto,23,21,21,5,14,17,0,4,2552,2
Tancoco,9,8,7,4,5,5,0,3,237,1
Tantima,18,15,13,4,8,10,1,4,626,3
Tantoyuca,38,18,14,10,10,12,1,5,588,20
Castillo de Teayo,26,17,17,16,12,17,0,0,801,9
Tecolutla,37,32,26,17,20,22,2,8,1677.5,5
Temapache,108,89,83,65,43,71,6,12,3999.83,19
Tempoal,39,19,16,10,11,12,4,3,1174,20
Tenampa,6,6,6,4,1,5,0,1,100,0
Teocelo,C,C,0,0,0,0,0,0,0,C
Tepatlaxco,5,3,2,1,1,2,0,1,13,2
Tepetlan,6,6,5,6,5,4,2,0,175,0
Tepetzintla,12,10,9,9,2,7,2,1,346,2
Tequila,C,C,0,0,0,0,0,0,0,C
Jose Azueta,30,26,24,19,11,21,2,3,1427,4
Texcatepec,5,3,3,2,0,3,0,0,45,2
Texistepec,21,19,17,13,8,12,3,4,1413,2
Tezonapa,44,33,32,22,9,27,2,4,971.25,11
Tierra Blanca,80,63,53,30,20,37,17,9,5513,17
Tihuatlan,64,49,45,30,30,35,2,12,2624,15
Tlacojalpan,3,3,3,2,2,3,0,0,122,0
Tlacolulan,C,C,0,0,0,0,0,0,0,C
Tlacotalpan,19,2,2,2,2,1,0,1,180,17
Tlacotepec de Mejia,C,C,2,2,2,1,0,1,260,C
Tlachichilco,8,5,5,1,0,5,0,0,77.05,3
Tlalixcoyan,56,49,48,29,31,40,2,7,3601.33,7
Tlalnelhuayocan,C,C,2,2,2,0,1,1,23,C
Tlapacoyan,16,15,13,12,8,7,5,3,284,1
Tlilapan,C,C,0,1,1,0,0,1,5,C
Tomatlan,C,C,1,0,2,0,0,2,20,C
Tonayan,3,3,3,3,3,3,0,0,60,0
Totutla,7,6,6,4,2,5,0,1,126,1
Tuxpam,74,55,45,31,42,28,4,23,3716.72,19
Tuxtilla,C,C,2,2,1,2,0,0,290,C
ursulo Galvan,16,13,11,8,9,6,2,5,384.5,3
Vega de Alatorre,14,12,9,7,6,8,2,2,714,2
Veracruz,16,12,9,9,10,5,0,7,1129,4
Villa Aldama,5,5,4,5,5,1,0,4,350,0
Xoxocotla,C,C,0,0,0,0,0,0,0,C
Yanga,10,9,9,7,5,7,2,0,168.5,1
Yecuatla,3,2,2,2,2,1,0,1,20,1
Zacualpan,4,1,1,1,0,1,0,0,20,3
Zentla,3,3,3,0,1,3,0,0,62,0
Zongolica,16,10,9,6,4,6,3,1,125.34,6
Zontecomatlan de Lopez y Fuentes,15,4,3,1,1,3,0,1,104,11
Zozocolco de Hidalgo,C,C,2,2,2,1,0,1,13,C
Agua Dulce,14,13,13,2,5,10,0,3,1095,1
El Higo,15,12,11,9,6,9,1,2,652,3
Nanchital de Lazaro Cardenas del Rio,C,C,0,1,1,0,0,1,10,C
Tres Valles,41,33,32,25,16,26,4,3,1135,8
Carlos A. Carrillo,10,10,10,7,5,8,0,2,1073,0
Tatahuicapan de Juarez,22,20,6,1,16,5,0,15,2630,2
Uxpanapa,88,44,38,27,28,24,5,15,5240,44
San Rafael,3,0,0,0,0,0,0,0,0,3
Santiago Sochiapan,C,C,1,0,0,1,0,0,20,C
Yucatan,722,280,187,136,163,118,45,117,89104.85,442
Abala,7,1,0,0,1,0,0,1,20,6
Acanceh,7,4,2,3,4,0,0,4,44,3
Akil,C,C,1,0,0,1,0,0,6,C
Baca,C,C,3,1,2,1,1,1,360,C
Bokoba,C,C,0,0,0,0,0,0,0,C
Buctzotz,8,5,5,5,3,5,0,0,8097,3
Cacalchen,C,C,1,0,0,1,0,0,5,C
Calotmul,4,3,2,1,3,2,0,1,1860,1
Cansahcab,5,2,2,2,0,2,0,0,84,3
Cantamayec,3,0,0,0,0,0,0,0,0,3
Celestun,C,C,0,0,0,0,0,0,0,C
Cenotillo,4,2,2,1,2,1,0,1,580,2
Conkal,3,3,1,2,3,0,2,1,186,0
Cuncunul,4,0,0,0,0,0,0,0,0,4
Cuzama,4,0,0,0,0,0,0,0,0,4
Chacsinkin,C,C,0,0,0,0,0,0,0,C
Chankom,14,1,0,0,1,0,0,1,500,13
Chapab,C,C,0,0,0,0,0,0,0,C
Chemax,17,0,0,0,0,0,0,0,0,17
Chicxulub Pueblo,3,3,2,1,3,0,0,3,705,0
Chichimila,7,2,1,0,0,2,0,0,325,5
Chikindzonot,4,0,0,0,0,0,0,0,0,4
Chochola,C,C,0,0,0,0,0,0,0,C
Chumayel,C,C,0,0,0,0,0,0,0,C
Dzan,C,C,0,0,0,0,0,0,0,C
Dzemul,3,2,2,1,1,1,1,0,44,1
Dzidzantun,C,C,1,1,2,1,0,1,236,C
Dzilam de Bravo,C,C,2,1,1,2,0,0,520,C
Dzilam Gonzalez,4,4,3,3,0,3,1,0,2160,0
Dzitas,3,0,0,0,0,0,0,0,0,3
Dzoncauich,C,C,1,0,0,1,0,0,2000,C
Espita,9,5,5,4,2,1,2,2,1871,4
Halacho,8,5,5,0,1,5,0,0,77,3
Hocaba,4,0,0,0,0,0,0,0,0,4
Hoctun,3,1,1,1,0,1,0,0,0,2
Homun,5,0,0,0,0,0,0,0,0,5
Huhi,C,C,0,0,0,0,0,0,0,C
Hunucma,7,1,1,1,1,0,1,0,70,6
Ixil,C,C,1,0,1,1,0,0,0,C
Izamal,11,5,4,3,2,5,0,0,196,6
Kanasin,5,3,1,1,2,1,1,1,212,2
Kantunil,C,C,1,1,1,1,0,0,300,C
Kaua,C,C,0,0,0,0,0,0,0,C
Kinchil,C,C,0,0,0,0,0,0,0,C
Kopoma,C,C,1,0,0,1,0,0,14,C
Mama,C,C,0,0,0,0,0,0,0,C
Mani,C,C,0,0,0,0,0,0,0,C
Maxcanu,14,2,2,1,1,1,1,0,30,12
Mayapan,C,C,1,1,0,0,1,0,7,C
Merida,46,32,17,21,25,5,7,20,10459.75,14
Mococha,4,4,2,3,1,0,3,1,556,0
Motul,20,8,4,1,3,4,1,3,1005,12
Muna,4,0,0,0,0,0,0,0,0,4
Muxupip,3,1,1,1,0,1,0,0,12,2
