INEGI. IX Censo Ejidal 2007,,,,,,,,,,,,
Ejidos y comunidades agropecuarias y forestales con construcciones de su propiedad,,,,,,,,,,,,cuadro 25
segun tipo y cantidad por entidad federativa y municipio,,,,,,,,,,,,
,,,,,,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_con_bordos_para_riego_o_abrevadero,cantidad_de_bordos_para_riego_o_abrevadero,ejidos_y_comunidades_con_pozo_para_riego,cantidad_de_pozos_para_riego,ejidos_y_comunidades_con_baños_garrapaticidas,cantidad_de_baños_garrapaticidas,ejidos_y_comunidades_con_salas_de_ordeña,cantidad_de_salas_de_ordeña,ejidos_y_comunidades_con_aserradero,cantidad_de_aserraderos,ejidos_y_comunidades_con_otras_construcciones,cantidad_de_otras_construcciones
Mapimi,46,151,29,54,6,6,0,0,1,1,6,6
Mezquital,16,195,0,0,7,7,0,0,1,1,2,6
Nazas,19,99,11,27,6,6,0,0,0,0,17,21
Nombre de Dios,13,80,13,77,9,14,0,0,0,0,3,3
Ocampo,20,204,2,7,16,19,1,1,1,1,9,21
El Oro,20,108,1,2,17,23,0,0,0,0,0,0
Otaez,6,27,0,0,8,8,0,0,1,1,1,1
Panuco de Coronado,17,142,5,10,10,11,0,0,0,0,6,11
Peñon Blanco,4,18,0,0,1,1,0,0,0,0,0,0
Poanas,17,74,13,93,13,16,0,0,0,0,1,1
Pueblo Nuevo,17,134,0,0,15,35,0,0,12,20,17,31
Rodeo,28,139,3,3,16,19,0,0,0,0,2,3
San Bernardo,17,113,3,4,14,16,0,0,0,0,2,4
San Dimas,16,120,1,1,30,31,0,0,13,14,10,11
San Juan de Guadalupe,18,244,4,9,5,8,0,0,0,0,0,0
San Juan del Rio,20,126,4,5,10,13,0,0,0,0,1,1
San Luis del Cordero,2,18,1,1,2,5,0,0,0,0,0,0
San Pedro del Gallo,11,42,0,0,8,8,0,0,0,0,0,0
Santa Clara,5,52,0,0,4,4,0,0,0,0,1,1
Santiago Papasquiaro,34,295,5,6,14,20,0,0,4,4,6,7
Suchil,7,35,2,3,4,5,0,0,0,0,1,1
Tamazula,2,5,2,2,5,5,2,2,5,6,1,1
Tepehuanes,19,420,0,0,5,6,0,0,2,2,3,3
Tlahualilo,25,73,17,49,1,1,0,0,0,0,3,8
Topia,1,2,1,1,2,3,0,0,1,1,1,1
Vicente Guerrero,8,27,7,17,7,7,0,0,0,0,2,2
