INEGI. IX Censo Ejidal 2007,,,,,,
Ejidos y comunidades con tractores de su propiedad segun cantidad,,,,,,cuadro 27
y años de uso por entidad federativa y municipio,,,,,,
,,,,,,
,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_con_tractores,total_de_tractores,ejidos_y_comunidades_con_tractores_de_su_propiedad_con_tractores_hasta_5_años_de_uso,ejidos_y_comunidades_con_tractores_de_su_propiedad_con_tractores_mas_de_5 hasta_10_años_de_uso,ejidos_y_comunidades_con_tractores_de_su_propiedad_con_tractores_mas_de_10_hasta_15 años_de_uso,ejidos_y_comunidades_con_tractores_de_su_propiedad_con_tractores_con_mas_de_15_años_de_uso
Santiago Tapextla,1,2,0,1,0,0
Villa Tejupam de la Union,1,2,0,1,0,0
Santiago Tetepec,1,1,1,0,0,0
Santiago Tilantongo,1,3,0,1,1,0
Santiago Tillo,2,3,2,0,0,0
Santiago Xiacui,1,1,0,1,0,0
Nuevo Zoquiapam,1,1,1,0,0,0
Santo Domingo Chihuitan,1,2,1,1,0,0
Santo Domingo Tehuantepec,4,6,3,1,2,0
Santo Domingo Teojomulco,1,1,1,0,0,0
Santo Tomas Mazaltepec,1,1,0,0,0,1
San Vicente Lachixio,1,1,0,0,1,0
Silacayoapam,1,1,0,0,0,1
Soledad Etla,1,1,0,0,1,0
San Jeronimo Tlacochahuaya,1,1,0,1,0,0
Tlacolula de Matamoros,1,3,1,1,1,0
San Juan Bautista Valle Nacional,3,8,0,1,2,3
Villa Diaz Ordaz,2,3,1,1,0,0
Yaxe,1,1,0,1,0,0
Magdalena Yodocono de Porfirio Diaz,1,2,0,0,1,1
Yutanduchi de Guerrero,1,1,0,1,0,0
Zapotitlan del Rio,1,1,0,1,0,0
Zimatlan de alvarez,1,2,0,1,0,1
Puebla,50,101,18,12,12,18
Ahuehuetitla,1,1,1,0,0,0
Atexcal,1,1,0,0,1,0
Atlixco,1,1,0,0,1,0
Atzitzihuacan,1,2,1,0,0,1
Coxcatlan,1,1,1,0,0,0
Chietla,4,16,1,0,1,3
Chignahuapan,3,4,2,0,0,1
Chignautla,2,3,0,1,0,1
Chila,1,1,0,0,0,1
Domingo Arenas,1,1,1,0,0,0
Epatlan,1,1,0,0,0,1
Huauchinango,1,1,0,0,0,1
Ixtacamaxtitlan,2,3,0,0,2,0
Izucar de Matamoros,2,9,0,0,1,1
La Magdalena Tlatlauquitepec,1,2,0,1,1,0
Cañada Morelos,1,2,1,0,1,0
Oriental,1,5,1,0,0,0
Petlalcingo,1,1,0,1,0,0
San Diego la Mesa Tochimiltzingo,1,1,0,1,0,0
San Gabriel Chilac,1,1,0,1,0,0
San Nicolas de los Ranchos,1,2,0,1,0,1
